:Data_list: 20070612_ace_swepam_1m.txt
:Created: 2007 Jun 13 0008 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 06 12  0000   54263       0    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0001   54263      60    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0002   54263     120    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0003   54263     180    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0004   54263     240    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0005   54263     300    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0006   54263     360    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0007   54263     420    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0008   54263     480    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0009   54263     540    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0010   54263     600    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0011   54263     660    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0012   54263     720    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0013   54263     780    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0014   54263     840    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0015   54263     900    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0016   54263     960    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0017   54263    1020    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0018   54263    1080    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0019   54263    1140    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0020   54263    1200    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0021   54263    1260    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0022   54263    1320    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0023   54263    1380    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0024   54263    1440    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0025   54263    1500    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0026   54263    1560    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0027   54263    1620    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0028   54263    1680    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0029   54263    1740    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0030   54263    1800    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0031   54263    1860    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0032   54263    1920    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0033   54263    1980    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0034   54263    2040    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0035   54263    2100    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0036   54263    2160    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0037   54263    2220    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0038   54263    2280    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0039   54263    2340    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0040   54263    2400    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0041   54263    2460    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0042   54263    2520    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0043   54263    2580    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0044   54263    2640    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0045   54263    2700    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0046   54263    2760    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0047   54263    2820    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0048   54263    2880    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0049   54263    2940    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0050   54263    3000    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0051   54263    3060    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0052   54263    3120    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0053   54263    3180    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0054   54263    3240    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0055   54263    3300    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0056   54263    3360    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0057   54263    3420    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0058   54263    3480    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0059   54263    3540    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0100   54263    3600    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0101   54263    3660    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0102   54263    3720    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0103   54263    3780    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0104   54263    3840    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0105   54263    3900    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0106   54263    3960    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0107   54263    4020    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0108   54263    4080    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0109   54263    4140    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0110   54263    4200    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0111   54263    4260    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0112   54263    4320    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0113   54263    4380    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0114   54263    4440    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0115   54263    4500    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0116   54263    4560    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0117   54263    4620    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0118   54263    4680    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0119   54263    4740    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0120   54263    4800    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0121   54263    4860    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0122   54263    4920    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0123   54263    4980    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0124   54263    5040    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0125   54263    5100    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0126   54263    5160    9    -9999.9    -9999.9    -1.00e+05
2007 06 12  0127   54263    5220    9    -9999.9    -9999.9    -1.00e+05
