:Data_list: 20070626_ace_epam_5m.txt
:Created: 2007 Jun 27 0012 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
# 2004 Feb 04: see http://www.sec.noaa.gov/ftpdir/lists/ace/README for EPAM channel change notice.
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux --------------------------- 
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Ratio
#-------------------------------------------------------------------------------------------------------------------
2007 06 26  0000   54277       0  0  3.68e+02  2.07e+01  0  6.38e+02  2.31e+01  2.82e+00  7.48e-01  9.48e-02   0.54
2007 06 26  0005   54277     300  0  3.64e+02  2.52e+01  0  6.95e+02  2.12e+01  2.76e+00  3.81e-01  1.45e-01   0.68
2007 06 26  0010   54277     600  0  3.47e+02  2.94e+01  0  6.85e+02  2.02e+01  2.58e+00  6.67e-01  1.26e-01   0.35
2007 06 26  0015   54277     900  0  2.94e+02  2.37e+01  0  6.84e+02  2.12e+01  2.64e+00  6.29e-01  1.93e-01   0.14
2007 06 26  0020   54277    1200  0  3.52e+02  3.15e+01  0  6.65e+02  2.10e+01  2.46e+00  7.07e-01  2.00e-01   0.50
2007 06 26  0025   54277    1500  0  4.03e+02  2.18e+01  0  6.76e+02  2.07e+01  2.25e+00  8.00e-01  2.03e-01   0.43
2007 06 26  0030   54277    1800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0035   54277    2100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0040   54277    2400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0045   54277    2700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0050   54277    3000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0055   54277    3300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0100   54277    3600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0105   54277    3900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0110   54277    4200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0115   54277    4500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0120   54277    4800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0125   54277    5100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0130   54277    5400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0135   54277    5700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0140   54277    6000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0145   54277    6300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0150   54277    6600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0155   54277    6900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0200   54277    7200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0205   54277    7500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0210   54277    7800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0215   54277    8100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 06 26  0220   54277    8400  0  4.07e+02  3.08e+01  0  7.37e+02  2.84e+01  2.58e+00  5.72e-01  1.74e-01   2.00
2007 06 26  0225   54277    8700  0  3.19e+02  3.17e+01  0  7.24e+02  2.43e+01  2.46e+00  7.07e-01  1.05e-01   0.05
2007 06 26  0230   54277    9000  0  2.94e+02  2.52e+01  0  6.85e+02  2.56e+01  2.28e+00  5.14e-01  1.74e-01   0.21
2007 06 26  0235   54277    9300  0  3.84e+02  2.14e+01  0  6.37e+02  2.35e+01  2.55e+00  4.00e-01  1.35e-01   0.55
2007 06 26  0240   54277    9600  0  3.68e+02  2.51e+01  0  7.31e+02  2.78e+01  2.62e+00  6.03e-01  1.16e-01   0.19
2007 06 26  0245   54277    9900  0  2.74e+02  2.43e+01  0  6.95e+02  2.33e+01  2.37e+00  5.72e-01  1.74e-01   0.60
2007 06 26  0250   54277   10200  0  2.89e+02  2.23e+01  0  6.36e+02  2.43e+01  2.16e+00  7.05e-01  1.93e-01   0.37
2007 06 26  0255   54277   10500  0  3.01e+02  2.75e+01  0  7.05e+02  2.04e+01  2.61e+00  6.10e-01  9.66e-02   0.40
2007 06 26  0300   54277   10800  0  3.03e+02  2.71e+01  0  7.31e+02  2.25e+01  2.29e+00  7.28e-01  2.00e-01   0.22
2007 06 26  0305   54277   11100  0  2.86e+02  2.71e+01  0  6.84e+02  2.32e+01  3.15e+00  6.10e-01  1.64e-01   0.25
