:Data_list: 20070804_ace_sis_5m.txt
:Created: 2007 Aug 05 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2007 08 04  0000    54316       0      0    1.98e+00    0    1.36e+00
2007 08 04  0005    54316     300      9   -1.00e+05    9   -1.00e+05
2007 08 04  0010    54316     600      9   -1.00e+05    9   -1.00e+05
2007 08 04  0015    54316     900      9   -1.00e+05    9   -1.00e+05
2007 08 04  0020    54316    1200      9   -1.00e+05    9   -1.00e+05
2007 08 04  0025    54316    1500      9   -1.00e+05    9   -1.00e+05
2007 08 04  0030    54316    1800      9   -1.00e+05    9   -1.00e+05
2007 08 04  0035    54316    2100      9   -1.00e+05    9   -1.00e+05
2007 08 04  0040    54316    2400      9   -1.00e+05    9   -1.00e+05
2007 08 04  0045    54316    2700      9   -1.00e+05    9   -1.00e+05
2007 08 04  0050    54316    3000      9   -1.00e+05    9   -1.00e+05
2007 08 04  0055    54316    3300      9   -1.00e+05    9   -1.00e+05
2007 08 04  0100    54316    3600      9   -1.00e+05    9   -1.00e+05
2007 08 04  0105    54316    3900      0    1.78e+00    0    1.25e+00
2007 08 04  0110    54316    4200      0    1.87e+00    0    1.32e+00
2007 08 04  0115    54316    4500      0    1.87e+00    0    1.31e+00
2007 08 04  0120    54316    4800      9   -1.00e+05    9   -1.00e+05
2007 08 04  0125    54316    5100      9   -1.00e+05    9   -1.00e+05
2007 08 04  0130    54316    5400      9   -1.00e+05    9   -1.00e+05
2007 08 04  0135    54316    5700      0    1.86e+00    0    1.30e+00
2007 08 04  0140    54316    6000      0    1.91e+00    0    1.33e+00
2007 08 04  0145    54316    6300      0    1.87e+00    0    1.30e+00
2007 08 04  0150    54316    6600      0    1.87e+00    0    1.31e+00
2007 08 04  0155    54316    6900      0    1.89e+00    0    1.33e+00
2007 08 04  0200    54316    7200      0    1.86e+00    0    1.31e+00
2007 08 04  0205    54316    7500      0    1.88e+00    0    1.31e+00
2007 08 04  0210    54316    7800      0    1.93e+00    0    1.34e+00
2007 08 04  0215    54316    8100      0    1.88e+00    0    1.32e+00
2007 08 04  0220    54316    8400      0    1.89e+00    0    1.33e+00
2007 08 04  0225    54316    8700      0    1.84e+00    0    1.30e+00
