:Data_list: 20070913_ace_epam_5m.txt
:Created: 2007 Sep 14 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2007 09 13  0000   54356       0  0  3.32e+02  3.05e+01  0  8.51e+02  1.59e+01  2.67e+00  7.05e-01  1.64e-01   0.28
2007 09 13  0005   54356     300  0  3.26e+02  2.51e+01  0  8.16e+02  1.81e+01  2.16e+00  6.03e-01  1.48e-01   0.64
2007 09 13  0010   54356     600  0  4.07e+02  2.39e+01  0  8.18e+02  1.62e+01  2.40e+00  4.95e-01  1.64e-01   0.37
2007 09 13  0015   54356     900  0  3.60e+02  2.39e+01  0  8.39e+02  1.95e+01  2.22e+00  4.95e-01  1.64e-01   0.34
2007 09 13  0020   54356    1200  0  3.67e+02  3.30e+01  0  8.57e+02  1.68e+01  2.85e+00  7.27e-01  2.21e-01   0.19
2007 09 13  0025   54356    1500  0  3.29e+02  3.17e+01  0  8.02e+02  1.82e+01  2.76e+00  6.10e-01  9.66e-02   0.58
2007 09 13  0030   54356    1800  0  4.70e+02  2.37e+01  0  9.02e+02  1.52e+01  2.52e+00  3.66e-01  1.35e-01   1.14
2007 09 13  0035   54356    2100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0040   54356    2400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0045   54356    2700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0050   54356    3000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0055   54356    3300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0100   54356    3600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0105   54356    3900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0110   54356    4200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0115   54356    4500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0120   54356    4800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0125   54356    5100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0130   54356    5400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0135   54356    5700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0140   54356    6000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0145   54356    6300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0150   54356    6600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0155   54356    6900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0200   54356    7200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0205   54356    7500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0210   54356    7800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0215   54356    8100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0220   54356    8400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0225   54356    8700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0230   54356    9000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0235   54356    9300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0240   54356    9600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0245   54356    9900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0250   54356   10200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0255   54356   10500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0300   54356   10800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0305   54356   11100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0310   54356   11400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0315   54356   11700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0320   54356   12000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0325   54356   12300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0330   54356   12600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0335   54356   12900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0340   54356   13200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0345   54356   13500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0350   54356   13800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0355   54356   14100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0400   54356   14400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0405   54356   14700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0410   54356   15000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0415   54356   15300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0420   54356   15600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0425   54356   15900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0430   54356   16200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0435   54356   16500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0440   54356   16800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0445   54356   17100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0450   54356   17400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0455   54356   17700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0500   54356   18000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0505   54356   18300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0510   54356   18600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0515   54356   18900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0520   54356   19200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0525   54356   19500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0530   54356   19800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0535   54356   20100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0540   54356   20400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0545   54356   20700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0550   54356   21000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0555   54356   21300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0600   54356   21600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0605   54356   21900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0610   54356   22200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0615   54356   22500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0620   54356   22800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0625   54356   23100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0630   54356   23400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0635   54356   23700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0640   54356   24000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0645   54356   24300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2007 09 13  0650   54356   24600  0  3.70e+02  2.91e+01  0  7.80e+02  2.09e+01  2.27e+00  6.48e-01  1.74e-01   0.53
2007 09 13  0655   54356   24900  0  4.08e+02  3.04e+01  0  8.53e+02  1.69e+01  2.47e+00  5.45e-01  1.78e-01   0.35
2007 09 13  0700   54356   25200  0  4.71e+02  2.76e+01  0  8.45e+02  1.81e+01  2.79e+00  6.24e-01  1.26e-01   0.68
2007 09 13  0705   54356   25500  0  3.66e+02  2.63e+01  0  8.01e+02  1.91e+01  2.39e+00  7.48e-01  2.42e-01   0.29
2007 09 13  0710   54356   25800  0  3.71e+02  2.45e+01  0  8.10e+02  1.98e+01  2.11e+00  5.98e-01  2.23e-01   0.69
2007 09 13  0715   54356   26100  0  3.75e+02  2.38e+01  0  8.62e+02  1.70e+01  1.84e+00  5.82e-01  1.79e-01   0.45
2007 09 13  0720   54356   26400  0  3.97e+02  2.64e+01  0  8.68e+02  1.89e+01  1.98e+00  6.10e-01  1.45e-01   0.31
2007 09 13  0725   54356   26700  0  3.67e+02  2.64e+01  0  8.58e+02  1.91e+01  2.04e+00  6.10e-01  1.16e-01   0.74
2007 09 13  0730   54356   27000  0  3.26e+02  2.69e+01  0  7.76e+02  1.81e+01  2.16e+00  6.44e-01  1.26e-01   0.11
2007 09 13  0735   54356   27300  0  5.20e+02  2.75e+01  0  8.52e+02  1.77e+01  2.85e+00  5.53e-01  1.35e-01   0.24
2007 09 13  0740   54356   27600  0  3.55e+02  2.78e+01  0  8.29e+02  1.93e+01  2.10e+00  5.53e-01  1.06e-01   0.13
2007 09 13  0745   54356   27900  0  3.99e+02  2.84e+01  0  8.09e+02  1.84e+01  2.33e+00  5.20e-01  1.26e-01   0.18
2007 09 13  0750   54356   28200  0  3.85e+02  2.76e+01  0  8.07e+02  1.74e+01  2.16e+00  6.10e-01  1.26e-01   0.76
2007 09 13  0755   54356   28500  0  4.17e+02  2.57e+01  0  9.02e+02  1.86e+01  1.83e+00  7.62e-01  1.05e-01   1.06
2007 09 13  0800   54356   28800  0  4.40e+02  2.66e+01  0  8.31e+02  1.88e+01  2.31e+00  4.95e-01  1.84e-01   0.02
2007 09 13  0805   54356   29100  0  4.31e+02  2.63e+01  0  8.07e+02  1.83e+01  2.00e+00  5.61e-01  6.95e-02   0.11
2007 09 13  0810   54356   29400  0  4.00e+02  2.69e+01  0  8.35e+02  1.78e+01  2.19e+00  6.10e-01  1.35e-01   0.32
2007 09 13  0815   54356   29700  0  4.10e+02  2.80e+01  0  8.66e+02  1.93e+01  1.83e+00  6.48e-01  2.32e-01   0.18
2007 09 13  0820   54356   30000  0  3.45e+02  2.72e+01  0  7.94e+02  1.78e+01  2.03e+00  5.40e-01  1.37e-01   0.76
2007 09 13  0825   54356   30300  0  4.60e+02  2.39e+01  0  8.58e+02  1.75e+01  1.77e+00  6.67e-01  1.35e-01   0.33
2007 09 13  0830   54356   30600  0  3.98e+02  3.05e+01  0  8.41e+02  1.73e+01  2.22e+00  5.91e-01  6.76e-02   0.33
2007 09 13  0835   54356   30900  0  3.35e+02  2.63e+01  0  8.49e+02  1.81e+01  2.29e+00  5.20e-01  2.11e-01   0.12
2007 09 13  0840   54356   31200  0  4.12e+02  3.17e+01  0  8.12e+02  1.83e+01  1.91e+00  6.68e-01  2.05e-01   0.26
2007 09 13  0845   54356   31500  0  4.89e+02  2.34e+01  0  9.06e+02  1.62e+01  1.93e+00  6.44e-01  1.90e-01   0.23
2007 09 13  0850   54356   31800  0  3.50e+02  2.51e+01  0  8.60e+02  1.79e+01  2.29e+00  6.03e-01  2.00e-01   0.58
2007 09 13  0855   54356   32100  0  3.62e+02  2.53e+01  0  8.38e+02  1.83e+01  2.16e+00  4.75e-01  1.60e-01   0.26
2007 09 13  0900   54356   32400  0  4.51e+02  2.57e+01  0  8.61e+02  1.87e+01  2.36e+00  4.78e-01  1.58e-01   0.40
2007 09 13  0905   54356   32700  0  3.54e+02  2.82e+01  0  8.23e+02  1.84e+01  2.00e+00  6.65e-01  1.37e-01   0.05
2007 09 13  0910   54356   33000  0  3.65e+02  2.73e+01  0  8.46e+02  1.69e+01  2.77e+00  4.40e-01  1.43e-01   0.25
2007 09 13  0915   54356   33300  0  4.11e+02  2.40e+01  0  8.26e+02  1.86e+01  2.29e+00  6.24e-01  1.58e-01   0.52
2007 09 13  0920   54356   33600  0  3.60e+02  2.55e+01  0  8.52e+02  1.68e+01  2.47e+00  6.68e-01  1.60e-01   0.18
2007 09 13  0925   54356   33900  0  3.99e+02  2.96e+01  0  8.60e+02  1.91e+01  2.33e+00  4.57e-01  1.16e-01   0.24
2007 09 13  0930   54356   34200  0  4.09e+02  2.80e+01  0  7.78e+02  1.91e+01  1.97e+00  4.78e-01  2.32e-01   0.88
2007 09 13  0935   54356   34500  0  4.44e+02  2.63e+01  0  8.22e+02  2.09e+01  2.02e+00  4.22e-01  1.07e-01   0.87
2007 09 13  0940   54356   34800  0  4.11e+02  2.82e+01  0  9.15e+02  1.68e+01  2.69e+00  4.78e-01  1.16e-01   0.19
2007 09 13  0945   54356   35100  0  3.99e+02  2.55e+01  0  8.18e+02  1.77e+01  2.46e+00  6.44e-01  1.69e-01   0.11
2007 09 13  0950   54356   35400  0  4.32e+02  2.67e+01  0  8.36e+02  1.92e+01  2.19e+00  4.57e-01  8.92e-02   0.27
2007 09 13  0955   54356   35700  0  3.79e+02  2.78e+01  0  8.82e+02  1.76e+01  2.00e+00  6.65e-01  1.26e-01   0.19
2007 09 13  1000   54356   36000  0  3.69e+02  2.37e+01  0  8.48e+02  1.89e+01  2.52e+00  5.53e-01  2.32e-01   0.42
2007 09 13  1005   54356   36300  0  3.07e+02  2.52e+01  0  8.31e+02  1.83e+01  2.40e+00  4.57e-01  2.03e-01   0.41
2007 09 13  1010   54356   36600  0  4.24e+02  2.86e+01  0  8.72e+02  1.57e+01  2.33e+00  6.44e-01  1.58e-01   0.27
2007 09 13  1015   54356   36900  0  3.12e+02  3.05e+01  0  8.60e+02  1.86e+01  1.98e+00  4.00e-01  1.74e-01   0.51
2007 09 13  1020   54356   37200  0  3.28e+02  2.57e+01  0  8.25e+02  1.75e+01  2.31e+00  4.38e-01  1.84e-01   0.30
2007 09 13  1025   54356   37500  0  5.03e+02  2.74e+01  0  8.64e+02  1.65e+01  2.43e+00  6.03e-01  2.42e-01   0.40
2007 09 13  1030   54356   37800  0  3.24e+02  2.85e+01  0  8.79e+02  1.73e+01  2.46e+00  3.81e-01  1.35e-01   1.21
2007 09 13  1035   54356   38100  0  3.09e+02  2.73e+01  0  8.43e+02  1.85e+01  2.04e+00  6.67e-01  1.55e-01   0.36
2007 09 13  1040   54356   38400  0  3.92e+02  2.69e+01  0  8.14e+02  1.75e+01  2.61e+00  3.24e-01  1.45e-01   0.23
2007 09 13  1045   54356   38700  0  4.00e+02  2.38e+01  0  8.86e+02  1.80e+01  2.16e+00  7.11e-01  9.48e-02   0.19
2007 09 13  1050   54356   39000  0  4.00e+02  2.76e+01  0  8.48e+02  1.88e+01  2.28e+00  4.57e-01  2.03e-01   0.37
2007 09 13  1055   54356   39300  0  3.72e+02  2.32e+01  0  8.12e+02  2.05e+01  2.04e+00  5.72e-01  9.48e-02   0.31
2007 09 13  1100   54356   39600  0  4.85e+02  2.59e+01  0  8.46e+02  2.06e+01  2.23e+00  4.99e-01  2.00e-01   0.64
2007 09 13  1105   54356   39900  0  3.82e+02  2.25e+01  0  8.06e+02  1.64e+01  2.25e+00  4.76e-01  7.73e-02   0.62
2007 09 13  1110   54356   40200  0  3.42e+02  2.78e+01  0  8.38e+02  1.73e+01  2.22e+00  5.14e-01  1.26e-01   0.46
2007 09 13  1115   54356   40500  0  4.02e+02  2.45e+01  0  8.71e+02  1.71e+01  2.43e+00  3.89e-01  1.16e-01   0.51
2007 09 13  1120   54356   40800  0  3.60e+02  2.80e+01  0  8.85e+02  1.93e+01  2.39e+00  5.80e-01  2.23e-01   0.43
2007 09 13  1125   54356   41100  0  4.44e+02  2.22e+01  0  8.54e+02  1.74e+01  2.00e+00  5.40e-01  1.69e-01   0.24
2007 09 13  1130   54356   41400  0  3.60e+02  2.45e+01  0  8.45e+02  1.71e+01  2.33e+00  5.20e-01  1.69e-01   0.86
2007 09 13  1135   54356   41700  0  4.75e+02  2.67e+01  0  8.57e+02  1.70e+01  2.25e+00  4.57e-01  1.25e-01   0.64
2007 09 13  1140   54356   42000  0  3.46e+02  3.03e+01  0  8.80e+02  2.00e+01  2.16e+00  6.86e-01  2.11e-01   0.51
2007 09 13  1145   54356   42300  0  3.07e+02  2.71e+01  0  8.17e+02  1.97e+01  2.26e+00  5.40e-01  2.11e-01   0.35
2007 09 13  1150   54356   42600  0  4.07e+02  2.99e+01  0  8.42e+02  1.68e+01  2.22e+00  4.05e-01  1.26e-01   0.58
2007 09 13  1155   54356   42900  0  3.25e+02  2.61e+01  0  8.40e+02  1.67e+01  2.10e+00  6.24e-01  8.43e-02   0.59
2007 09 13  1200   54356   43200  0  3.01e+02  2.78e+01  0  8.57e+02  1.68e+01  2.22e+00  7.74e-01  1.43e-01   0.31
2007 09 13  1205   54356   43500  0  3.73e+02  2.09e+01  0  7.75e+02  2.01e+01  2.07e+00  7.48e-01  2.11e-01   0.16
2007 09 13  1210   54356   43800  0  4.03e+02  2.24e+01  0  8.66e+02  1.58e+01  2.72e+00  5.82e-01  1.58e-01   0.37
2007 09 13  1215   54356   44100  0  3.45e+02  2.39e+01  0  9.20e+02  1.90e+01  1.94e+00  6.68e-01  1.87e-01   0.08
2007 09 13  1220   54356   44400  0  3.46e+02  2.71e+01  0  8.65e+02  1.76e+01  2.13e+00  5.20e-01  1.26e-01   0.27
2007 09 13  1225   54356   44700  0  3.82e+02  2.76e+01  0  8.57e+02  1.73e+01  1.87e+00  6.24e-01  1.37e-01   0.63
