:Data_list: 20070922_ace_swepam_1m.txt
:Created: 2007 Sep 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 09 22  0000   54365       0    0        6.2      581.5     4.14e+05
2007 09 22  0001   54365      60    0        7.0      574.6     4.02e+05
2007 09 22  0002   54365     120    9    -9999.9    -9999.9    -1.00e+05
2007 09 22  0003   54365     180    1        7.3      575.9     5.09e+05
2007 09 22  0004   54365     240    0        6.6      562.0     3.98e+05
2007 09 22  0005   54365     300    1        6.2      566.0     4.96e+05
2007 09 22  0006   54365     360    1        6.2      566.0     4.96e+05
2007 09 22  0007   54365     420    0        5.7      565.8     4.29e+05
2007 09 22  0008   54365     480    1        6.9      570.2     4.92e+05
2007 09 22  0009   54365     540    1        7.3      551.5     3.90e+05
2007 09 22  0010   54365     600    0        7.0      560.8     3.82e+05
2007 09 22  0011   54365     660    0        7.0      557.4     4.25e+05
2007 09 22  0012   54365     720    1        6.7      567.2     4.90e+05
2007 09 22  0013   54365     780    1        6.2      572.0     4.86e+05
2007 09 22  0014   54365     840    1        4.3      553.5     4.30e+05
2007 09 22  0015   54365     900    0        7.1      558.2     3.81e+05
2007 09 22  0016   54365     960    0        7.0      554.2     2.74e+05
2007 09 22  0017   54365    1020    0        5.5      557.0     4.38e+05
2007 09 22  0018   54365    1080    1        6.5      564.5     3.72e+05
2007 09 22  0019   54365    1140    0        6.5      560.4     3.75e+05
2007 09 22  0020   54365    1200    0        6.4      564.0     4.10e+05
2007 09 22  0021   54365    1260    1        6.8      558.9     4.34e+05
2007 09 22  0022   54365    1320    1        6.8      558.9     4.34e+05
2007 09 22  0023   54365    1380    0        6.4      566.3     3.65e+05
2007 09 22  0024   54365    1440    0        6.2      581.8     3.07e+05
2007 09 22  0025   54365    1500    0        6.2      563.3     2.92e+05
2007 09 22  0026   54365    1560    0        6.4      560.5     3.81e+05
2007 09 22  0027   54365    1620    0        5.6      567.2     3.48e+05
2007 09 22  0028   54365    1680    0        5.6      567.7     3.67e+05
2007 09 22  0029   54365    1740    0        5.5      570.3     3.36e+05
2007 09 22  0030   54365    1800    1        6.1      565.2     3.48e+05
2007 09 22  0031   54365    1860    0        5.3      580.0     3.57e+05
2007 09 22  0032   54365    1920    0        7.1      557.3     3.44e+05
2007 09 22  0033   54365    1980    0        6.0      556.7     2.40e+05
2007 09 22  0034   54365    2040    0        6.0      553.3     2.55e+05
2007 09 22  0035   54365    2100    9    -9999.9    -9999.9    -1.00e+05
2007 09 22  0036   54365    2160    0        6.0      559.8     3.14e+05
2007 09 22  0037   54365    2220    0        6.9      570.8     3.16e+05
2007 09 22  0038   54365    2280    0        6.9      570.8     3.16e+05
2007 09 22  0039   54365    2340    0        6.3      562.4     3.09e+05
2007 09 22  0040   54365    2400    0        5.8      571.5     3.06e+05
2007 09 22  0041   54365    2460    1        7.4      571.3     3.33e+05
2007 09 22  0042   54365    2520    0        7.1      573.5     3.29e+05
2007 09 22  0043   54365    2580    0        6.4      564.5     2.92e+05
2007 09 22  0044   54365    2640    0        6.2      572.6     2.99e+05
2007 09 22  0045   54365    2700    0        6.9      553.3     2.53e+05
2007 09 22  0046   54365    2760    0        6.7      556.7     2.25e+05
2007 09 22  0047   54365    2820    0        6.2      559.6     2.96e+05
2007 09 22  0048   54365    2880    0        6.0      557.4     2.33e+05
2007 09 22  0049   54365    2940    0        6.9      563.7     3.41e+05
