:Data_list: 20070930_ace_swepam_1m.txt
:Created: 2007 Oct 01 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to SEC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 09 30  0000   54373       0    0        1.4      675.2     2.01e+05
2007 09 30  0001   54373      60    0        1.3      684.2     2.25e+05
2007 09 30  0002   54373     120    1        2.2      643.9     2.38e+05
2007 09 30  0003   54373     180    0        2.2      646.6     2.21e+05
2007 09 30  0004   54373     240    0        2.3      646.9     2.33e+05
2007 09 30  0005   54373     300    0        2.7      659.9     2.04e+05
2007 09 30  0006   54373     360    0        2.4      649.5     2.20e+05
2007 09 30  0007   54373     420    0        2.6      650.5     2.40e+05
2007 09 30  0008   54373     480    0        2.6      650.5     2.40e+05
2007 09 30  0009   54373     540    0        2.3      650.5     2.41e+05
2007 09 30  0010   54373     600    1        2.4      648.8     2.53e+05
2007 09 30  0011   54373     660    0        1.9      657.5     2.40e+05
2007 09 30  0012   54373     720    0        1.7      646.7     2.33e+05
2007 09 30  0013   54373     780    0        2.4      666.8     1.79e+05
2007 09 30  0014   54373     840    0        2.3      663.6     1.68e+05
2007 09 30  0015   54373     900    0        2.3      660.7     1.75e+05
2007 09 30  0016   54373     960    0        2.4      658.1     1.86e+05
2007 09 30  0017   54373    1020    0        2.3      654.9     1.86e+05
2007 09 30  0018   54373    1080    0        2.3      653.0     2.02e+05
2007 09 30  0019   54373    1140    0        2.3      660.4     1.78e+05
2007 09 30  0020   54373    1200    0        2.4      654.3     1.97e+05
2007 09 30  0021   54373    1260    0        2.2      658.6     1.71e+05
2007 09 30  0022   54373    1320    0        2.3      656.2     1.70e+05
2007 09 30  0023   54373    1380    0        2.5      656.6     1.75e+05
2007 09 30  0024   54373    1440    0        2.5      656.6     1.75e+05
2007 09 30  0025   54373    1500    9    -9999.9    -9999.9    -1.00e+05
2007 09 30  0026   54373    1560    0        2.1      659.0     1.75e+05
2007 09 30  0027   54373    1620    0        2.4      660.9     1.90e+05
2007 09 30  0028   54373    1680    0        2.2      659.8     1.74e+05
2007 09 30  0029   54373    1740    0        2.5      656.1     1.66e+05
