:Data_list: 20071017_ace_swepam_1m.txt
:Created: 2007 Oct 18 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 10 17  0000   54390       0    0        4.2      334.4     6.15e+04
2007 10 17  0001   54390      60    0        3.8      337.2     6.25e+04
2007 10 17  0002   54390     120    0        4.3      336.7     5.29e+04
2007 10 17  0003   54390     180    0        3.7      337.8     6.54e+04
2007 10 17  0004   54390     240    0        4.0      336.0     6.41e+04
2007 10 17  0005   54390     300    0        3.6      334.8     6.64e+04
2007 10 17  0006   54390     360    0        4.2      337.1     5.64e+04
2007 10 17  0007   54390     420    0        4.2      336.4     5.83e+04
2007 10 17  0008   54390     480    0        4.3      335.8     6.01e+04
2007 10 17  0009   54390     540    0        4.0      334.5     5.08e+04
2007 10 17  0010   54390     600    0        2.8      331.7     6.95e+04
2007 10 17  0011   54390     660    0        3.4      333.0     6.66e+04
2007 10 17  0012   54390     720    0        3.2      335.4     6.88e+04
2007 10 17  0013   54390     780    0        3.2      334.5     6.33e+04
2007 10 17  0014   54390     840    0        3.6      334.6     6.79e+04
2007 10 17  0015   54390     900    1        3.1      337.3     5.97e+04
2007 10 17  0016   54390     960    0        2.8      339.3     5.74e+04
2007 10 17  0017   54390    1020    0        3.6      334.2     6.41e+04
2007 10 17  0018   54390    1080    0        3.6      337.2     7.12e+04
2007 10 17  0019   54390    1140    0        2.6      324.5     7.24e+04
2007 10 17  0020   54390    1200    9    -9999.9    -9999.9    -1.00e+05
2007 10 17  0021   54390    1260    1        2.7      336.6     5.87e+04
2007 10 17  0022   54390    1320    0        1.9      345.2     3.94e+04
2007 10 17  0023   54390    1380    1        1.8      340.8     4.46e+04
2007 10 17  0024   54390    1440    1        1.7      336.3     4.98e+04
2007 10 17  0025   54390    1500    1        1.8      334.5     4.72e+04
2007 10 17  0026   54390    1560    1        1.6      337.4     5.05e+04
2007 10 17  0027   54390    1620    0        1.6      339.9     3.89e+04
2007 10 17  0028   54390    1680    0        2.7      329.5     6.55e+04
2007 10 17  0029   54390    1740    0        2.8      327.2     6.67e+04
2007 10 17  0030   54390    1800    1        1.7      336.2     4.94e+04
2007 10 17  0031   54390    1860    0        1.5      338.9     4.12e+04
2007 10 17  0032   54390    1920    1        2.3      329.9     5.28e+04
2007 10 17  0033   54390    1980    0        2.7      323.5     7.30e+04
2007 10 17  0034   54390    2040    0        2.7      324.0     7.90e+04
2007 10 17  0035   54390    2100    0        2.8      322.9     7.00e+04
2007 10 17  0036   54390    2160    0        3.3      326.8     7.13e+04
