:Data_list: 20071022_ace_sis_5m.txt
:Created: 2007 Oct 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2007 10 22  0000    54395       0      0    1.84e+00    0    1.29e+00
2007 10 22  0005    54395     300      0    1.87e+00    0    1.30e+00
2007 10 22  0010    54395     600      0    1.88e+00    0    1.31e+00
2007 10 22  0015    54395     900      0    1.85e+00    0    1.29e+00
2007 10 22  0020    54395    1200      0    1.85e+00    0    1.30e+00
2007 10 22  0025    54395    1500      0    1.86e+00    0    1.30e+00
2007 10 22  0030    54395    1800      0    1.87e+00    0    1.31e+00
2007 10 22  0035    54395    2100      0    1.88e+00    0    1.32e+00
2007 10 22  0040    54395    2400      0    1.86e+00    0    1.30e+00
2007 10 22  0045    54395    2700      0    1.89e+00    0    1.32e+00
2007 10 22  0050    54395    3000      0    1.87e+00    0    1.31e+00
2007 10 22  0055    54395    3300      0    1.87e+00    0    1.31e+00
2007 10 22  0100    54395    3600      0    1.85e+00    0    1.30e+00
2007 10 22  0105    54395    3900      0    1.88e+00    0    1.32e+00
2007 10 22  0110    54395    4200      0    1.90e+00    0    1.32e+00
2007 10 22  0115    54395    4500      0    1.87e+00    0    1.30e+00
2007 10 22  0120    54395    4800      0    1.91e+00    0    1.34e+00
2007 10 22  0125    54395    5100      0    1.87e+00    0    1.30e+00
2007 10 22  0130    54395    5400      0    1.91e+00    0    1.34e+00
2007 10 22  0135    54395    5700      0    1.86e+00    0    1.31e+00
2007 10 22  0140    54395    6000      0    1.85e+00    0    1.30e+00
2007 10 22  0145    54395    6300      0    1.81e+00    0    1.26e+00
2007 10 22  0150    54395    6600      0    1.87e+00    0    1.31e+00
2007 10 22  0155    54395    6900      0    1.89e+00    0    1.32e+00
2007 10 22  0200    54395    7200      0    1.89e+00    0    1.32e+00
2007 10 22  0205    54395    7500      0    1.87e+00    0    1.32e+00
2007 10 22  0210    54395    7800      0    1.88e+00    0    1.31e+00
2007 10 22  0215    54395    8100      0    1.86e+00    0    1.29e+00
2007 10 22  0220    54395    8400      0    1.88e+00    0    1.33e+00
2007 10 22  0225    54395    8700      0    1.85e+00    0    1.30e+00
2007 10 22  0230    54395    9000      0    1.88e+00    0    1.33e+00
2007 10 22  0235    54395    9300      0    1.91e+00    0    1.33e+00
2007 10 22  0240    54395    9600      0    1.91e+00    0    1.33e+00
2007 10 22  0245    54395    9900      0    1.86e+00    0    1.30e+00
2007 10 22  0250    54395   10200      0    1.88e+00    0    1.32e+00
2007 10 22  0255    54395   10500      0    1.93e+00    0    1.35e+00
2007 10 22  0300    54395   10800      0    1.88e+00    0    1.31e+00
2007 10 22  0305    54395   11100      0    1.87e+00    0    1.31e+00
2007 10 22  0310    54395   11400      0    1.91e+00    0    1.31e+00
2007 10 22  0315    54395   11700      0    1.87e+00    0    1.31e+00
2007 10 22  0320    54395   12000      0    1.90e+00    0    1.32e+00
2007 10 22  0325    54395   12300      0    1.90e+00    0    1.32e+00
2007 10 22  0330    54395   12600      0    1.88e+00    0    1.32e+00
2007 10 22  0335    54395   12900      0    1.88e+00    0    1.32e+00
2007 10 22  0340    54395   13200      0    1.88e+00    0    1.31e+00
2007 10 22  0345    54395   13500      0    1.88e+00    0    1.33e+00
2007 10 22  0350    54395   13800      0    1.91e+00    0    1.34e+00
2007 10 22  0355    54395   14100      0    1.90e+00    0    1.33e+00
2007 10 22  0400    54395   14400      0    1.90e+00    0    1.33e+00
2007 10 22  0405    54395   14700      0    1.88e+00    0    1.31e+00
2007 10 22  0410    54395   15000      0    1.88e+00    0    1.32e+00
2007 10 22  0415    54395   15300      0    1.87e+00    0    1.32e+00
2007 10 22  0420    54395   15600      0    1.88e+00    0    1.31e+00
2007 10 22  0425    54395   15900      0    1.89e+00    0    1.32e+00
2007 10 22  0430    54395   16200      0    1.90e+00    0    1.34e+00
2007 10 22  0435    54395   16500      0    1.86e+00    0    1.31e+00
2007 10 22  0440    54395   16800      0    1.84e+00    0    1.29e+00
2007 10 22  0445    54395   17100      0    1.89e+00    0    1.32e+00
2007 10 22  0450    54395   17400      0    1.86e+00    0    1.29e+00
2007 10 22  0455    54395   17700      0    1.89e+00    0    1.32e+00
2007 10 22  0500    54395   18000      0    1.87e+00    0    1.31e+00
2007 10 22  0505    54395   18300      0    1.94e+00    0    1.35e+00
2007 10 22  0510    54395   18600      0    1.90e+00    0    1.33e+00
2007 10 22  0515    54395   18900      0    1.88e+00    0    1.31e+00
2007 10 22  0520    54395   19200      0    1.89e+00    0    1.32e+00
2007 10 22  0525    54395   19500      0    1.93e+00    0    1.36e+00
2007 10 22  0530    54395   19800      0    1.88e+00    0    1.31e+00
2007 10 22  0535    54395   20100      0    1.86e+00    0    1.31e+00
2007 10 22  0540    54395   20400      0    1.93e+00    0    1.34e+00
2007 10 22  0545    54395   20700      0    1.87e+00    0    1.31e+00
2007 10 22  0550    54395   21000      0    1.91e+00    0    1.34e+00
2007 10 22  0555    54395   21300      0    1.91e+00    0    1.32e+00
2007 10 22  0600    54395   21600      0    1.90e+00    0    1.34e+00
2007 10 22  0605    54395   21900      0    1.93e+00    0    1.35e+00
2007 10 22  0610    54395   22200      0    1.86e+00    0    1.30e+00
2007 10 22  0615    54395   22500      0    1.91e+00    0    1.34e+00
2007 10 22  0620    54395   22800      0    1.89e+00    0    1.34e+00
2007 10 22  0625    54395   23100      0    1.85e+00    0    1.30e+00
2007 10 22  0630    54395   23400      0    1.89e+00    0    1.32e+00
2007 10 22  0635    54395   23700      0    1.87e+00    0    1.30e+00
2007 10 22  0640    54395   24000      0    1.90e+00    0    1.33e+00
2007 10 22  0645    54395   24300      0    1.85e+00    0    1.28e+00
2007 10 22  0650    54395   24600      0    1.87e+00    0    1.30e+00
2007 10 22  0655    54395   24900      0    1.90e+00    0    1.34e+00
2007 10 22  0700    54395   25200      0    1.95e+00    0    1.37e+00
2007 10 22  0705    54395   25500      0    1.86e+00    0    1.29e+00
2007 10 22  0710    54395   25800      0    1.88e+00    0    1.31e+00
2007 10 22  0715    54395   26100      0    1.87e+00    0    1.31e+00
2007 10 22  0720    54395   26400      0    1.90e+00    0    1.33e+00
2007 10 22  0725    54395   26700      0    1.89e+00    0    1.32e+00
2007 10 22  0730    54395   27000      0    1.82e+00    0    1.26e+00
2007 10 22  0735    54395   27300      0    1.90e+00    0    1.34e+00
2007 10 22  0740    54395   27600      0    1.87e+00    0    1.31e+00
2007 10 22  0745    54395   27900      0    1.89e+00    0    1.31e+00
2007 10 22  0750    54395   28200      0    1.89e+00    0    1.32e+00
2007 10 22  0755    54395   28500      0    1.89e+00    0    1.33e+00
2007 10 22  0800    54395   28800      0    1.90e+00    0    1.33e+00
2007 10 22  0805    54395   29100      0    1.90e+00    0    1.33e+00
2007 10 22  0810    54395   29400      0    1.88e+00    0    1.32e+00
2007 10 22  0815    54395   29700      0    1.88e+00    0    1.32e+00
2007 10 22  0820    54395   30000      0    1.90e+00    0    1.33e+00
2007 10 22  0825    54395   30300      0    1.89e+00    0    1.33e+00
2007 10 22  0830    54395   30600      0    1.89e+00    0    1.33e+00
2007 10 22  0835    54395   30900      0    1.92e+00    0    1.34e+00
2007 10 22  0840    54395   31200      0    1.89e+00    0    1.32e+00
2007 10 22  0845    54395   31500      0    1.92e+00    0    1.35e+00
2007 10 22  0850    54395   31800      0    1.93e+00    0    1.35e+00
2007 10 22  0855    54395   32100      0    1.91e+00    0    1.34e+00
2007 10 22  0900    54395   32400      0    1.89e+00    0    1.32e+00
2007 10 22  0905    54395   32700      0    1.88e+00    0    1.32e+00
2007 10 22  0910    54395   33000      0    1.87e+00    0    1.30e+00
2007 10 22  0915    54395   33300      0    1.89e+00    0    1.32e+00
2007 10 22  0920    54395   33600      0    1.91e+00    0    1.33e+00
2007 10 22  0925    54395   33900      0    1.90e+00    0    1.32e+00
2007 10 22  0930    54395   34200      0    1.92e+00    0    1.35e+00
2007 10 22  0935    54395   34500      0    1.88e+00    0    1.32e+00
2007 10 22  0940    54395   34800      0    1.87e+00    0    1.29e+00
2007 10 22  0945    54395   35100      0    1.86e+00    0    1.30e+00
2007 10 22  0950    54395   35400      0    1.90e+00    0    1.35e+00
2007 10 22  0955    54395   35700      0    1.91e+00    0    1.35e+00
2007 10 22  1000    54395   36000      0    1.87e+00    0    1.31e+00
2007 10 22  1005    54395   36300      0    1.91e+00    0    1.33e+00
2007 10 22  1010    54395   36600      0    1.90e+00    0    1.34e+00
2007 10 22  1015    54395   36900      0    1.87e+00    0    1.30e+00
2007 10 22  1020    54395   37200      0    1.90e+00    0    1.34e+00
2007 10 22  1025    54395   37500      0    1.90e+00    0    1.33e+00
2007 10 22  1030    54395   37800      0    1.92e+00    0    1.34e+00
2007 10 22  1035    54395   38100      0    1.90e+00    0    1.33e+00
2007 10 22  1040    54395   38400      0    1.90e+00    0    1.33e+00
2007 10 22  1045    54395   38700      0    1.90e+00    0    1.33e+00
