:Data_list: 20071127_ace_sis_5m.txt
:Created: 2007 Nov 28 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2007 11 27  0000    54431       0      0    1.92e+00    0    1.34e+00
2007 11 27  0005    54431     300      0    2.31e+00    0    1.62e+00
2007 11 27  0010    54431     600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0015    54431     900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0020    54431    1200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0025    54431    1500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0030    54431    1800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0035    54431    2100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0040    54431    2400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0045    54431    2700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0050    54431    3000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0055    54431    3300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0100    54431    3600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0105    54431    3900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0110    54431    4200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0115    54431    4500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0120    54431    4800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0125    54431    5100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0130    54431    5400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0135    54431    5700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0140    54431    6000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0145    54431    6300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0150    54431    6600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0155    54431    6900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0200    54431    7200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0205    54431    7500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0210    54431    7800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0215    54431    8100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0220    54431    8400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0225    54431    8700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0230    54431    9000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0235    54431    9300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0240    54431    9600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0245    54431    9900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0250    54431   10200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0255    54431   10500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0300    54431   10800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0305    54431   11100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0310    54431   11400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0315    54431   11700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0320    54431   12000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0325    54431   12300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0330    54431   12600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0335    54431   12900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0340    54431   13200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0345    54431   13500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0350    54431   13800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0355    54431   14100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0400    54431   14400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0405    54431   14700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0410    54431   15000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0415    54431   15300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0420    54431   15600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0425    54431   15900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0430    54431   16200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0435    54431   16500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0440    54431   16800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0445    54431   17100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0450    54431   17400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0455    54431   17700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0500    54431   18000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0505    54431   18300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0510    54431   18600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0515    54431   18900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0520    54431   19200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0525    54431   19500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0530    54431   19800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0535    54431   20100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0540    54431   20400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0545    54431   20700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0550    54431   21000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0555    54431   21300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0600    54431   21600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0605    54431   21900      9   -1.00e+05    9   -1.00e+05
2007 11 27  0610    54431   22200      9   -1.00e+05    9   -1.00e+05
2007 11 27  0615    54431   22500      9   -1.00e+05    9   -1.00e+05
2007 11 27  0620    54431   22800      9   -1.00e+05    9   -1.00e+05
2007 11 27  0625    54431   23100      9   -1.00e+05    9   -1.00e+05
2007 11 27  0630    54431   23400      9   -1.00e+05    9   -1.00e+05
2007 11 27  0635    54431   23700      9   -1.00e+05    9   -1.00e+05
2007 11 27  0640    54431   24000      9   -1.00e+05    9   -1.00e+05
2007 11 27  0645    54431   24300      9   -1.00e+05    9   -1.00e+05
2007 11 27  0650    54431   24600      9   -1.00e+05    9   -1.00e+05
2007 11 27  0655    54431   24900      0    2.48e+00    0    1.76e+00
2007 11 27  0700    54431   25200      0    2.41e+00    0    1.68e+00
2007 11 27  0705    54431   25500      0    2.32e+00    0    1.62e+00
2007 11 27  0710    54431   25800      0    2.31e+00    0    1.60e+00
2007 11 27  0715    54431   26100      0    2.19e+00    0    1.53e+00
2007 11 27  0720    54431   26400      0    1.98e+00    0    1.40e+00
2007 11 27  0725    54431   26700      0    2.00e+00    0    1.40e+00
2007 11 27  0730    54431   27000      0    2.47e+00    0    1.74e+00
2007 11 27  0735    54431   27300      0    2.39e+00    0    1.69e+00
2007 11 27  0740    54431   27600      0    2.38e+00    0    1.68e+00
2007 11 27  0745    54431   27900      0    2.27e+00    0    1.59e+00
2007 11 27  0750    54431   28200      0    2.16e+00    0    1.51e+00
2007 11 27  0755    54431   28500      0    1.92e+00    0    1.34e+00
2007 11 27  0800    54431   28800      0    2.14e+00    0    1.50e+00
2007 11 27  0805    54431   29100      0    2.46e+00    0    1.74e+00
2007 11 27  0810    54431   29400      0    2.38e+00    0    1.68e+00
2007 11 27  0815    54431   29700      0    2.41e+00    0    1.69e+00
2007 11 27  0820    54431   30000      0    2.24e+00    0    1.57e+00
2007 11 27  0825    54431   30300      0    2.18e+00    0    1.53e+00
2007 11 27  0830    54431   30600      0    1.99e+00    0    1.40e+00
2007 11 27  0835    54431   30900      0    2.23e+00    0    1.56e+00
2007 11 27  0840    54431   31200      0    2.45e+00    0    1.70e+00
2007 11 27  0845    54431   31500      0    2.33e+00    0    1.63e+00
2007 11 27  0850    54431   31800      0    2.41e+00    0    1.68e+00
2007 11 27  0855    54431   32100      0    2.22e+00    0    1.57e+00
2007 11 27  0900    54431   32400      0    2.12e+00    0    1.48e+00
2007 11 27  0905    54431   32700      0    1.91e+00    0    1.34e+00
2007 11 27  0910    54431   33000      0    2.28e+00    0    1.60e+00
2007 11 27  0915    54431   33300      0    2.47e+00    0    1.73e+00
2007 11 27  0920    54431   33600      0    2.38e+00    0    1.68e+00
2007 11 27  0925    54431   33900      0    2.33e+00    0    1.64e+00
2007 11 27  0930    54431   34200      0    2.19e+00    0    1.54e+00
2007 11 27  0935    54431   34500      0    2.07e+00    0    1.44e+00
2007 11 27  0940    54431   34800      0    1.94e+00    0    1.36e+00
2007 11 27  0945    54431   35100      0    2.39e+00    0    1.68e+00
2007 11 27  0950    54431   35400      0    2.41e+00    0    1.72e+00
2007 11 27  0955    54431   35700      0    2.38e+00    0    1.66e+00
2007 11 27  1000    54431   36000      0    2.32e+00    0    1.65e+00
2007 11 27  1005    54431   36300      0    2.21e+00    0    1.57e+00
2007 11 27  1010    54431   36600      0    1.99e+00    0    1.38e+00
2007 11 27  1015    54431   36900      0    1.92e+00    0    1.35e+00
2007 11 27  1020    54431   37200      0    2.46e+00    0    1.73e+00
2007 11 27  1025    54431   37500      0    2.50e+00    0    1.78e+00
2007 11 27  1030    54431   37800      0    2.29e+00    0    1.62e+00
2007 11 27  1035    54431   38100      0    2.27e+00    0    1.58e+00
2007 11 27  1040    54431   38400      0    2.20e+00    0    1.54e+00
2007 11 27  1045    54431   38700      0    1.95e+00    0    1.37e+00
2007 11 27  1050    54431   39000      0    1.98e+00    0    1.37e+00
2007 11 27  1055    54431   39300      0    2.41e+00    0    1.70e+00
2007 11 27  1100    54431   39600      0    2.43e+00    0    1.70e+00
2007 11 27  1105    54431   39900      0    2.34e+00    0    1.63e+00
2007 11 27  1110    54431   40200      0    2.22e+00    0    1.56e+00
