:Data_list: 20071220_ace_sis_5m.txt
:Created: 2007 Dec 21 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2007 12 20  0000    54454       0      0    1.91e+00    0    1.34e+00
2007 12 20  0005    54454     300      0    1.93e+00    0    1.34e+00
2007 12 20  0010    54454     600      0    1.89e+00    0    1.31e+00
2007 12 20  0015    54454     900      0    1.89e+00    0    1.33e+00
2007 12 20  0020    54454    1200      0    1.92e+00    0    1.34e+00
2007 12 20  0025    54454    1500      0    1.95e+00    0    1.36e+00
2007 12 20  0030    54454    1800      0    1.89e+00    0    1.34e+00
2007 12 20  0035    54454    2100      0    1.90e+00    0    1.32e+00
2007 12 20  0040    54454    2400      0    1.89e+00    0    1.32e+00
2007 12 20  0045    54454    2700      0    1.88e+00    0    1.32e+00
2007 12 20  0050    54454    3000      0    1.89e+00    0    1.33e+00
2007 12 20  0055    54454    3300      0    1.94e+00    0    1.35e+00
2007 12 20  0100    54454    3600      0    1.92e+00    0    1.34e+00
2007 12 20  0105    54454    3900      0    1.93e+00    0    1.36e+00
2007 12 20  0110    54454    4200      0    1.90e+00    0    1.33e+00
2007 12 20  0115    54454    4500      0    1.91e+00    0    1.34e+00
2007 12 20  0120    54454    4800      0    1.87e+00    0    1.31e+00
2007 12 20  0125    54454    5100      0    1.88e+00    0    1.30e+00
2007 12 20  0130    54454    5400      0    1.87e+00    0    1.31e+00
2007 12 20  0135    54454    5700      0    1.89e+00    0    1.32e+00
2007 12 20  0140    54454    6000      0    1.87e+00    0    1.31e+00
2007 12 20  0145    54454    6300      0    1.89e+00    0    1.32e+00
2007 12 20  0150    54454    6600      0    1.87e+00    0    1.31e+00
2007 12 20  0155    54454    6900      0    1.86e+00    0    1.32e+00
2007 12 20  0200    54454    7200      0    1.91e+00    0    1.34e+00
2007 12 20  0205    54454    7500      0    1.89e+00    0    1.33e+00
2007 12 20  0210    54454    7800      0    1.92e+00    0    1.35e+00
2007 12 20  0215    54454    8100      0    1.89e+00    0    1.32e+00
2007 12 20  0220    54454    8400      0    1.92e+00    0    1.34e+00
2007 12 20  0225    54454    8700      0    1.87e+00    0    1.31e+00
2007 12 20  0230    54454    9000      0    1.87e+00    0    1.31e+00
2007 12 20  0235    54454    9300      0    1.91e+00    0    1.34e+00
2007 12 20  0240    54454    9600      0    1.86e+00    0    1.30e+00
2007 12 20  0245    54454    9900      0    1.90e+00    0    1.33e+00
2007 12 20  0250    54454   10200      0    1.86e+00    0    1.31e+00
2007 12 20  0255    54454   10500      0    1.87e+00    0    1.31e+00
2007 12 20  0300    54454   10800      0    1.86e+00    0    1.30e+00
2007 12 20  0305    54454   11100      0    1.88e+00    0    1.30e+00
2007 12 20  0310    54454   11400      0    1.91e+00    0    1.33e+00
2007 12 20  0315    54454   11700      0    1.87e+00    0    1.31e+00
2007 12 20  0320    54454   12000      0    1.91e+00    0    1.34e+00
2007 12 20  0325    54454   12300      0    1.94e+00    0    1.36e+00
2007 12 20  0330    54454   12600      0    1.91e+00    0    1.34e+00
2007 12 20  0335    54454   12900      0    1.86e+00    0    1.32e+00
2007 12 20  0340    54454   13200      0    1.90e+00    0    1.33e+00
2007 12 20  0345    54454   13500      0    1.93e+00    0    1.35e+00
2007 12 20  0350    54454   13800      0    1.92e+00    0    1.35e+00
2007 12 20  0355    54454   14100      0    1.89e+00    0    1.32e+00
2007 12 20  0400    54454   14400      0    1.93e+00    0    1.36e+00
2007 12 20  0405    54454   14700      0    1.93e+00    0    1.34e+00
2007 12 20  0410    54454   15000      0    1.85e+00    0    1.29e+00
2007 12 20  0415    54454   15300      0    1.87e+00    0    1.32e+00
2007 12 20  0420    54454   15600      0    1.87e+00    0    1.31e+00
2007 12 20  0425    54454   15900      0    1.87e+00    0    1.30e+00
2007 12 20  0430    54454   16200      0    1.88e+00    0    1.32e+00
2007 12 20  0435    54454   16500      0    1.91e+00    0    1.34e+00
2007 12 20  0440    54454   16800      0    1.92e+00    0    1.34e+00
2007 12 20  0445    54454   17100      0    1.92e+00    0    1.35e+00
2007 12 20  0450    54454   17400      0    1.92e+00    0    1.33e+00
2007 12 20  0455    54454   17700      0    1.88e+00    0    1.32e+00
2007 12 20  0500    54454   18000      0    1.91e+00    0    1.35e+00
2007 12 20  0505    54454   18300      0    1.88e+00    0    1.30e+00
2007 12 20  0510    54454   18600      0    1.91e+00    0    1.33e+00
2007 12 20  0515    54454   18900      0    1.93e+00    0    1.37e+00
2007 12 20  0520    54454   19200      0    1.88e+00    0    1.31e+00
2007 12 20  0525    54454   19500      0    1.90e+00    0    1.33e+00
2007 12 20  0530    54454   19800      0    1.82e+00    0    1.27e+00
2007 12 20  0535    54454   20100      0    1.89e+00    0    1.33e+00
2007 12 20  0540    54454   20400      0    1.94e+00    0    1.34e+00
2007 12 20  0545    54454   20700      0    1.86e+00    0    1.30e+00
2007 12 20  0550    54454   21000      0    1.89e+00    0    1.34e+00
2007 12 20  0555    54454   21300      0    1.91e+00    0    1.35e+00
2007 12 20  0600    54454   21600      0    1.87e+00    0    1.29e+00
2007 12 20  0605    54454   21900      0    1.90e+00    0    1.33e+00
2007 12 20  0610    54454   22200      0    1.85e+00    0    1.30e+00
2007 12 20  0615    54454   22500      0    1.93e+00    0    1.35e+00
2007 12 20  0620    54454   22800      0    1.90e+00    0    1.34e+00
2007 12 20  0625    54454   23100      0    1.89e+00    0    1.30e+00
2007 12 20  0630    54454   23400      0    1.91e+00    0    1.32e+00
2007 12 20  0635    54454   23700      0    1.90e+00    0    1.33e+00
2007 12 20  0640    54454   24000      0    1.92e+00    0    1.35e+00
2007 12 20  0645    54454   24300      0    1.95e+00    0    1.36e+00
2007 12 20  0650    54454   24600      9   -1.00e+05    9   -1.00e+05
2007 12 20  0655    54454   24900      9   -1.00e+05    9   -1.00e+05
2007 12 20  0700    54454   25200      9   -1.00e+05    9   -1.00e+05
2007 12 20  0705    54454   25500      9   -1.00e+05    9   -1.00e+05
2007 12 20  0710    54454   25800      9   -1.00e+05    9   -1.00e+05
2007 12 20  0715    54454   26100      0    1.91e+00    0    1.35e+00
2007 12 20  0720    54454   26400      0    1.91e+00    0    1.35e+00
2007 12 20  0725    54454   26700      0    1.89e+00    0    1.33e+00
2007 12 20  0730    54454   27000      0    1.92e+00    0    1.35e+00
2007 12 20  0735    54454   27300      0    1.91e+00    0    1.33e+00
2007 12 20  0740    54454   27600      0    1.92e+00    0    1.35e+00
2007 12 20  0745    54454   27900      0    1.90e+00    0    1.34e+00
2007 12 20  0750    54454   28200      0    1.95e+00    0    1.38e+00
2007 12 20  0755    54454   28500      0    1.90e+00    0    1.32e+00
2007 12 20  0800    54454   28800      0    1.89e+00    0    1.32e+00
2007 12 20  0805    54454   29100      0    1.92e+00    0    1.35e+00
2007 12 20  0810    54454   29400      0    1.91e+00    0    1.34e+00
2007 12 20  0815    54454   29700      0    1.89e+00    0    1.32e+00
2007 12 20  0820    54454   30000      0    1.89e+00    0    1.31e+00
2007 12 20  0825    54454   30300      0    1.93e+00    0    1.36e+00
2007 12 20  0830    54454   30600      0    1.89e+00    0    1.34e+00
2007 12 20  0835    54454   30900      0    1.93e+00    0    1.34e+00
2007 12 20  0840    54454   31200      0    1.93e+00    0    1.34e+00
2007 12 20  0845    54454   31500      0    1.90e+00    0    1.32e+00
2007 12 20  0850    54454   31800      0    1.88e+00    0    1.31e+00
2007 12 20  0855    54454   32100      0    1.93e+00    0    1.36e+00
2007 12 20  0900    54454   32400      0    1.86e+00    0    1.30e+00
2007 12 20  0905    54454   32700      0    1.88e+00    0    1.31e+00
2007 12 20  0910    54454   33000      0    1.90e+00    0    1.32e+00
2007 12 20  0915    54454   33300      0    1.89e+00    0    1.33e+00
2007 12 20  0920    54454   33600      0    1.89e+00    0    1.32e+00
2007 12 20  0925    54454   33900      0    1.91e+00    0    1.32e+00
2007 12 20  0930    54454   34200      0    1.91e+00    0    1.34e+00
2007 12 20  0935    54454   34500      0    1.91e+00    0    1.34e+00
2007 12 20  0940    54454   34800      0    1.87e+00    0    1.29e+00
2007 12 20  0945    54454   35100      0    1.91e+00    0    1.34e+00
2007 12 20  0950    54454   35400      0    1.91e+00    0    1.34e+00
2007 12 20  0955    54454   35700      0    1.96e+00    0    1.38e+00
2007 12 20  1000    54454   36000      0    1.89e+00    0    1.30e+00
2007 12 20  1005    54454   36300      0    1.87e+00    0    1.32e+00
2007 12 20  1010    54454   36600      0    1.90e+00    0    1.34e+00
2007 12 20  1015    54454   36900      0    1.88e+00    0    1.32e+00
2007 12 20  1020    54454   37200      0    1.87e+00    0    1.31e+00
2007 12 20  1025    54454   37500      0    1.94e+00    0    1.37e+00
2007 12 20  1030    54454   37800      0    1.91e+00    0    1.34e+00
2007 12 20  1035    54454   38100      0    1.91e+00    0    1.34e+00
2007 12 20  1040    54454   38400      0    1.90e+00    0    1.33e+00
