:Data_list: 20071228_ace_swepam_1m.txt
:Created: 2007 Dec 29 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2007 12 28  0000   54462       0    0        1.7      467.8     1.08e+05
2007 12 28  0001   54462      60    0        1.6      462.9     1.35e+05
2007 12 28  0002   54462     120    0        1.5      465.0     1.32e+05
2007 12 28  0003   54462     180    0        1.6      464.3     1.24e+05
2007 12 28  0004   54462     240    0        1.5      464.1     1.29e+05
2007 12 28  0005   54462     300    0        1.6      464.2     1.10e+05
2007 12 28  0006   54462     360    0        1.7      460.9     9.91e+04
2007 12 28  0007   54462     420    0        1.7      461.7     1.07e+05
2007 12 28  0008   54462     480    0        1.8      462.4     1.16e+05
2007 12 28  0009   54462     540    0        1.7      462.9     1.18e+05
2007 12 28  0010   54462     600    0        1.4      461.4     1.15e+05
2007 12 28  0011   54462     660    0        1.5      462.2     1.17e+05
2007 12 28  0012   54462     720    0        1.7      462.1     1.03e+05
2007 12 28  0013   54462     780    0        1.6      462.4     1.11e+05
2007 12 28  0014   54462     840    1        1.5      458.5     9.91e+04
2007 12 28  0015   54462     900    0        1.5      461.7     1.14e+05
2007 12 28  0016   54462     960    0        1.8      459.0     1.13e+05
2007 12 28  0017   54462    1020    0        1.9      460.5     1.07e+05
2007 12 28  0018   54462    1080    0        1.8      460.3     1.11e+05
2007 12 28  0019   54462    1140    0        1.7      458.5     1.12e+05
2007 12 28  0020   54462    1200    0        1.9      460.2     1.23e+05
2007 12 28  0021   54462    1260    0        1.7      459.9     1.12e+05
2007 12 28  0022   54462    1320    0        1.8      462.2     1.22e+05
2007 12 28  0023   54462    1380    0        1.5      466.0     1.38e+05
2007 12 28  0024   54462    1440    0        1.2      469.8     1.54e+05
2007 12 28  0025   54462    1500    0        1.7      463.0     1.25e+05
2007 12 28  0026   54462    1560    9    -9999.9    -9999.9    -1.00e+05
2007 12 28  0027   54462    1620    0        1.6      469.0     1.52e+05
2007 12 28  0028   54462    1680    0        1.7      473.5     1.55e+05
2007 12 28  0029   54462    1740    0        1.4      472.5     1.11e+05
2007 12 28  0030   54462    1800    0        1.4      475.0     1.16e+05
2007 12 28  0031   54462    1860    0        1.6      470.0     1.34e+05
2007 12 28  0032   54462    1920    0        1.6      469.7     1.44e+05
2007 12 28  0033   54462    1980    0        1.3      473.7     1.14e+05
2007 12 28  0034   54462    2040    0        1.5      475.2     1.11e+05
2007 12 28  0035   54462    2100    0        1.5      474.1     1.09e+05
2007 12 28  0036   54462    2160    0        1.5      470.9     1.33e+05
2007 12 28  0037   54462    2220    0        1.4      471.3     1.38e+05
2007 12 28  0038   54462    2280    0        1.4      470.4     1.26e+05
2007 12 28  0039   54462    2340    0        1.4      470.1     1.32e+05
2007 12 28  0040   54462    2400    0        1.4      469.7     1.37e+05
