:Data_list: 20080109_ace_sis_5m.txt
:Created: 2008 Jan 10 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 01 09  0000    54474       0      0    1.83e+00    0    1.29e+00
2008 01 09  0005    54474     300      0    1.82e+00    0    1.27e+00
2008 01 09  0010    54474     600      0    1.83e+00    0    1.29e+00
2008 01 09  0015    54474     900      0    1.85e+00    0    1.29e+00
2008 01 09  0020    54474    1200      0    1.82e+00    0    1.25e+00
2008 01 09  0025    54474    1500      0    1.85e+00    0    1.30e+00
2008 01 09  0030    54474    1800      0    1.81e+00    0    1.26e+00
2008 01 09  0035    54474    2100      0    1.82e+00    0    1.27e+00
2008 01 09  0040    54474    2400      0    1.84e+00    0    1.28e+00
2008 01 09  0045    54474    2700      0    1.87e+00    0    1.30e+00
2008 01 09  0050    54474    3000      0    1.83e+00    0    1.27e+00
2008 01 09  0055    54474    3300      0    1.85e+00    0    1.29e+00
2008 01 09  0100    54474    3600      0    1.82e+00    0    1.27e+00
2008 01 09  0105    54474    3900      0    1.81e+00    0    1.27e+00
2008 01 09  0110    54474    4200      0    1.83e+00    0    1.26e+00
2008 01 09  0115    54474    4500      0    1.82e+00    0    1.28e+00
2008 01 09  0120    54474    4800      0    1.78e+00    0    1.23e+00
2008 01 09  0125    54474    5100      0    1.82e+00    0    1.27e+00
2008 01 09  0130    54474    5400      0    1.86e+00    0    1.31e+00
2008 01 09  0135    54474    5700      0    1.84e+00    0    1.29e+00
2008 01 09  0140    54474    6000      0    1.82e+00    0    1.29e+00
2008 01 09  0145    54474    6300      0    1.83e+00    0    1.27e+00
2008 01 09  0150    54474    6600      0    1.84e+00    0    1.29e+00
2008 01 09  0155    54474    6900      0    1.78e+00    0    1.25e+00
2008 01 09  0200    54474    7200      0    1.83e+00    0    1.29e+00
2008 01 09  0205    54474    7500      0    1.83e+00    0    1.29e+00
2008 01 09  0210    54474    7800      0    1.82e+00    0    1.27e+00
2008 01 09  0215    54474    8100      0    1.85e+00    0    1.29e+00
2008 01 09  0220    54474    8400      0    1.84e+00    0    1.28e+00
2008 01 09  0225    54474    8700      0    1.81e+00    0    1.27e+00
2008 01 09  0230    54474    9000      0    1.81e+00    0    1.26e+00
2008 01 09  0235    54474    9300      0    1.80e+00    0    1.26e+00
2008 01 09  0240    54474    9600      0    1.81e+00    0    1.28e+00
2008 01 09  0245    54474    9900      0    1.84e+00    0    1.30e+00
2008 01 09  0250    54474   10200      0    1.82e+00    0    1.29e+00
2008 01 09  0255    54474   10500      0    1.82e+00    0    1.27e+00
2008 01 09  0300    54474   10800      0    1.85e+00    0    1.30e+00
2008 01 09  0305    54474   11100      0    1.79e+00    0    1.25e+00
2008 01 09  0310    54474   11400      0    1.79e+00    0    1.26e+00
2008 01 09  0315    54474   11700      0    1.84e+00    0    1.29e+00
2008 01 09  0320    54474   12000      0    1.86e+00    0    1.29e+00
2008 01 09  0325    54474   12300      0    1.84e+00    0    1.29e+00
