:Data_list: 20080124_ace_swepam_1m.txt
:Created: 2008 Jan 25 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 01 24  0000   54489       0    0        5.5      425.3     9.61e+04
2008 01 24  0001   54489      60    0        5.2      425.4     9.72e+04
2008 01 24  0002   54489     120    0        5.4      424.5     9.37e+04
2008 01 24  0003   54489     180    0        5.3      425.2     9.88e+04
2008 01 24  0004   54489     240    0        5.5      424.5     1.01e+05
2008 01 24  0005   54489     300    0        5.2      424.6     1.02e+05
2008 01 24  0006   54489     360    0        5.4      424.5     1.05e+05
2008 01 24  0007   54489     420    9    -9999.9    -9999.9    -1.00e+05
2008 01 24  0008   54489     480    0        5.4      424.5     1.05e+05
2008 01 24  0009   54489     540    0        5.1      423.9     9.43e+04
2008 01 24  0010   54489     600    0        5.3      422.2     9.64e+04
2008 01 24  0011   54489     660    0        5.3      422.2     9.64e+04
2008 01 24  0012   54489     720    0        4.9      424.7     9.24e+04
2008 01 24  0013   54489     780    0        5.2      425.9     8.89e+04
2008 01 24  0014   54489     840    0        4.8      427.4     8.78e+04
2008 01 24  0015   54489     900    0        5.0      425.5     9.18e+04
2008 01 24  0016   54489     960    0        5.2      425.8     9.82e+04
2008 01 24  0017   54489    1020    0        5.4      426.0     1.01e+05
2008 01 24  0018   54489    1080    0        5.4      426.0     1.02e+05
2008 01 24  0019   54489    1140    0        5.5      426.5     9.23e+04
2008 01 24  0020   54489    1200    0        5.1      428.0     9.45e+04
2008 01 24  0021   54489    1260    0        5.4      428.3     1.03e+05
2008 01 24  0022   54489    1320    0        4.9      427.7     9.51e+04
2008 01 24  0023   54489    1380    0        5.5      429.2     9.83e+04
2008 01 24  0024   54489    1440    0        4.8      430.1     9.74e+04
2008 01 24  0025   54489    1500    0        5.0      429.2     8.87e+04
2008 01 24  0026   54489    1560    0        4.7      429.5     8.93e+04
2008 01 24  0027   54489    1620    0        4.7      429.5     8.93e+04
2008 01 24  0028   54489    1680    0        4.9      425.2     8.70e+04
2008 01 24  0029   54489    1740    0        5.1      426.5     8.74e+04
2008 01 24  0030   54489    1800    0        5.2      426.4     9.90e+04
2008 01 24  0031   54489    1860    0        4.9      425.8     1.05e+05
2008 01 24  0032   54489    1920    0        5.2      425.8     9.72e+04
2008 01 24  0033   54489    1980    0        5.0      426.9     9.86e+04
2008 01 24  0034   54489    2040    0        5.8      425.7     9.21e+04
2008 01 24  0035   54489    2100    0        5.0      426.3     9.40e+04
2008 01 24  0036   54489    2160    0        5.3      427.9     8.45e+04
2008 01 24  0037   54489    2220    0        4.6      422.7     9.46e+04
2008 01 24  0038   54489    2280    0        5.0      422.0     1.02e+05
2008 01 24  0039   54489    2340    0        4.9      427.6     8.65e+04
2008 01 24  0040   54489    2400    9    -9999.9    -9999.9    -1.00e+05
2008 01 24  0041   54489    2460    0        4.4      427.4     7.67e+04
2008 01 24  0042   54489    2520    0        4.7      424.7     8.50e+04
2008 01 24  0043   54489    2580    0        4.7      424.7     8.50e+04
2008 01 24  0044   54489    2640    0        4.7      425.2     8.93e+04
2008 01 24  0045   54489    2700    0        5.1      426.6     8.32e+04
