:Data_list: 20080209_ace_swepam_1m.txt
:Created: 2008 Feb 10 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 02 09  0000   54505       0    0        5.8      386.7     3.60e+04
2008 02 09  0001   54505      60    0        5.6      379.8     3.16e+04
2008 02 09  0002   54505     120    0        4.5      383.4     3.53e+04
2008 02 09  0003   54505     180    0        5.7      381.5     2.98e+04
2008 02 09  0004   54505     240    0        6.1      384.8     3.10e+04
2008 02 09  0005   54505     300    0        5.5      384.7     3.39e+04
2008 02 09  0006   54505     360    0        6.2      384.2     3.00e+04
2008 02 09  0007   54505     420    0        5.7      382.0     3.26e+04
2008 02 09  0008   54505     480    0        4.5      381.9     4.24e+04
2008 02 09  0009   54505     540    0        5.1      379.5     3.48e+04
2008 02 09  0010   54505     600    0        5.1      379.5     3.48e+04
2008 02 09  0011   54505     660    0        5.1      375.5     7.23e+04
2008 02 09  0012   54505     720    0        5.4      368.4     7.33e+04
2008 02 09  0013   54505     780    0        5.0      370.6     7.97e+04
2008 02 09  0014   54505     840    0        5.2      369.8     7.81e+04
2008 02 09  0015   54505     900    0        4.4      363.5     6.76e+04
2008 02 09  0016   54505     960    0        3.9      369.5     8.17e+04
2008 02 09  0017   54505    1020    0        5.1      369.1     7.10e+04
2008 02 09  0018   54505    1080    0        5.0      368.0     8.69e+04
2008 02 09  0019   54505    1140    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0020   54505    1200    0        4.8      374.6     5.68e+04
2008 02 09  0021   54505    1260    0        5.2      376.0     6.01e+04
2008 02 09  0022   54505    1320    0        4.8      377.5     5.42e+04
2008 02 09  0023   54505    1380    0        4.7      378.1     5.79e+04
2008 02 09  0024   54505    1440    0        4.6      378.9     5.78e+04
2008 02 09  0025   54505    1500    0        4.9      377.4     4.93e+04
2008 02 09  0026   54505    1560    0        4.9      377.4     4.93e+04
2008 02 09  0027   54505    1620    0        5.2      377.4     5.20e+04
2008 02 09  0028   54505    1680    0        4.7      380.8     4.64e+04
2008 02 09  0029   54505    1740    0        4.6      377.2     5.03e+04
2008 02 09  0030   54505    1800    0        4.8      378.2     5.19e+04
2008 02 09  0031   54505    1860    0        5.0      380.2     4.73e+04
2008 02 09  0032   54505    1920    0        4.9      378.4     5.12e+04
2008 02 09  0033   54505    1980    0        4.5      378.6     4.69e+04
2008 02 09  0034   54505    2040    0        4.9      376.5     4.95e+04
2008 02 09  0035   54505    2100    0        4.8      380.9     4.45e+04
2008 02 09  0036   54505    2160    0        4.2      372.6     4.72e+04
2008 02 09  0037   54505    2220    0        4.3      370.9     5.05e+04
2008 02 09  0038   54505    2280    0        4.2      369.9     5.38e+04
2008 02 09  0039   54505    2340    0        4.8      371.9     5.37e+04
2008 02 09  0040   54505    2400    0        4.1      369.8     5.16e+04
2008 02 09  0041   54505    2460    0        4.3      368.1     5.52e+04
2008 02 09  0042   54505    2520    0        4.3      368.1     5.52e+04
2008 02 09  0043   54505    2580    0        4.3      369.3     5.57e+04
2008 02 09  0044   54505    2640    0        4.6      368.9     4.97e+04
2008 02 09  0045   54505    2700    0        4.8      369.6     5.57e+04
2008 02 09  0046   54505    2760    0        4.5      369.0     5.55e+04
2008 02 09  0047   54505    2820    0        4.6      369.1     5.19e+04
2008 02 09  0048   54505    2880    0        4.7      370.0     5.47e+04
2008 02 09  0049   54505    2940    0        4.5      368.9     5.12e+04
2008 02 09  0050   54505    3000    0        4.8      368.4     5.64e+04
2008 02 09  0051   54505    3060    0        4.7      370.1     5.22e+04
2008 02 09  0052   54505    3120    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0053   54505    3180    0        4.6      370.0     5.32e+04
2008 02 09  0054   54505    3240    0        4.2      370.4     5.50e+04
2008 02 09  0055   54505    3300    0        4.7      370.5     5.37e+04
2008 02 09  0056   54505    3360    0        4.8      368.5     5.66e+04
2008 02 09  0057   54505    3420    0        4.3      371.4     5.88e+04
2008 02 09  0058   54505    3480    0        4.3      371.4     5.88e+04
2008 02 09  0059   54505    3540    0        4.4      368.2     5.81e+04
2008 02 09  0100   54505    3600    0        4.5      368.9     5.44e+04
2008 02 09  0101   54505    3660    0        4.9      369.3     5.46e+04
2008 02 09  0102   54505    3720    0        4.6      370.9     5.84e+04
2008 02 09  0103   54505    3780    0        4.5      371.0     5.82e+04
2008 02 09  0104   54505    3840    0        4.5      368.7     6.26e+04
2008 02 09  0105   54505    3900    0        4.5      367.4     6.32e+04
2008 02 09  0106   54505    3960    0        4.2      368.5     6.09e+04
2008 02 09  0107   54505    4020    0        5.0      367.1     5.78e+04
2008 02 09  0108   54505    4080    0        5.3      372.5     6.47e+04
2008 02 09  0109   54505    4140    0        4.6      368.7     6.75e+04
2008 02 09  0110   54505    4200    0        5.2      369.3     7.29e+04
2008 02 09  0111   54505    4260    0        5.2      370.2     5.99e+04
2008 02 09  0112   54505    4320    0        4.7      368.4     5.77e+04
2008 02 09  0113   54505    4380    0        5.1      366.5     5.66e+04
2008 02 09  0114   54505    4440    0        5.1      366.5     5.66e+04
2008 02 09  0115   54505    4500    0        4.4      370.1     6.93e+04
2008 02 09  0116   54505    4560    0        4.8      368.9     7.70e+04
2008 02 09  0117   54505    4620    0        5.3      371.9     7.82e+04
2008 02 09  0118   54505    4680    0        5.2      372.1     7.96e+04
2008 02 09  0119   54505    4740    0        5.8      371.5     7.54e+04
2008 02 09  0120   54505    4800    0        4.6      372.0     8.15e+04
2008 02 09  0121   54505    4860    0        5.2      369.0     7.77e+04
2008 02 09  0122   54505    4920    0        5.3      368.3     7.83e+04
2008 02 09  0123   54505    4980    0        5.1      369.4     8.49e+04
2008 02 09  0124   54505    5040    0        4.3      366.7     7.93e+04
2008 02 09  0125   54505    5100    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0126   54505    5160    0        4.9      368.7     8.47e+04
2008 02 09  0127   54505    5220    0        4.9      368.5     8.31e+04
2008 02 09  0128   54505    5280    0        5.0      368.9     7.87e+04
2008 02 09  0129   54505    5340    0        5.2      367.8     7.24e+04
2008 02 09  0130   54505    5400    0        5.2      367.8     7.24e+04
2008 02 09  0131   54505    5460    0        5.2      371.5     6.03e+04
2008 02 09  0132   54505    5520    0        5.1      370.9     6.56e+04
2008 02 09  0133   54505    5580    0        5.1      370.7     6.73e+04
2008 02 09  0134   54505    5640    0        5.3      369.4     7.13e+04
2008 02 09  0135   54505    5700    0        5.0      370.2     7.54e+04
2008 02 09  0136   54505    5760    0        5.0      370.0     7.66e+04
2008 02 09  0137   54505    5820    0        5.7      369.2     7.15e+04
2008 02 09  0138   54505    5880    0        5.0      370.1     6.83e+04
2008 02 09  0139   54505    5940    0        4.8      371.0     7.71e+04
2008 02 09  0140   54505    6000    0        4.8      369.0     7.67e+04
2008 02 09  0141   54505    6060    0        5.1      370.2     9.24e+04
2008 02 09  0142   54505    6120    0        6.1      370.1     8.18e+04
2008 02 09  0143   54505    6180    0        4.7      368.8     7.41e+04
2008 02 09  0144   54505    6240    0        4.7      370.4     8.75e+04
2008 02 09  0145   54505    6300    0        4.5      371.1     8.63e+04
2008 02 09  0146   54505    6360    0        4.5      371.1     8.63e+04
2008 02 09  0147   54505    6420    0        5.1      367.0     7.77e+04
2008 02 09  0148   54505    6480    0        5.1      366.7     7.41e+04
2008 02 09  0149   54505    6540    0        4.9      369.5     7.86e+04
2008 02 09  0150   54505    6600    0        4.6      370.0     8.16e+04
2008 02 09  0151   54505    6660    0        5.0      368.7     7.23e+04
2008 02 09  0152   54505    6720    0        4.8      367.9     7.62e+04
2008 02 09  0153   54505    6780    0        4.7      365.5     8.13e+04
2008 02 09  0154   54505    6840    0        4.8      365.6     7.77e+04
2008 02 09  0155   54505    6900    0        4.7      367.5     7.83e+04
2008 02 09  0156   54505    6960    0        4.7      366.1     7.75e+04
2008 02 09  0157   54505    7020    0        4.6      369.0     7.11e+04
2008 02 09  0158   54505    7080    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0159   54505    7140    0        4.5      368.1     6.81e+04
2008 02 09  0200   54505    7200    0        5.1      369.4     6.76e+04
2008 02 09  0201   54505    7260    0        4.7      369.4     7.35e+04
2008 02 09  0202   54505    7320    0        4.7      369.4     7.35e+04
2008 02 09  0203   54505    7380    0        4.9      369.4     7.30e+04
2008 02 09  0204   54505    7440    0        4.5      368.5     7.52e+04
2008 02 09  0205   54505    7500    0        4.9      368.6     7.37e+04
2008 02 09  0206   54505    7560    0        5.1      367.6     7.68e+04
2008 02 09  0207   54505    7620    0        4.7      368.7     7.19e+04
2008 02 09  0208   54505    7680    0        4.6      369.2     7.36e+04
2008 02 09  0209   54505    7740    0        4.7      368.6     6.94e+04
2008 02 09  0210   54505    7800    0        5.1      369.0     6.69e+04
2008 02 09  0211   54505    7860    0        5.1      368.4     6.80e+04
2008 02 09  0212   54505    7920    0        4.8      371.4     5.94e+04
2008 02 09  0213   54505    7980    0        5.2      369.0     6.02e+04
2008 02 09  0214   54505    8040    0        4.6      371.4     6.55e+04
2008 02 09  0215   54505    8100    0        4.8      370.0     6.92e+04
2008 02 09  0216   54505    8160    0        5.1      367.9     6.36e+04
2008 02 09  0217   54505    8220    0        4.9      367.3     5.45e+04
2008 02 09  0218   54505    8280    0        4.9      367.3     5.45e+04
2008 02 09  0219   54505    8340    0        5.0      369.9     5.45e+04
2008 02 09  0220   54505    8400    0        4.9      367.6     6.06e+04
2008 02 09  0221   54505    8460    0        4.5      365.6     6.93e+04
2008 02 09  0222   54505    8520    0        4.8      364.2     7.39e+04
2008 02 09  0223   54505    8580    0        5.2      362.3     7.46e+04
2008 02 09  0224   54505    8640    0        4.2      374.8     6.27e+04
2008 02 09  0225   54505    8700    0        4.5      370.9     4.70e+04
2008 02 09  0226   54505    8760    0        4.1      371.0     4.94e+04
2008 02 09  0227   54505    8820    0        4.2      374.3     5.64e+04
2008 02 09  0228   54505    8880    0        4.6      369.9     4.51e+04
2008 02 09  0229   54505    8940    0        4.9      372.9     5.91e+04
2008 02 09  0230   54505    9000    0        4.4      371.3     6.90e+04
2008 02 09  0231   54505    9060    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0232   54505    9120    0        4.4      372.5     5.26e+04
2008 02 09  0233   54505    9180    0        4.5      370.1     4.65e+04
2008 02 09  0234   54505    9240    0        4.5      370.1     4.65e+04
2008 02 09  0235   54505    9300    0        4.8      371.5     5.62e+04
2008 02 09  0236   54505    9360    0        4.0      373.2     4.61e+04
2008 02 09  0237   54505    9420    0        4.1      375.6     4.18e+04
2008 02 09  0238   54505    9480    0        4.6      371.6     3.99e+04
2008 02 09  0239   54505    9540    0        4.6      374.7     3.94e+04
2008 02 09  0240   54505    9600    0        5.0      371.5     3.67e+04
2008 02 09  0241   54505    9660    0        3.9      374.3     3.54e+04
2008 02 09  0242   54505    9720    0        4.2      373.1     3.68e+04
2008 02 09  0243   54505    9780    0        4.5      377.0     3.34e+04
2008 02 09  0244   54505    9840    0        4.4      374.5     3.63e+04
2008 02 09  0245   54505    9900    0        4.4      377.7     3.81e+04
2008 02 09  0246   54505    9960    0        5.4      383.1     3.50e+04
2008 02 09  0247   54505   10020    0        4.2      381.5     3.70e+04
2008 02 09  0248   54505   10080    0        5.6      385.8     3.74e+04
2008 02 09  0249   54505   10140    0        5.2      382.0     2.87e+04
2008 02 09  0250   54505   10200    0        5.2      382.0     2.87e+04
2008 02 09  0251   54505   10260    0        5.4      384.5     3.65e+04
2008 02 09  0252   54505   10320    0        6.2      385.8     3.51e+04
2008 02 09  0253   54505   10380    0        5.2      382.0     3.54e+04
2008 02 09  0254   54505   10440    0        5.5      385.4     3.10e+04
2008 02 09  0255   54505   10500    0        5.1      380.2     3.11e+04
2008 02 09  0256   54505   10560    0        5.6      381.4     2.85e+04
2008 02 09  0257   54505   10620    0        5.7      383.1     3.62e+04
2008 02 09  0258   54505   10680    0        6.2      385.0     3.47e+04
2008 02 09  0259   54505   10740    0        5.5      384.0     3.29e+04
2008 02 09  0300   54505   10800    0        6.0      384.9     3.47e+04
2008 02 09  0301   54505   10860    0        5.9      386.3     3.73e+04
2008 02 09  0302   54505   10920    0        5.1      383.8     2.94e+04
2008 02 09  0303   54505   10980    0        6.2      385.9     3.51e+04
2008 02 09  0304   54505   11040    9    -9999.9    -9999.9    -1.00e+05
2008 02 09  0305   54505   11100    0        5.5      387.1     3.20e+04
