:Data_list: 20080222_ace_sis_5m.txt
:Created: 2008 Feb 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 02 22  0000    54518       0      0    1.93e+00    0    1.35e+00
2008 02 22  0005    54518     300      0    1.98e+00    0    1.37e+00
2008 02 22  0010    54518     600      0    1.93e+00    0    1.35e+00
2008 02 22  0015    54518     900      0    1.96e+00    0    1.39e+00
2008 02 22  0020    54518    1200      0    1.96e+00    0    1.37e+00
2008 02 22  0025    54518    1500      0    1.97e+00    0    1.38e+00
2008 02 22  0030    54518    1800      0    1.93e+00    0    1.35e+00
2008 02 22  0035    54518    2100      0    2.00e+00    0    1.41e+00
2008 02 22  0040    54518    2400      0    1.93e+00    0    1.36e+00
2008 02 22  0045    54518    2700      0    1.93e+00    0    1.35e+00
2008 02 22  0050    54518    3000      0    1.98e+00    0    1.38e+00
2008 02 22  0055    54518    3300      0    1.94e+00    0    1.36e+00
2008 02 22  0100    54518    3600      0    1.99e+00    0    1.41e+00
2008 02 22  0105    54518    3900      0    1.94e+00    0    1.36e+00
2008 02 22  0110    54518    4200      0    1.95e+00    0    1.36e+00
2008 02 22  0115    54518    4500      0    1.94e+00    0    1.35e+00
2008 02 22  0120    54518    4800      0    1.96e+00    0    1.38e+00
2008 02 22  0125    54518    5100      0    1.93e+00    0    1.37e+00
2008 02 22  0130    54518    5400      0    1.98e+00    0    1.40e+00
2008 02 22  0135    54518    5700      0    1.97e+00    0    1.38e+00
2008 02 22  0140    54518    6000      0    1.98e+00    0    1.38e+00
2008 02 22  0145    54518    6300      0    1.95e+00    0    1.36e+00
2008 02 22  0150    54518    6600      0    1.94e+00    0    1.35e+00
2008 02 22  0155    54518    6900      0    1.95e+00    0    1.37e+00
2008 02 22  0200    54518    7200      0    1.90e+00    0    1.32e+00
2008 02 22  0205    54518    7500      0    1.97e+00    0    1.38e+00
2008 02 22  0210    54518    7800      0    1.94e+00    0    1.37e+00
2008 02 22  0215    54518    8100      0    1.96e+00    0    1.36e+00
2008 02 22  0220    54518    8400      0    1.95e+00    0    1.37e+00
2008 02 22  0225    54518    8700      0    1.91e+00    0    1.34e+00
2008 02 22  0230    54518    9000      0    1.97e+00    0    1.37e+00
2008 02 22  0235    54518    9300      0    1.91e+00    0    1.32e+00
2008 02 22  0240    54518    9600      0    1.95e+00    0    1.36e+00
2008 02 22  0245    54518    9900      0    1.96e+00    0    1.38e+00
2008 02 22  0250    54518   10200      0    1.96e+00    0    1.38e+00
2008 02 22  0255    54518   10500      0    1.95e+00    0    1.35e+00
2008 02 22  0300    54518   10800      0    1.92e+00    0    1.36e+00
2008 02 22  0305    54518   11100      0    1.92e+00    0    1.33e+00
2008 02 22  0310    54518   11400      0    1.95e+00    0    1.37e+00
2008 02 22  0315    54518   11700      0    1.99e+00    0    1.40e+00
2008 02 22  0320    54518   12000      0    1.96e+00    0    1.36e+00
2008 02 22  0325    54518   12300      0    1.94e+00    0    1.36e+00
2008 02 22  0330    54518   12600      0    1.94e+00    0    1.36e+00
2008 02 22  0335    54518   12900      0    1.99e+00    0    1.39e+00
2008 02 22  0340    54518   13200      0    1.92e+00    0    1.34e+00
2008 02 22  0345    54518   13500      0    1.97e+00    0    1.38e+00
2008 02 22  0350    54518   13800      0    1.93e+00    0    1.35e+00
2008 02 22  0355    54518   14100      0    1.93e+00    0    1.35e+00
2008 02 22  0400    54518   14400      0    1.92e+00    0    1.35e+00
2008 02 22  0405    54518   14700      0    1.95e+00    0    1.36e+00
2008 02 22  0410    54518   15000      0    1.97e+00    0    1.38e+00
2008 02 22  0415    54518   15300      0    1.92e+00    0    1.34e+00
2008 02 22  0420    54518   15600      0    1.94e+00    0    1.35e+00
2008 02 22  0425    54518   15900      0    1.94e+00    0    1.37e+00
2008 02 22  0430    54518   16200      0    1.97e+00    0    1.39e+00
2008 02 22  0435    54518   16500      0    1.94e+00    0    1.35e+00
2008 02 22  0440    54518   16800      0    1.95e+00    0    1.36e+00
2008 02 22  0445    54518   17100      0    1.90e+00    0    1.33e+00
2008 02 22  0450    54518   17400      0    1.90e+00    0    1.33e+00
2008 02 22  0455    54518   17700      0    1.97e+00    0    1.38e+00
2008 02 22  0500    54518   18000      0    1.97e+00    0    1.39e+00
2008 02 22  0505    54518   18300      0    1.94e+00    0    1.33e+00
2008 02 22  0510    54518   18600      0    1.98e+00    0    1.39e+00
2008 02 22  0515    54518   18900      0    1.94e+00    0    1.34e+00
2008 02 22  0520    54518   19200      0    1.94e+00    0    1.35e+00
2008 02 22  0525    54518   19500      0    1.93e+00    0    1.34e+00
2008 02 22  0530    54518   19800      0    1.95e+00    0    1.38e+00
2008 02 22  0535    54518   20100      0    1.92e+00    0    1.33e+00
2008 02 22  0540    54518   20400      0    1.97e+00    0    1.38e+00
2008 02 22  0545    54518   20700      0    1.95e+00    0    1.35e+00
2008 02 22  0550    54518   21000      0    1.93e+00    0    1.37e+00
2008 02 22  0555    54518   21300      0    1.96e+00    0    1.36e+00
2008 02 22  0600    54518   21600      0    1.96e+00    0    1.37e+00
2008 02 22  0605    54518   21900      0    1.92e+00    0    1.33e+00
2008 02 22  0610    54518   22200      0    1.92e+00    0    1.35e+00
2008 02 22  0615    54518   22500      0    1.94e+00    0    1.37e+00
2008 02 22  0620    54518   22800      0    1.97e+00    0    1.37e+00
