:Data_list: 20080303_ace_swepam_1m.txt
:Created: 2008 Mar 04 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 03 03  0000   54528       0    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0001   54528      60    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0002   54528     120    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0003   54528     180    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0004   54528     240    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0005   54528     300    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0006   54528     360    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0007   54528     420    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0008   54528     480    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0009   54528     540    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0010   54528     600    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0011   54528     660    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0012   54528     720    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0013   54528     780    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0014   54528     840    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0015   54528     900    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0016   54528     960    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0017   54528    1020    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0018   54528    1080    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0019   54528    1140    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0020   54528    1200    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0021   54528    1260    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0022   54528    1320    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0023   54528    1380    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0024   54528    1440    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0025   54528    1500    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0026   54528    1560    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0027   54528    1620    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0028   54528    1680    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0029   54528    1740    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0030   54528    1800    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0031   54528    1860    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0032   54528    1920    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0033   54528    1980    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0034   54528    2040    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0035   54528    2100    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0036   54528    2160    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0037   54528    2220    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0038   54528    2280    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0039   54528    2340    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0040   54528    2400    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0041   54528    2460    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0042   54528    2520    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0043   54528    2580    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0044   54528    2640    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0045   54528    2700    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0046   54528    2760    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0047   54528    2820    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0048   54528    2880    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0049   54528    2940    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0050   54528    3000    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0051   54528    3060    9    -9999.9    -9999.9    -1.00e+05
2008 03 03  0052   54528    3120    0        1.2      583.5     1.50e+05
2008 03 03  0053   54528    3180    0        1.2      580.9     1.60e+05
2008 03 03  0054   54528    3240    0        0.9      592.0     1.82e+05
2008 03 03  0055   54528    3300    0        1.4      584.5     1.51e+05
2008 03 03  0056   54528    3360    0        1.3      583.1     1.52e+05
2008 03 03  0057   54528    3420    0        1.2      583.2     1.56e+05
2008 03 03  0058   54528    3480    0        0.8      591.3     1.85e+05
2008 03 03  0059   54528    3540    0        0.8      591.3     1.85e+05
2008 03 03  0100   54528    3600    0        0.8      593.0     1.64e+05
2008 03 03  0101   54528    3660    1        0.8      586.9     1.85e+05
2008 03 03  0102   54528    3720    0        0.8      592.3     1.73e+05
2008 03 03  0103   54528    3780    0        0.8      593.0     1.68e+05
