:Data_list: 20080322_ace_sis_5m.txt
:Created: 2008 Mar 23 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 03 22  0000    54547       0      0    1.96e+00    0    1.37e+00
2008 03 22  0005    54547     300      0    1.92e+00    0    1.34e+00
2008 03 22  0010    54547     600      0    1.97e+00    0    1.38e+00
2008 03 22  0015    54547     900      0    1.95e+00    0    1.35e+00
2008 03 22  0020    54547    1200      0    1.96e+00    0    1.37e+00
2008 03 22  0025    54547    1500      0    1.94e+00    0    1.35e+00
2008 03 22  0030    54547    1800      0    1.91e+00    0    1.34e+00
2008 03 22  0035    54547    2100      0    1.91e+00    0    1.35e+00
2008 03 22  0040    54547    2400      0    1.97e+00    0    1.38e+00
2008 03 22  0045    54547    2700      0    1.96e+00    0    1.37e+00
2008 03 22  0050    54547    3000      0    1.94e+00    0    1.36e+00
2008 03 22  0055    54547    3300      0    1.96e+00    0    1.38e+00
2008 03 22  0100    54547    3600      0    1.96e+00    0    1.36e+00
2008 03 22  0105    54547    3900      0    1.85e+00    0    1.30e+00
2008 03 22  0110    54547    4200      0    1.96e+00    0    1.37e+00
2008 03 22  0115    54547    4500      0    1.93e+00    0    1.36e+00
2008 03 22  0120    54547    4800      0    1.83e+00    0    1.27e+00
2008 03 22  0125    54547    5100      0    1.93e+00    0    1.35e+00
2008 03 22  0130    54547    5400      0    1.96e+00    0    1.38e+00
2008 03 22  0135    54547    5700      0    1.95e+00    0    1.36e+00
2008 03 22  0140    54547    6000      0    1.91e+00    0    1.34e+00
2008 03 22  0145    54547    6300      0    1.92e+00    0    1.33e+00
2008 03 22  0150    54547    6600      0    1.93e+00    0    1.35e+00
2008 03 22  0155    54547    6900      0    1.90e+00    0    1.33e+00
2008 03 22  0200    54547    7200      0    1.94e+00    0    1.36e+00
2008 03 22  0205    54547    7500      0    1.93e+00    0    1.36e+00
2008 03 22  0210    54547    7800      0    1.96e+00    0    1.38e+00
2008 03 22  0215    54547    8100      0    1.93e+00    0    1.35e+00
2008 03 22  0220    54547    8400      0    1.91e+00    0    1.34e+00
2008 03 22  0225    54547    8700      0    1.91e+00    0    1.35e+00
2008 03 22  0230    54547    9000      0    1.92e+00    0    1.35e+00
2008 03 22  0235    54547    9300      0    1.96e+00    0    1.36e+00
2008 03 22  0240    54547    9600      0    1.91e+00    0    1.35e+00
2008 03 22  0245    54547    9900      0    1.95e+00    0    1.37e+00
2008 03 22  0250    54547   10200      0    1.94e+00    0    1.36e+00
2008 03 22  0255    54547   10500      0    1.97e+00    0    1.38e+00
2008 03 22  0300    54547   10800      0    1.95e+00    0    1.37e+00
2008 03 22  0305    54547   11100      0    1.93e+00    0    1.36e+00
2008 03 22  0310    54547   11400      0    1.96e+00    0    1.37e+00
2008 03 22  0315    54547   11700      0    1.93e+00    0    1.35e+00
2008 03 22  0320    54547   12000      0    1.89e+00    0    1.34e+00
2008 03 22  0325    54547   12300      0    1.91e+00    0    1.33e+00
2008 03 22  0330    54547   12600      0    1.92e+00    0    1.34e+00
2008 03 22  0335    54547   12900      0    1.89e+00    0    1.33e+00
2008 03 22  0340    54547   13200      0    1.90e+00    0    1.33e+00
2008 03 22  0345    54547   13500      0    1.93e+00    0    1.36e+00
2008 03 22  0350    54547   13800      0    1.94e+00    0    1.36e+00
2008 03 22  0355    54547   14100      0    1.91e+00    0    1.35e+00
2008 03 22  0400    54547   14400      0    1.92e+00    0    1.34e+00
2008 03 22  0405    54547   14700      0    1.93e+00    0    1.35e+00
2008 03 22  0410    54547   15000      0    1.95e+00    0    1.36e+00
2008 03 22  0415    54547   15300      0    1.93e+00    0    1.36e+00
2008 03 22  0420    54547   15600      0    1.95e+00    0    1.37e+00
2008 03 22  0425    54547   15900      0    1.89e+00    0    1.33e+00
2008 03 22  0430    54547   16200      0    1.90e+00    0    1.32e+00
2008 03 22  0435    54547   16500      0    1.93e+00    0    1.35e+00
2008 03 22  0440    54547   16800      0    1.93e+00    0    1.35e+00
2008 03 22  0445    54547   17100      0    1.91e+00    0    1.34e+00
2008 03 22  0450    54547   17400      0    1.93e+00    0    1.35e+00
2008 03 22  0455    54547   17700      0    1.92e+00    0    1.33e+00
2008 03 22  0500    54547   18000      0    1.92e+00    0    1.33e+00
2008 03 22  0505    54547   18300      0    1.92e+00    0    1.34e+00
2008 03 22  0510    54547   18600      0    1.95e+00    0    1.36e+00
2008 03 22  0515    54547   18900      0    1.96e+00    0    1.37e+00
2008 03 22  0520    54547   19200      0    1.92e+00    0    1.34e+00
2008 03 22  0525    54547   19500      0    1.89e+00    0    1.31e+00
2008 03 22  0530    54547   19800      0    1.96e+00    0    1.38e+00
2008 03 22  0535    54547   20100      0    1.93e+00    0    1.35e+00
2008 03 22  0540    54547   20400      0    1.92e+00    0    1.36e+00
2008 03 22  0545    54547   20700      0    1.95e+00    0    1.37e+00
2008 03 22  0550    54547   21000      0    1.94e+00    0    1.36e+00
2008 03 22  0555    54547   21300      0    1.95e+00    0    1.37e+00
2008 03 22  0600    54547   21600      0    1.89e+00    0    1.32e+00
2008 03 22  0605    54547   21900      0    1.89e+00    0    1.30e+00
2008 03 22  0610    54547   22200      0    1.94e+00    0    1.35e+00
2008 03 22  0615    54547   22500      0    1.96e+00    0    1.37e+00
2008 03 22  0620    54547   22800      0    1.95e+00    0    1.37e+00
2008 03 22  0625    54547   23100      0    1.93e+00    0    1.37e+00
2008 03 22  0630    54547   23400      0    1.90e+00    0    1.33e+00
2008 03 22  0635    54547   23700      0    1.96e+00    0    1.36e+00
2008 03 22  0640    54547   24000      0    1.88e+00    0    1.33e+00
2008 03 22  0645    54547   24300      0    1.93e+00    0    1.34e+00
2008 03 22  0650    54547   24600      0    1.91e+00    0    1.33e+00
2008 03 22  0655    54547   24900      0    1.94e+00    0    1.35e+00
2008 03 22  0700    54547   25200      0    1.95e+00    0    1.37e+00
2008 03 22  0705    54547   25500      0    1.97e+00    0    1.37e+00
2008 03 22  0710    54547   25800      0    1.92e+00    0    1.34e+00
2008 03 22  0715    54547   26100      0    1.90e+00    0    1.33e+00
2008 03 22  0720    54547   26400      0    1.93e+00    0    1.35e+00
2008 03 22  0725    54547   26700      0    1.91e+00    0    1.35e+00
2008 03 22  0730    54547   27000      0    1.93e+00    0    1.33e+00
2008 03 22  0735    54547   27300      0    1.91e+00    0    1.34e+00
2008 03 22  0740    54547   27600      0    1.93e+00    0    1.35e+00
2008 03 22  0745    54547   27900      0    1.95e+00    0    1.37e+00
2008 03 22  0750    54547   28200      0    1.96e+00    0    1.38e+00
2008 03 22  0755    54547   28500      0    1.93e+00    0    1.34e+00
2008 03 22  0800    54547   28800      0    1.91e+00    0    1.34e+00
2008 03 22  0805    54547   29100      0    1.94e+00    0    1.34e+00
2008 03 22  0810    54547   29400      0    1.91e+00    0    1.33e+00
2008 03 22  0815    54547   29700      0    1.93e+00    0    1.36e+00
2008 03 22  0820    54547   30000      0    1.93e+00    0    1.35e+00
2008 03 22  0825    54547   30300      0    1.91e+00    0    1.34e+00
2008 03 22  0830    54547   30600      0    1.91e+00    0    1.35e+00
2008 03 22  0835    54547   30900      0    1.92e+00    0    1.35e+00
2008 03 22  0840    54547   31200      0    1.91e+00    0    1.34e+00
2008 03 22  0845    54547   31500      0    1.91e+00    0    1.32e+00
2008 03 22  0850    54547   31800      0    1.92e+00    0    1.34e+00
2008 03 22  0855    54547   32100      0    1.96e+00    0    1.38e+00
2008 03 22  0900    54547   32400      0    1.91e+00    0    1.33e+00
2008 03 22  0905    54547   32700      0    1.91e+00    0    1.33e+00
2008 03 22  0910    54547   33000      0    1.93e+00    0    1.35e+00
2008 03 22  0915    54547   33300      0    1.95e+00    0    1.36e+00
2008 03 22  0920    54547   33600      0    1.89e+00    0    1.32e+00
2008 03 22  0925    54547   33900      0    1.94e+00    0    1.37e+00
2008 03 22  0930    54547   34200      0    1.95e+00    0    1.36e+00
2008 03 22  0935    54547   34500      0    1.95e+00    0    1.37e+00
2008 03 22  0940    54547   34800      0    1.92e+00    0    1.35e+00
2008 03 22  0945    54547   35100      0    1.89e+00    0    1.31e+00
2008 03 22  0950    54547   35400      0    1.96e+00    0    1.37e+00
2008 03 22  0955    54547   35700      0    1.94e+00    0    1.35e+00
2008 03 22  1000    54547   36000      0    1.91e+00    0    1.34e+00
2008 03 22  1005    54547   36300      0    1.95e+00    0    1.36e+00
2008 03 22  1010    54547   36600      0    1.94e+00    0    1.36e+00
2008 03 22  1015    54547   36900      0    1.97e+00    0    1.38e+00
2008 03 22  1020    54547   37200      0    1.95e+00    0    1.36e+00
2008 03 22  1025    54547   37500      0    1.95e+00    0    1.35e+00
2008 03 22  1030    54547   37800      0    1.93e+00    0    1.36e+00
2008 03 22  1035    54547   38100      0    1.97e+00    0    1.37e+00
2008 03 22  1040    54547   38400      0    1.96e+00    0    1.36e+00
2008 03 22  1045    54547   38700      0    1.89e+00    0    1.33e+00
2008 03 22  1050    54547   39000      0    1.82e+00    0    1.27e+00
2008 03 22  1055    54547   39300      0    1.91e+00    0    1.33e+00
2008 03 22  1100    54547   39600      0    1.93e+00    0    1.34e+00
2008 03 22  1105    54547   39900      0    1.91e+00    0    1.33e+00
2008 03 22  1110    54547   40200      0    1.95e+00    0    1.36e+00
2008 03 22  1115    54547   40500      0    1.95e+00    0    1.35e+00
2008 03 22  1120    54547   40800      0    1.93e+00    0    1.34e+00
2008 03 22  1125    54547   41100      0    1.90e+00    0    1.33e+00
2008 03 22  1130    54547   41400      0    1.91e+00    0    1.34e+00
2008 03 22  1135    54547   41700      0    1.93e+00    0    1.35e+00
2008 03 22  1140    54547   42000      0    1.94e+00    0    1.36e+00
2008 03 22  1145    54547   42300      0    1.92e+00    0    1.34e+00
