:Data_list: 20080331_ace_epam_5m.txt
:Created: 2008 Apr 01 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2008 03 31  0000   54556       0  0  7.03e+02  2.30e+01  0  1.18e+03  5.54e+01  6.76e+00  1.49e+00  4.35e-01   0.32
2008 03 31  0005   54556     300  0  6.12e+02  1.88e+01  0  1.11e+03  5.01e+01  6.46e+00  1.31e+00  2.61e-01   0.04
2008 03 31  0010   54556     600  0  7.05e+02  1.95e+01  0  1.15e+03  5.04e+01  6.03e+00  1.50e+00  3.37e-01   0.14
2008 03 31  0015   54556     900  0  8.22e+02  2.85e+01  0  1.16e+03  5.39e+01  6.64e+00  1.62e+00  3.77e-01   0.28
2008 03 31  0020   54556    1200  0  7.26e+02  2.73e+01  0  1.18e+03  5.81e+01  6.64e+00  1.41e+00  2.70e-01   0.39
2008 03 31  0025   54556    1500  0  7.21e+02  2.64e+01  0  1.15e+03  5.69e+01  6.61e+00  1.58e+00  3.57e-01   0.26
2008 03 31  0030   54556    1800  0  7.27e+02  2.34e+01  0  1.23e+03  5.83e+01  6.49e+00  1.56e+00  2.95e-01   0.11
2008 03 31  0035   54556    2100  0  7.88e+02  3.27e+01  0  1.27e+03  5.78e+01  7.48e+00  1.44e+00  3.17e-01   0.15
2008 03 31  0040   54556    2400  0  6.78e+02  2.52e+01  0  1.10e+03  5.40e+01  7.12e+00  1.37e+00  3.38e-01   0.25
2008 03 31  0045   54556    2700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0050   54556    3000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0055   54556    3300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0100   54556    3600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0105   54556    3900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0110   54556    4200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0115   54556    4500  0  6.07e+02  2.52e+01  0  1.17e+03  6.75e+01  7.28e+00  1.44e+00  3.81e-01   0.05
2008 03 31  0120   54556    4800  0  8.17e+02  3.04e+01  0  1.25e+03  7.03e+01  6.49e+00  1.69e+00  2.55e-01   0.29
2008 03 31  0125   54556    5100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0130   54556    5400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0135   54556    5700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0140   54556    6000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0145   54556    6300  0  7.12e+02  2.95e+01  0  1.34e+03  9.26e+01  8.85e+00  1.99e+00  3.04e-01   0.19
2008 03 31  0150   54556    6600  0  7.42e+02  3.02e+01  0  1.27e+03  9.37e+01  9.16e+00  1.88e+00  4.64e-01   0.35
2008 03 31  0155   54556    6900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0200   54556    7200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0205   54556    7500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0210   54556    7800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0215   54556    8100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0220   54556    8400  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0225   54556    8700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0230   54556    9000  0  6.81e+02  3.68e+01  0  1.53e+03  1.11e+02  1.09e+01  1.51e+00  3.22e-01   0.77
2008 03 31  0235   54556    9300  0  7.25e+02  2.61e+01  0  1.47e+03  1.09e+02  9.34e+00  1.87e+00  2.84e-01   0.09
2008 03 31  0240   54556    9600  0  7.49e+02  2.44e+01  0  1.39e+03  1.10e+02  9.74e+00  1.52e+00  3.86e-01   0.25
2008 03 31  0245   54556    9900  0  8.51e+02  3.10e+01  0  1.51e+03  1.13e+02  9.65e+00  2.04e+00  3.28e-01   0.25
2008 03 31  0250   54556   10200  0  7.45e+02  2.49e+01  0  1.52e+03  1.30e+02  1.09e+01  1.79e+00  4.43e-01   0.13
2008 03 31  0255   54556   10500  0  7.03e+02  2.78e+01  0  1.31e+03  1.01e+02  1.01e+01  2.08e+00  4.44e-01   0.19
2008 03 31  0300   54556   10800  0  8.53e+02  2.68e+01  0  1.42e+03  9.38e+01  1.04e+01  1.77e+00  4.73e-01   0.28
2008 03 31  0305   54556   11100  0  7.21e+02  2.91e+01  0  1.45e+03  1.03e+02  9.47e+00  1.51e+00  4.25e-01   0.19
2008 03 31  0310   54556   11400  0  7.21e+02  2.60e+01  0  1.49e+03  1.24e+02  1.17e+01  1.85e+00  3.67e-01   0.29
2008 03 31  0315   54556   11700  0  7.75e+02  2.50e+01  0  1.47e+03  1.26e+02  1.08e+01  1.68e+00  3.96e-01   0.43
2008 03 31  0320   54556   12000  0  7.74e+02  2.96e+01  0  1.59e+03  1.32e+02  1.08e+01  1.64e+00  3.48e-01   0.19
2008 03 31  0325   54556   12300  0  7.79e+02  2.53e+01  0  1.54e+03  1.27e+02  1.01e+01  1.85e+00  2.63e-01   0.28
2008 03 31  0330   54556   12600  0  7.39e+02  2.43e+01  0  1.52e+03  1.17e+02  1.05e+01  1.37e+00  3.86e-01   0.28
2008 03 31  0335   54556   12900  0  8.78e+02  2.85e+01  0  1.53e+03  1.27e+02  1.09e+01  1.60e+00  4.54e-01   0.26
2008 03 31  0340   54556   13200  0  7.38e+02  2.65e+01  0  1.46e+03  1.04e+02  9.47e+00  1.81e+00  3.58e-01   0.19
2008 03 31  0345   54556   13500  0  8.36e+02  2.37e+01  0  1.45e+03  1.02e+02  9.04e+00  1.50e+00  3.30e-01   0.19
2008 03 31  0350   54556   13800  0  7.76e+02  2.85e+01  0  1.29e+03  1.01e+02  9.17e+00  1.35e+00  3.67e-01   0.21
2008 03 31  0355   54556   14100  0  7.77e+02  2.88e+01  0  1.48e+03  9.96e+01  1.02e+01  1.41e+00  4.11e-01   0.26
2008 03 31  0400   54556   14400  0  6.19e+02  2.89e+01  0  1.48e+03  9.81e+01  9.09e+00  1.97e+00  3.48e-01   0.15
2008 03 31  0405   54556   14700  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0410   54556   15000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0415   54556   15300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0420   54556   15600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0425   54556   15900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0430   54556   16200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0435   54556   16500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0440   54556   16800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0445   54556   17100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0450   54556   17400  0  7.46e+02  2.41e+01  0  1.65e+03  1.35e+02  1.01e+01  1.61e+00  4.13e-01   0.38
2008 03 31  0455   54556   17700  0  6.79e+02  2.25e+01  0  1.62e+03  1.48e+02  1.10e+01  1.42e+00  3.48e-01   0.79
2008 03 31  0500   54556   18000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0505   54556   18300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0510   54556   18600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0515   54556   18900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0520   54556   19200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0525   54556   19500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0530   54556   19800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 03 31  0535   54556   20100  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
