:Data_list: 20080401_ace_sis_5m.txt
:Created: 2008 Apr 02 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 04 01  0000    54557       0      0    1.94e+00    0    1.38e+00
2008 04 01  0005    54557     300      0    1.95e+00    0    1.38e+00
2008 04 01  0010    54557     600      0    1.87e+00    0    1.33e+00
2008 04 01  0015    54557     900      9   -1.00e+05    9   -1.00e+05
2008 04 01  0020    54557    1200      9   -1.00e+05    9   -1.00e+05
2008 04 01  0025    54557    1500      9   -1.00e+05    9   -1.00e+05
2008 04 01  0030    54557    1800      9   -1.00e+05    9   -1.00e+05
2008 04 01  0035    54557    2100      9   -1.00e+05    9   -1.00e+05
2008 04 01  0040    54557    2400      9   -1.00e+05    9   -1.00e+05
2008 04 01  0045    54557    2700      9   -1.00e+05    9   -1.00e+05
2008 04 01  0050    54557    3000      9   -1.00e+05    9   -1.00e+05
2008 04 01  0055    54557    3300      9   -1.00e+05    9   -1.00e+05
2008 04 01  0100    54557    3600      9   -1.00e+05    9   -1.00e+05
2008 04 01  0105    54557    3900      9   -1.00e+05    9   -1.00e+05
2008 04 01  0110    54557    4200      9   -1.00e+05    9   -1.00e+05
2008 04 01  0115    54557    4500      9   -1.00e+05    9   -1.00e+05
2008 04 01  0120    54557    4800      9   -1.00e+05    9   -1.00e+05
2008 04 01  0125    54557    5100      9   -1.00e+05    9   -1.00e+05
2008 04 01  0130    54557    5400      9   -1.00e+05    9   -1.00e+05
2008 04 01  0135    54557    5700      9   -1.00e+05    9   -1.00e+05
2008 04 01  0140    54557    6000      9   -1.00e+05    9   -1.00e+05
2008 04 01  0145    54557    6300      9   -1.00e+05    9   -1.00e+05
2008 04 01  0150    54557    6600      9   -1.00e+05    9   -1.00e+05
2008 04 01  0155    54557    6900      9   -1.00e+05    9   -1.00e+05
2008 04 01  0200    54557    7200      9   -1.00e+05    9   -1.00e+05
2008 04 01  0205    54557    7500      9   -1.00e+05    9   -1.00e+05
2008 04 01  0210    54557    7800      9   -1.00e+05    9   -1.00e+05
2008 04 01  0215    54557    8100      9   -1.00e+05    9   -1.00e+05
2008 04 01  0220    54557    8400      9   -1.00e+05    9   -1.00e+05
2008 04 01  0225    54557    8700      9   -1.00e+05    9   -1.00e+05
2008 04 01  0230    54557    9000      9   -1.00e+05    9   -1.00e+05
2008 04 01  0235    54557    9300      9   -1.00e+05    9   -1.00e+05
2008 04 01  0240    54557    9600      9   -1.00e+05    9   -1.00e+05
2008 04 01  0245    54557    9900      9   -1.00e+05    9   -1.00e+05
2008 04 01  0250    54557   10200      9   -1.00e+05    9   -1.00e+05
2008 04 01  0255    54557   10500      9   -1.00e+05    9   -1.00e+05
2008 04 01  0300    54557   10800      9   -1.00e+05    9   -1.00e+05
2008 04 01  0305    54557   11100      9   -1.00e+05    9   -1.00e+05
2008 04 01  0310    54557   11400      9   -1.00e+05    9   -1.00e+05
2008 04 01  0315    54557   11700      9   -1.00e+05    9   -1.00e+05
2008 04 01  0320    54557   12000      9   -1.00e+05    9   -1.00e+05
2008 04 01  0325    54557   12300      9   -1.00e+05    9   -1.00e+05
