:Data_list: 20080405_ace_swepam_1m.txt
:Created: 2008 Apr 06 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 04 05  0000   54561       0    0        3.4      551.8     3.64e+05
2008 04 05  0001   54561      60    1        1.4      488.8     1.38e+05
2008 04 05  0002   54561     120    1        2.4      534.1     5.36e+05
2008 04 05  0003   54561     180    0        2.2      549.2     5.71e+05
2008 04 05  0004   54561     240    0        1.8      551.1     4.78e+05
2008 04 05  0005   54561     300    0        1.7      547.0     4.89e+05
2008 04 05  0006   54561     360    0        1.6      543.0     5.01e+05
2008 04 05  0007   54561     420    1        2.1      558.8     6.03e+05
2008 04 05  0008   54561     480    0        1.8      559.3     5.57e+05
2008 04 05  0009   54561     540    0        3.1      551.7     4.83e+05
2008 04 05  0010   54561     600    0        1.7      554.2     6.24e+05
2008 04 05  0011   54561     660    1        0.8      480.3     1.12e+05
2008 04 05  0012   54561     720    1        1.7      533.2     4.08e+05
2008 04 05  0013   54561     780    1    -9999.9    -9999.9    -1.00e+05
2008 04 05  0014   54561     840    0        3.2      574.0     3.91e+05
2008 04 05  0015   54561     900    0        3.0      567.8     3.86e+05
2008 04 05  0016   54561     960    0        2.9      567.6     4.32e+05
2008 04 05  0017   54561    1020    0        3.2      568.2     4.15e+05
2008 04 05  0018   54561    1080    1        1.9      543.6     5.16e+05
2008 04 05  0019   54561    1140    0        3.0      569.0     4.39e+05
2008 04 05  0020   54561    1200    9    -9999.9    -9999.9    -1.00e+05
2008 04 05  0021   54561    1260    0        0.3      437.8     5.08e+04
2008 04 05  0022   54561    1320    6    -9999.9    -9999.9    -1.00e+05
2008 04 05  0023   54561    1380    0        2.6      561.3     3.94e+05
2008 04 05  0024   54561    1440    0        2.2      570.7     2.61e+05
2008 04 05  0025   54561    1500    0        1.7      570.9     5.65e+05
2008 04 05  0026   54561    1560    0        1.5      579.6     4.03e+05
2008 04 05  0027   54561    1620    1        1.5      555.4     2.87e+05
2008 04 05  0028   54561    1680    0        1.5      555.3     4.39e+05
2008 04 05  0029   54561    1740    0        1.6      570.2     4.42e+05
2008 04 05  0030   54561    1800    0        2.0      561.5     4.78e+05
2008 04 05  0031   54561    1860    0        1.7      558.0     4.43e+05
2008 04 05  0032   54561    1920    0        1.8      555.7     4.59e+05
2008 04 05  0033   54561    1980    0        2.3      572.3     4.47e+05
2008 04 05  0034   54561    2040    0        2.0      560.2     4.40e+05
2008 04 05  0035   54561    2100    0        1.5      568.3     4.68e+05
2008 04 05  0036   54561    2160    1        0.6      494.7     8.79e+04
2008 04 05  0037   54561    2220    0        1.2      517.7     2.32e+05
2008 04 05  0038   54561    2280    0        1.8      540.6     3.76e+05
2008 04 05  0039   54561    2340    0        1.4      543.9     6.10e+05
2008 04 05  0040   54561    2400    0        2.6      558.2     5.67e+05
2008 04 05  0041   54561    2460    1        1.4      540.3     5.02e+05
2008 04 05  0042   54561    2520    0        2.1      544.6     4.20e+05
2008 04 05  0043   54561    2580    0        2.9      538.8     3.28e+05
2008 04 05  0044   54561    2640    0        3.2      536.9     3.44e+05
2008 04 05  0045   54561    2700    0        2.3      539.5     4.02e+05
2008 04 05  0046   54561    2760    9    -9999.9    -9999.9    -1.00e+05
2008 04 05  0047   54561    2820    1        2.0      552.1     5.87e+05
2008 04 05  0048   54561    2880    0        2.2      524.4     2.92e+05
2008 04 05  0049   54561    2940    0        2.4      526.2     2.77e+05
2008 04 05  0050   54561    3000    0        2.8      532.5     2.98e+05
2008 04 05  0051   54561    3060    0        2.7      526.3     2.34e+05
2008 04 05  0052   54561    3120    1        2.8      535.2     2.95e+05
2008 04 05  0053   54561    3180    1        3.0      540.3     3.73e+05
2008 04 05  0054   54561    3240    1        3.2      545.3     4.51e+05
2008 04 05  0055   54561    3300    1        3.2      547.3     4.20e+05
2008 04 05  0056   54561    3360    1        2.2      523.0     2.82e+05
2008 04 05  0057   54561    3420    0        3.0      539.0     3.93e+05
2008 04 05  0058   54561    3480    1        1.5      520.8     2.82e+05
2008 04 05  0059   54561    3540    0        0.9      491.3     1.25e+05
2008 04 05  0100   54561    3600    0        1.4      518.2     3.29e+05
2008 04 05  0101   54561    3660    1        1.8      513.7     2.06e+05
2008 04 05  0102   54561    3720    0        1.3      519.2     2.49e+05
2008 04 05  0103   54561    3780    0        1.5      525.5     3.25e+05
