:Data_list: 20080502_ace_sis_5m.txt
:Created: 2008 May 03 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 05 02  0000    54588       0      0    1.85e+00    0    1.30e+00
2008 05 02  0005    54588     300      0    1.89e+00    0    1.32e+00
2008 05 02  0010    54588     600      0    1.87e+00    0    1.31e+00
2008 05 02  0015    54588     900      0    1.67e+00    0    1.15e+00
2008 05 02  0020    54588    1200      9   -1.00e+05    0    1.92e+01
2008 05 02  0025    54588    1500      0    2.21e+00    0    1.38e+00
2008 05 02  0030    54588    1800      0    1.88e+00    0    1.33e+00
2008 05 02  0035    54588    2100      0    1.87e+00    0    1.33e+00
2008 05 02  0040    54588    2400      0    1.84e+00    0    1.29e+00
2008 05 02  0045    54588    2700      0    1.87e+00    0    1.29e+00
2008 05 02  0050    54588    3000      0    1.86e+00    0    1.31e+00
2008 05 02  0055    54588    3300      0    1.89e+00    0    1.32e+00
2008 05 02  0100    54588    3600      0    1.84e+00    0    1.29e+00
2008 05 02  0105    54588    3900      0    1.87e+00    0    1.31e+00
2008 05 02  0110    54588    4200      0    1.84e+00    0    1.29e+00
2008 05 02  0115    54588    4500      0    1.86e+00    0    1.30e+00
2008 05 02  0120    54588    4800      0    1.92e+00    0    1.34e+00
2008 05 02  0125    54588    5100      0    1.85e+00    0    1.28e+00
2008 05 02  0130    54588    5400      0    1.85e+00    0    1.28e+00
2008 05 02  0135    54588    5700      0    1.87e+00    0    1.31e+00
2008 05 02  0140    54588    6000      0    1.85e+00    0    1.30e+00
2008 05 02  0145    54588    6300      0    1.79e+00    0    1.25e+00
2008 05 02  0150    54588    6600      0    1.88e+00    0    1.32e+00
2008 05 02  0155    54588    6900      0    1.84e+00    0    1.27e+00
2008 05 02  0200    54588    7200      0    1.86e+00    0    1.29e+00
2008 05 02  0205    54588    7500      0    1.88e+00    0    1.30e+00
2008 05 02  0210    54588    7800      0    1.87e+00    0    1.31e+00
2008 05 02  0215    54588    8100      0    1.90e+00    0    1.32e+00
2008 05 02  0220    54588    8400      0    1.88e+00    0    1.33e+00
2008 05 02  0225    54588    8700      0    1.87e+00    0    1.31e+00
2008 05 02  0230    54588    9000      0    1.86e+00    0    1.30e+00
2008 05 02  0235    54588    9300      0    1.88e+00    0    1.31e+00
2008 05 02  0240    54588    9600      0    1.88e+00    0    1.32e+00
2008 05 02  0245    54588    9900      0    1.82e+00    0    1.27e+00
2008 05 02  0250    54588   10200      0    1.85e+00    0    1.29e+00
2008 05 02  0255    54588   10500      0    1.86e+00    0    1.30e+00
2008 05 02  0300    54588   10800      0    1.88e+00    0    1.32e+00
2008 05 02  0305    54588   11100      0    1.86e+00    0    1.30e+00
2008 05 02  0310    54588   11400      0    1.82e+00    0    1.26e+00
2008 05 02  0315    54588   11700      0    1.86e+00    0    1.28e+00
2008 05 02  0320    54588   12000      0    1.86e+00    0    1.31e+00
2008 05 02  0325    54588   12300      0    1.89e+00    0    1.32e+00
2008 05 02  0330    54588   12600      0    1.85e+00    0    1.28e+00
2008 05 02  0335    54588   12900      0    1.86e+00    0    1.30e+00
2008 05 02  0340    54588   13200      0    1.93e+00    0    1.36e+00
2008 05 02  0345    54588   13500      0    1.91e+00    0    1.33e+00
2008 05 02  0350    54588   13800      0    1.84e+00    0    1.29e+00
2008 05 02  0355    54588   14100      0    1.86e+00    0    1.28e+00
2008 05 02  0400    54588   14400      0    1.88e+00    0    1.32e+00
2008 05 02  0405    54588   14700      0    1.84e+00    0    1.29e+00
2008 05 02  0410    54588   15000      0    1.88e+00    0    1.32e+00
2008 05 02  0415    54588   15300      0    1.88e+00    0    1.31e+00
2008 05 02  0420    54588   15600      0    1.92e+00    0    1.33e+00
2008 05 02  0425    54588   15900      0    1.89e+00    0    1.33e+00
2008 05 02  0430    54588   16200      0    1.87e+00    0    1.30e+00
2008 05 02  0435    54588   16500      0    1.85e+00    0    1.29e+00
2008 05 02  0440    54588   16800      0    1.89e+00    0    1.32e+00
2008 05 02  0445    54588   17100      0    1.83e+00    0    1.29e+00
2008 05 02  0450    54588   17400      0    1.90e+00    0    1.33e+00
2008 05 02  0455    54588   17700      0    1.86e+00    0    1.30e+00
2008 05 02  0500    54588   18000      0    1.86e+00    0    1.30e+00
2008 05 02  0505    54588   18300      0    1.88e+00    0    1.32e+00
2008 05 02  0510    54588   18600      0    1.86e+00    0    1.32e+00
2008 05 02  0515    54588   18900      0    1.92e+00    0    1.35e+00
2008 05 02  0520    54588   19200      0    1.84e+00    0    1.30e+00
2008 05 02  0525    54588   19500      0    1.89e+00    0    1.32e+00
2008 05 02  0530    54588   19800      0    1.88e+00    0    1.32e+00
2008 05 02  0535    54588   20100      0    1.90e+00    0    1.33e+00
2008 05 02  0540    54588   20400      0    1.88e+00    0    1.31e+00
2008 05 02  0545    54588   20700      0    1.90e+00    0    1.33e+00
2008 05 02  0550    54588   21000      0    1.86e+00    0    1.31e+00
2008 05 02  0555    54588   21300      0    1.90e+00    0    1.33e+00
2008 05 02  0600    54588   21600      0    1.88e+00    0    1.31e+00
2008 05 02  0605    54588   21900      0    1.88e+00    0    1.31e+00
2008 05 02  0610    54588   22200      0    1.86e+00    0    1.30e+00
2008 05 02  0615    54588   22500      0    1.83e+00    0    1.27e+00
2008 05 02  0620    54588   22800      0    1.89e+00    0    1.33e+00
2008 05 02  0625    54588   23100      0    1.87e+00    0    1.29e+00
2008 05 02  0630    54588   23400      0    1.86e+00    0    1.29e+00
2008 05 02  0635    54588   23700      0    1.85e+00    0    1.29e+00
2008 05 02  0640    54588   24000      0    1.84e+00    0    1.29e+00
2008 05 02  0645    54588   24300      0    1.85e+00    0    1.30e+00
2008 05 02  0650    54588   24600      0    1.87e+00    0    1.30e+00
2008 05 02  0655    54588   24900      0    1.91e+00    0    1.32e+00
2008 05 02  0700    54588   25200      0    1.85e+00    0    1.29e+00
2008 05 02  0705    54588   25500      0    1.78e+00    0    1.24e+00
2008 05 02  0710    54588   25800      0    1.93e+00    0    1.35e+00
2008 05 02  0715    54588   26100      0    1.91e+00    0    1.33e+00
2008 05 02  0720    54588   26400      0    1.89e+00    0    1.33e+00
2008 05 02  0725    54588   26700      0    1.90e+00    0    1.34e+00
2008 05 02  0730    54588   27000      0    1.86e+00    0    1.32e+00
2008 05 02  0735    54588   27300      0    1.86e+00    0    1.30e+00
2008 05 02  0740    54588   27600      0    1.93e+00    0    1.36e+00
2008 05 02  0745    54588   27900      0    1.91e+00    0    1.34e+00
2008 05 02  0750    54588   28200      0    1.84e+00    0    1.28e+00
2008 05 02  0755    54588   28500      0    1.86e+00    0    1.29e+00
2008 05 02  0800    54588   28800      0    1.90e+00    0    1.34e+00
2008 05 02  0805    54588   29100      0    1.86e+00    0    1.29e+00
2008 05 02  0810    54588   29400      0    1.88e+00    0    1.31e+00
2008 05 02  0815    54588   29700      0    1.91e+00    0    1.33e+00
2008 05 02  0820    54588   30000      0    1.89e+00    0    1.31e+00
2008 05 02  0825    54588   30300      0    1.89e+00    0    1.32e+00
2008 05 02  0830    54588   30600      0    1.90e+00    0    1.34e+00
2008 05 02  0835    54588   30900      0    1.88e+00    0    1.31e+00
