:Data_list: 20080516_ace_epam_5m.txt
:Created: 2008 May 17 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2008 05 16  0000   54602       0  0  5.26e+02  3.19e+01  0  7.44e+02  1.66e+01  1.92e+00  5.14e-01  7.38e-02   0.30
2008 05 16  0005   54602     300  0  6.46e+02  3.10e+01  0  7.97e+02  1.77e+01  2.40e+00  6.48e-01  1.16e-01   0.28
2008 05 16  0010   54602     600  0  5.56e+02  2.61e+01  0  7.92e+02  1.96e+01  2.33e+00  8.11e-01  2.11e-01   0.22
2008 05 16  0015   54602     900  0  5.44e+02  2.62e+01  0  8.12e+02  1.83e+01  2.37e+00  4.38e-01  2.03e-01   0.21
2008 05 16  0020   54602    1200  0  5.56e+02  2.82e+01  0  7.05e+02  1.60e+01  2.49e+00  6.10e-01  1.45e-01   0.44
2008 05 16  0025   54602    1500  0  6.15e+02  2.55e+01  0  8.32e+02  2.00e+01  2.13e+00  5.82e-01  2.42e-01   0.12
2008 05 16  0030   54602    1800  0  6.17e+02  2.59e+01  0  7.76e+02  1.72e+01  2.22e+00  7.24e-01  1.64e-01   0.51
2008 05 16  0035   54602    2100  0  5.69e+02  3.19e+01  0  7.44e+02  1.60e+01  2.22e+00  4.76e-01  1.74e-01   0.37
2008 05 16  0040   54602    2400  0  6.93e+02  3.01e+01  0  8.17e+02  1.70e+01  1.80e+00  5.14e-01  1.93e-01   0.13
2008 05 16  0045   54602    2700  0  5.28e+02  2.85e+01  0  8.39e+02  1.61e+01  2.38e+00  6.40e-01  1.39e-01   1.05
2008 05 16  0050   54602    3000  0  5.72e+02  2.29e+01  0  7.57e+02  1.82e+01  1.98e+00  4.95e-01  2.51e-01   0.34
2008 05 16  0055   54602    3300  0  5.99e+02  2.13e+01  0  7.80e+02  1.52e+01  2.27e+00  6.17e-01  1.16e-01   0.48
2008 05 16  0100   54602    3600  0  3.77e+02  2.34e+01  0  8.44e+02  1.46e+01  1.44e+00  2.29e-01  0.00e+00   2.00
2008 05 16  0105   54602    3900  0  5.08e+02  2.68e+01  0  7.77e+02  1.65e+01  2.16e+00  3.81e-01  1.16e-01   0.65
2008 05 16  0110   54602    4200  0  5.24e+02  2.73e+01  0  7.48e+02  1.69e+01  1.95e+00  4.95e-01  1.35e-01   0.27
2008 05 16  0115   54602    4500  0  6.22e+02  2.47e+01  0  7.64e+02  1.68e+01  1.77e+00  5.82e-01  1.05e-01   0.38
2008 05 16  0120   54602    4800  0  5.19e+02  2.31e+01  0  7.98e+02  1.89e+01  2.36e+00  4.75e-01  1.55e-01   0.51
2008 05 16  0125   54602    5100  0  5.39e+02  2.72e+01  0  8.27e+02  1.47e+01  1.93e+00  7.90e-01  1.48e-01   0.17
2008 05 16  0130   54602    5400  0  5.75e+02  2.49e+01  0  7.80e+02  1.71e+01  1.90e+00  6.44e-01  2.21e-01   0.28
2008 05 16  0135   54602    5700  0  5.92e+02  2.76e+01  0  7.73e+02  1.79e+01  2.50e+00  4.57e-01  1.07e-01   0.30
