:Data_list: 20080519_ace_swepam_1m.txt
:Created: 2008 May 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 05 19  0000   54605       0    9    -9999.9    -9999.9    -1.00e+05
2008 05 19  0001   54605      60    0        2.6      341.0     4.46e+04
2008 05 19  0002   54605     120    0        2.5      341.9     5.05e+04
2008 05 19  0003   54605     180    0        2.5      341.2     5.62e+04
2008 05 19  0004   54605     240    0        2.8      340.3     4.71e+04
2008 05 19  0005   54605     300    0        2.7      341.5     4.90e+04
2008 05 19  0006   54605     360    0        2.5      343.4     4.77e+04
2008 05 19  0007   54605     420    0        2.6      342.2     4.81e+04
2008 05 19  0008   54605     480    0        2.3      343.0     4.68e+04
2008 05 19  0009   54605     540    0        1.7      344.7     5.27e+04
2008 05 19  0010   54605     600    0        2.2      341.8     4.79e+04
2008 05 19  0011   54605     660    0        2.3      337.6     5.35e+04
2008 05 19  0012   54605     720    0        1.9      344.0     5.12e+04
2008 05 19  0013   54605     780    0        2.7      341.2     4.29e+04
2008 05 19  0014   54605     840    0        1.7      343.0     5.33e+04
2008 05 19  0015   54605     900    0        2.3      340.1     5.19e+04
2008 05 19  0016   54605     960    0        2.5      341.0     5.17e+04
2008 05 19  0017   54605    1020    0        2.5      341.0     5.17e+04
2008 05 19  0018   54605    1080    0        2.7      339.2     5.26e+04
2008 05 19  0019   54605    1140    0        2.3      341.0     5.17e+04
2008 05 19  0020   54605    1200    0        2.2      339.2     6.92e+04
2008 05 19  0021   54605    1260    9    -9999.9    -9999.9    -1.00e+05
2008 05 19  0022   54605    1320    0        2.4      337.2     5.28e+04
2008 05 19  0023   54605    1380    0        3.0      336.9     5.16e+04
2008 05 19  0024   54605    1440    0        2.0      342.2     5.82e+04
2008 05 19  0025   54605    1500    0        2.5      340.7     5.50e+04
2008 05 19  0026   54605    1560    0        2.1      340.9     5.44e+04
2008 05 19  0027   54605    1620    0        2.3      341.2     6.21e+04
2008 05 19  0028   54605    1680    0        2.6      344.7     4.69e+04
2008 05 19  0029   54605    1740    0        2.5      338.6     6.26e+04
2008 05 19  0030   54605    1800    0        2.8      340.3     5.42e+04
2008 05 19  0031   54605    1860    0        2.5      337.4     6.92e+04
2008 05 19  0032   54605    1920    0        2.4      341.8     5.71e+04
2008 05 19  0033   54605    1980    0        2.4      341.8     5.71e+04
2008 05 19  0034   54605    2040    0        2.3      344.5     4.90e+04
2008 05 19  0035   54605    2100    0        2.0      343.6     6.59e+04
2008 05 19  0036   54605    2160    0        2.5      338.1     5.19e+04
2008 05 19  0037   54605    2220    0        2.2      341.2     4.59e+04
2008 05 19  0038   54605    2280    0        2.1      338.1     6.05e+04
2008 05 19  0039   54605    2340    0        2.2      338.9     5.27e+04
2008 05 19  0040   54605    2400    0        2.2      339.3     5.39e+04
2008 05 19  0041   54605    2460    0        2.0      341.3     5.90e+04
2008 05 19  0042   54605    2520    0        2.1      336.9     5.67e+04
2008 05 19  0043   54605    2580    0        2.1      339.5     4.90e+04
2008 05 19  0044   54605    2640    0        2.1      334.8     5.39e+04
2008 05 19  0045   54605    2700    0        2.2      336.5     5.96e+04
2008 05 19  0046   54605    2760    0        1.8      339.3     4.71e+04
2008 05 19  0047   54605    2820    0        1.6      339.1     6.59e+04
2008 05 19  0048   54605    2880    0        2.4      340.6     4.94e+04
2008 05 19  0049   54605    2940    0        2.4      340.6     4.94e+04
2008 05 19  0050   54605    3000    0        2.3      343.4     5.78e+04
2008 05 19  0051   54605    3060    0        2.2      343.3     4.86e+04
