:Data_list: 20080613_ace_swepam_1m.txt
:Created: 2008 Jun 14 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 06 13  0000   54630       0    0        1.4      303.1     1.64e+04
2008 06 13  0001   54630      60    0        1.2      302.4     1.37e+04
2008 06 13  0002   54630     120    0        1.2      302.2     1.81e+04
2008 06 13  0003   54630     180    0        1.3      306.5     2.06e+04
2008 06 13  0004   54630     240    0        1.4      306.9     2.19e+04
2008 06 13  0005   54630     300    0        1.2      304.1     2.51e+04
2008 06 13  0006   54630     360    9    -9999.9    -9999.9    -1.00e+05
2008 06 13  0007   54630     420    0        1.1      304.2     1.39e+04
2008 06 13  0008   54630     480    0        1.1      298.5     1.32e+04
2008 06 13  0009   54630     540    0        1.0      301.4     1.38e+04
2008 06 13  0010   54630     600    0        1.0      303.0     2.27e+04
2008 06 13  0011   54630     660    0        1.2      303.6     1.61e+04
2008 06 13  0012   54630     720    0        0.9      303.8     1.52e+04
2008 06 13  0013   54630     780    0        1.1      308.4     2.08e+04
2008 06 13  0014   54630     840    0        1.0      307.4     1.90e+04
2008 06 13  0015   54630     900    0        1.0      306.4     1.72e+04
2008 06 13  0016   54630     960    0        1.1      301.1     1.19e+04
2008 06 13  0017   54630    1020    0        1.2      302.9     1.95e+04
2008 06 13  0018   54630    1080    0        0.8      306.1    -1.00e+05
2008 06 13  0019   54630    1140    0        1.0      304.1     1.35e+04
2008 06 13  0020   54630    1200    0        1.1      303.9    -1.00e+05
2008 06 13  0021   54630    1260    0        1.2      304.2     1.51e+04
2008 06 13  0022   54630    1320    0        1.1      306.0     1.59e+04
2008 06 13  0023   54630    1380    0        1.2      304.3     1.38e+04
2008 06 13  0024   54630    1440    0        1.0      304.9     1.27e+04
2008 06 13  0025   54630    1500    0        1.0      301.7     1.51e+04
2008 06 13  0026   54630    1560    0        1.3      303.3     1.18e+04
2008 06 13  0027   54630    1620    0        1.2      301.1     1.51e+04
2008 06 13  0028   54630    1680    0        1.0      303.5    -1.00e+05
2008 06 13  0029   54630    1740    0        1.0      306.3     1.47e+04
2008 06 13  0030   54630    1800    0        1.0      307.9     1.42e+04
2008 06 13  0031   54630    1860    0        1.1      309.5     1.38e+04
2008 06 13  0032   54630    1920    0        1.0      307.0     1.31e+04
2008 06 13  0033   54630    1980    0        1.4      303.9     1.25e+04
2008 06 13  0034   54630    2040    0        1.1      304.4     1.15e+04
2008 06 13  0035   54630    2100    0        1.0      302.9     1.12e+04
2008 06 13  0036   54630    2160    0        0.9      304.1     1.66e+04
2008 06 13  0037   54630    2220    0        1.1      305.8     1.23e+04
2008 06 13  0038   54630    2280    0        1.2      304.4     1.45e+04
2008 06 13  0039   54630    2340    9    -9999.9    -9999.9    -1.00e+05
2008 06 13  0040   54630    2400    0        1.1      307.3     1.40e+04
2008 06 13  0041   54630    2460    0        0.7      303.0    -1.00e+05
2008 06 13  0042   54630    2520    0        1.1      306.8     1.89e+04
2008 06 13  0043   54630    2580    0        1.3      307.2     1.74e+04
2008 06 13  0044   54630    2640    0        0.9      307.4     1.50e+04
2008 06 13  0045   54630    2700    0        0.9      308.8    -1.00e+05
2008 06 13  0046   54630    2760    0        1.0      305.9     1.16e+04
2008 06 13  0047   54630    2820    0        1.1      303.0     1.16e+04
2008 06 13  0048   54630    2880    0        0.9      308.0     1.54e+04
2008 06 13  0049   54630    2940    0        1.2      305.1     1.47e+04
2008 06 13  0050   54630    3000    0        1.2      304.4     2.16e+04
2008 06 13  0051   54630    3060    0        1.2      305.9     1.16e+04
2008 06 13  0052   54630    3120    0        0.9      300.0     1.16e+04
2008 06 13  0053   54630    3180    0        1.4      303.0     1.12e+04
2008 06 13  0054   54630    3240    0        1.1      302.6     1.31e+04
2008 06 13  0055   54630    3300    0        1.0      304.5     1.53e+04
2008 06 13  0056   54630    3360    0        1.2      302.1     1.76e+04
2008 06 13  0057   54630    3420    0        1.0      305.7     1.19e+04
2008 06 13  0058   54630    3480    0        1.4      303.8     1.72e+04
2008 06 13  0059   54630    3540    0        1.0      306.0     1.09e+04
2008 06 13  0100   54630    3600    0        1.7      306.3     2.05e+04
2008 06 13  0101   54630    3660    0        1.4      308.2     1.94e+04
2008 06 13  0102   54630    3720    0        1.5      306.9     1.73e+04
2008 06 13  0103   54630    3780    0        1.6      305.6     1.53e+04
2008 06 13  0104   54630    3840    0        1.3      306.5     1.80e+04
2008 06 13  0105   54630    3900    0        1.5      304.6     1.59e+04
2008 06 13  0106   54630    3960    0        1.4      304.7     1.59e+04
2008 06 13  0107   54630    4020    0        1.7      303.8     2.32e+04
2008 06 13  0108   54630    4080    0        1.5      303.7     1.21e+04
2008 06 13  0109   54630    4140    0        1.3      300.9     1.00e+04
2008 06 13  0110   54630    4200    0        1.2      307.3     1.43e+04
2008 06 13  0111   54630    4260    0        1.2      302.1     1.22e+04
2008 06 13  0112   54630    4320    9    -9999.9    -9999.9    -1.00e+05
2008 06 13  0113   54630    4380    0        1.3      307.0     1.19e+04
2008 06 13  0114   54630    4440    0        1.4      304.0     1.96e+04
2008 06 13  0115   54630    4500    0        1.2      303.9     1.32e+04
2008 06 13  0116   54630    4560    0        1.3      305.2     1.35e+04
2008 06 13  0117   54630    4620    0        1.0      310.9     1.42e+04
2008 06 13  0118   54630    4680    0        0.9      310.2     1.37e+04
2008 06 13  0119   54630    4740    0        0.9      309.6     1.31e+04
2008 06 13  0120   54630    4800    0        1.2      309.4     1.07e+04
2008 06 13  0121   54630    4860    0        1.1      306.8     1.21e+04
