:Data_list: 20080614_ace_sis_5m.txt
:Created: 2008 Jun 15 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 06 14  0000    54631       0      0    2.00e+00    0    1.39e+00
2008 06 14  0005    54631     300      0    1.98e+00    0    1.38e+00
2008 06 14  0010    54631     600      0    1.99e+00    0    1.39e+00
2008 06 14  0015    54631     900      0    1.98e+00    0    1.37e+00
2008 06 14  0020    54631    1200      0    1.99e+00    0    1.39e+00
2008 06 14  0025    54631    1500      0    1.97e+00    0    1.38e+00
2008 06 14  0030    54631    1800      0    2.01e+00    0    1.39e+00
2008 06 14  0035    54631    2100      0    2.03e+00    0    1.42e+00
2008 06 14  0040    54631    2400      0    1.97e+00    0    1.37e+00
2008 06 14  0045    54631    2700      0    1.95e+00    0    1.37e+00
2008 06 14  0050    54631    3000      0    1.99e+00    0    1.40e+00
2008 06 14  0055    54631    3300      0    2.00e+00    0    1.41e+00
2008 06 14  0100    54631    3600      0    2.01e+00    0    1.41e+00
2008 06 14  0105    54631    3900      0    1.98e+00    0    1.39e+00
2008 06 14  0110    54631    4200      0    2.01e+00    0    1.40e+00
2008 06 14  0115    54631    4500      0    1.99e+00    0    1.39e+00
2008 06 14  0120    54631    4800      0    1.96e+00    0    1.37e+00
2008 06 14  0125    54631    5100      0    2.02e+00    0    1.41e+00
2008 06 14  0130    54631    5400      0    1.99e+00    0    1.39e+00
2008 06 14  0135    54631    5700      0    2.00e+00    0    1.39e+00
2008 06 14  0140    54631    6000      0    1.99e+00    0    1.39e+00
2008 06 14  0145    54631    6300      0    2.01e+00    0    1.41e+00
2008 06 14  0150    54631    6600      0    1.97e+00    0    1.39e+00
2008 06 14  0155    54631    6900      0    1.98e+00    0    1.39e+00
2008 06 14  0200    54631    7200      0    1.97e+00    0    1.38e+00
2008 06 14  0205    54631    7500      0    1.96e+00    0    1.37e+00
2008 06 14  0210    54631    7800      0    1.96e+00    0    1.36e+00
2008 06 14  0215    54631    8100      0    1.99e+00    0    1.39e+00
2008 06 14  0220    54631    8400      0    1.98e+00    0    1.39e+00
2008 06 14  0225    54631    8700      0    1.98e+00    0    1.40e+00
2008 06 14  0230    54631    9000      0    2.02e+00    0    1.42e+00
2008 06 14  0235    54631    9300      0    2.00e+00    0    1.39e+00
2008 06 14  0240    54631    9600      0    1.99e+00    0    1.40e+00
2008 06 14  0245    54631    9900      0    1.96e+00    0    1.35e+00
2008 06 14  0250    54631   10200      0    2.01e+00    0    1.40e+00
2008 06 14  0255    54631   10500      0    2.03e+00    0    1.43e+00
2008 06 14  0300    54631   10800      0    2.03e+00    0    1.42e+00
2008 06 14  0305    54631   11100      0    2.00e+00    0    1.42e+00
2008 06 14  0310    54631   11400      0    1.98e+00    0    1.40e+00
2008 06 14  0315    54631   11700      0    2.01e+00    0    1.40e+00
2008 06 14  0320    54631   12000      0    1.99e+00    0    1.38e+00
2008 06 14  0325    54631   12300      0    1.99e+00    0    1.39e+00
2008 06 14  0330    54631   12600      0    1.97e+00    0    1.38e+00
2008 06 14  0335    54631   12900      0    2.01e+00    0    1.40e+00
2008 06 14  0340    54631   13200      0    1.97e+00    0    1.37e+00
