:Data_list: 20080714_ace_sis_5m.txt
:Created: 2008 Jul 15 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 07 14  0000    54661       0      0    1.90e+00    0    1.33e+00
2008 07 14  0005    54661     300      0    1.91e+00    0    1.33e+00
2008 07 14  0010    54661     600      0    1.93e+00    0    1.34e+00
2008 07 14  0015    54661     900      0    1.88e+00    0    1.32e+00
2008 07 14  0020    54661    1200      0    1.93e+00    0    1.35e+00
2008 07 14  0025    54661    1500      0    1.89e+00    0    1.33e+00
2008 07 14  0030    54661    1800      0    1.90e+00    0    1.32e+00
2008 07 14  0035    54661    2100      0    1.89e+00    0    1.31e+00
2008 07 14  0040    54661    2400      0    1.90e+00    0    1.35e+00
2008 07 14  0045    54661    2700      0    1.88e+00    0    1.32e+00
2008 07 14  0050    54661    3000      0    1.89e+00    0    1.31e+00
2008 07 14  0055    54661    3300      0    1.90e+00    0    1.34e+00
2008 07 14  0100    54661    3600      0    1.83e+00    0    1.28e+00
2008 07 14  0105    54661    3900      0    1.93e+00    0    1.35e+00
2008 07 14  0110    54661    4200      0    1.87e+00    0    1.32e+00
2008 07 14  0115    54661    4500      0    1.90e+00    0    1.32e+00
2008 07 14  0120    54661    4800      0    1.90e+00    0    1.33e+00
2008 07 14  0125    54661    5100      0    1.93e+00    0    1.35e+00
2008 07 14  0130    54661    5400      0    1.93e+00    0    1.36e+00
2008 07 14  0135    54661    5700      0    1.89e+00    0    1.32e+00
2008 07 14  0140    54661    6000      0    1.92e+00    0    1.33e+00
2008 07 14  0145    54661    6300      0    1.92e+00    0    1.34e+00
2008 07 14  0150    54661    6600      0    1.89e+00    0    1.31e+00
2008 07 14  0155    54661    6900      0    1.91e+00    0    1.34e+00
2008 07 14  0200    54661    7200      0    1.90e+00    0    1.33e+00
2008 07 14  0205    54661    7500      0    1.91e+00    0    1.33e+00
2008 07 14  0210    54661    7800      0    1.92e+00    0    1.33e+00
2008 07 14  0215    54661    8100      0    1.91e+00    0    1.34e+00
2008 07 14  0220    54661    8400      0    1.92e+00    0    1.34e+00
2008 07 14  0225    54661    8700      0    1.89e+00    0    1.34e+00
2008 07 14  0230    54661    9000      0    1.91e+00    0    1.33e+00
2008 07 14  0235    54661    9300      0    1.94e+00    0    1.36e+00
2008 07 14  0240    54661    9600      0    1.91e+00    0    1.33e+00
2008 07 14  0245    54661    9900      0    1.94e+00    0    1.37e+00
2008 07 14  0250    54661   10200      0    1.92e+00    0    1.35e+00
2008 07 14  0255    54661   10500      0    1.90e+00    0    1.34e+00
2008 07 14  0300    54661   10800      0    1.89e+00    0    1.31e+00
2008 07 14  0305    54661   11100      0    1.91e+00    0    1.34e+00
2008 07 14  0310    54661   11400      0    1.93e+00    0    1.34e+00
2008 07 14  0315    54661   11700      0    1.89e+00    0    1.32e+00
2008 07 14  0320    54661   12000      0    1.89e+00    0    1.31e+00
2008 07 14  0325    54661   12300      0    1.95e+00    0    1.36e+00
2008 07 14  0330    54661   12600      0    1.91e+00    0    1.33e+00
2008 07 14  0335    54661   12900      0    1.90e+00    0    1.32e+00
2008 07 14  0340    54661   13200      0    1.88e+00    0    1.33e+00
2008 07 14  0345    54661   13500      0    1.90e+00    0    1.33e+00
2008 07 14  0350    54661   13800      0    1.91e+00    0    1.34e+00
2008 07 14  0355    54661   14100      0    1.88e+00    0    1.32e+00
2008 07 14  0400    54661   14400      0    1.89e+00    0    1.33e+00
2008 07 14  0405    54661   14700      0    1.89e+00    0    1.33e+00
2008 07 14  0410    54661   15000      0    1.90e+00    0    1.33e+00
2008 07 14  0415    54661   15300      0    1.92e+00    0    1.34e+00
2008 07 14  0420    54661   15600      0    1.90e+00    0    1.33e+00
2008 07 14  0425    54661   15900      0    1.91e+00    0    1.34e+00
2008 07 14  0430    54661   16200      0    1.90e+00    0    1.34e+00
2008 07 14  0435    54661   16500      0    1.94e+00    0    1.34e+00
2008 07 14  0440    54661   16800      0    1.91e+00    0    1.34e+00
2008 07 14  0445    54661   17100      0    1.90e+00    0    1.32e+00
2008 07 14  0450    54661   17400      0    1.90e+00    0    1.33e+00
2008 07 14  0455    54661   17700      0    1.92e+00    0    1.34e+00
2008 07 14  0500    54661   18000      0    1.94e+00    0    1.36e+00
2008 07 14  0505    54661   18300      0    1.91e+00    0    1.35e+00
2008 07 14  0510    54661   18600      0    1.90e+00    0    1.32e+00
2008 07 14  0515    54661   18900      0    1.90e+00    0    1.32e+00
2008 07 14  0520    54661   19200      0    1.94e+00    0    1.36e+00
2008 07 14  0525    54661   19500      0    1.87e+00    0    1.31e+00
2008 07 14  0530    54661   19800      0    1.94e+00    0    1.35e+00
2008 07 14  0535    54661   20100      0    1.94e+00    0    1.36e+00
2008 07 14  0540    54661   20400      0    1.93e+00    0    1.36e+00
2008 07 14  0545    54661   20700      0    1.91e+00    0    1.34e+00
2008 07 14  0550    54661   21000      0    1.93e+00    0    1.36e+00
2008 07 14  0555    54661   21300      0    1.90e+00    0    1.33e+00
2008 07 14  0600    54661   21600      0    1.93e+00    0    1.35e+00
2008 07 14  0605    54661   21900      0    1.89e+00    0    1.32e+00
2008 07 14  0610    54661   22200      0    1.88e+00    0    1.32e+00
2008 07 14  0615    54661   22500      0    1.86e+00    0    1.31e+00
2008 07 14  0620    54661   22800      0    1.94e+00    0    1.36e+00
2008 07 14  0625    54661   23100      0    1.90e+00    0    1.33e+00
2008 07 14  0630    54661   23400      0    1.90e+00    0    1.31e+00
2008 07 14  0635    54661   23700      0    1.94e+00    0    1.35e+00
2008 07 14  0640    54661   24000      0    1.92e+00    0    1.34e+00
2008 07 14  0645    54661   24300      0    1.94e+00    0    1.35e+00
2008 07 14  0650    54661   24600      0    1.80e+00    0    1.26e+00
2008 07 14  0655    54661   24900      0    1.88e+00    0    1.31e+00
2008 07 14  0700    54661   25200      0    1.95e+00    0    1.37e+00
2008 07 14  0705    54661   25500      0    1.90e+00    0    1.34e+00
2008 07 14  0710    54661   25800      0    1.90e+00    0    1.32e+00
2008 07 14  0715    54661   26100      0    1.92e+00    0    1.34e+00
2008 07 14  0720    54661   26400      0    1.87e+00    0    1.31e+00
2008 07 14  0725    54661   26700      0    1.93e+00    0    1.35e+00
2008 07 14  0730    54661   27000      0    1.88e+00    0    1.32e+00
2008 07 14  0735    54661   27300      0    1.89e+00    0    1.32e+00
2008 07 14  0740    54661   27600      0    1.90e+00    0    1.32e+00
2008 07 14  0745    54661   27900      0    1.90e+00    0    1.32e+00
2008 07 14  0750    54661   28200      0    1.89e+00    0    1.32e+00
2008 07 14  0755    54661   28500      0    1.91e+00    0    1.34e+00
2008 07 14  0800    54661   28800      0    1.91e+00    0    1.33e+00
2008 07 14  0805    54661   29100      0    1.90e+00    0    1.33e+00
2008 07 14  0810    54661   29400      0    1.91e+00    0    1.34e+00
2008 07 14  0815    54661   29700      0    1.92e+00    0    1.34e+00
2008 07 14  0820    54661   30000      0    1.91e+00    0    1.33e+00
2008 07 14  0825    54661   30300      0    1.90e+00    0    1.32e+00
2008 07 14  0830    54661   30600      0    1.90e+00    0    1.33e+00
2008 07 14  0835    54661   30900      0    1.92e+00    0    1.35e+00
2008 07 14  0840    54661   31200      0    1.91e+00    0    1.34e+00
2008 07 14  0845    54661   31500      0    1.91e+00    0    1.33e+00
2008 07 14  0850    54661   31800      0    1.91e+00    0    1.33e+00
2008 07 14  0855    54661   32100      0    1.93e+00    0    1.35e+00
2008 07 14  0900    54661   32400      0    1.88e+00    0    1.30e+00
2008 07 14  0905    54661   32700      0    1.92e+00    0    1.34e+00
2008 07 14  0910    54661   33000      0    1.94e+00    0    1.36e+00
2008 07 14  0915    54661   33300      0    1.88e+00    0    1.32e+00
2008 07 14  0920    54661   33600      0    1.85e+00    0    1.30e+00
2008 07 14  0925    54661   33900      0    1.91e+00    0    1.34e+00
2008 07 14  0930    54661   34200      0    1.94e+00    0    1.37e+00
2008 07 14  0935    54661   34500      0    1.91e+00    0    1.33e+00
2008 07 14  0940    54661   34800      0    1.91e+00    0    1.35e+00
2008 07 14  0945    54661   35100      0    1.91e+00    0    1.34e+00
2008 07 14  0950    54661   35400      0    1.95e+00    0    1.36e+00
2008 07 14  0955    54661   35700      0    1.92e+00    0    1.33e+00
2008 07 14  1000    54661   36000      0    1.93e+00    0    1.34e+00
2008 07 14  1005    54661   36300      0    1.93e+00    0    1.35e+00
2008 07 14  1010    54661   36600      0    1.93e+00    0    1.34e+00
2008 07 14  1015    54661   36900      0    1.90e+00    0    1.33e+00
2008 07 14  1020    54661   37200      0    1.88e+00    0    1.31e+00
2008 07 14  1025    54661   37500      0    1.91e+00    0    1.35e+00
2008 07 14  1030    54661   37800      0    1.91e+00    0    1.33e+00
2008 07 14  1035    54661   38100      0    1.86e+00    0    1.30e+00
2008 07 14  1040    54661   38400      0    1.93e+00    0    1.35e+00
2008 07 14  1045    54661   38700      0    1.90e+00    0    1.35e+00
2008 07 14  1050    54661   39000      0    1.92e+00    0    1.35e+00
2008 07 14  1055    54661   39300      0    1.89e+00    0    1.32e+00
2008 07 14  1100    54661   39600      0    1.88e+00    0    1.31e+00
2008 07 14  1105    54661   39900      0    1.91e+00    0    1.34e+00
2008 07 14  1110    54661   40200      0    1.87e+00    0    1.32e+00
2008 07 14  1115    54661   40500      0    1.93e+00    0    1.35e+00
2008 07 14  1120    54661   40800      0    1.96e+00    0    1.39e+00
2008 07 14  1125    54661   41100      0    1.92e+00    0    1.34e+00
2008 07 14  1130    54661   41400      0    1.91e+00    0    1.34e+00
2008 07 14  1135    54661   41700      0    1.89e+00    0    1.32e+00
2008 07 14  1140    54661   42000      0    1.90e+00    0    1.32e+00
2008 07 14  1145    54661   42300      0    1.88e+00    0    1.31e+00
2008 07 14  1150    54661   42600      0    1.90e+00    0    1.32e+00
2008 07 14  1155    54661   42900      0    1.92e+00    0    1.33e+00
2008 07 14  1200    54661   43200      0    1.91e+00    0    1.32e+00
2008 07 14  1205    54661   43500      0    1.90e+00    0    1.33e+00
2008 07 14  1210    54661   43800      0    1.91e+00    0    1.34e+00
2008 07 14  1215    54661   44100      0    1.90e+00    0    1.32e+00
2008 07 14  1220    54661   44400      0    1.90e+00    0    1.34e+00
2008 07 14  1225    54661   44700      0    1.90e+00    0    1.33e+00
2008 07 14  1230    54661   45000      0    1.91e+00    0    1.33e+00
2008 07 14  1235    54661   45300      0    1.91e+00    0    1.34e+00
2008 07 14  1240    54661   45600      0    1.91e+00    0    1.33e+00
2008 07 14  1245    54661   45900      0    1.90e+00    0    1.33e+00
2008 07 14  1250    54661   46200      0    1.91e+00    0    1.32e+00
2008 07 14  1255    54661   46500      0    1.92e+00    0    1.34e+00
2008 07 14  1300    54661   46800      0    1.91e+00    0    1.33e+00
2008 07 14  1305    54661   47100      0    1.88e+00    0    1.32e+00
2008 07 14  1310    54661   47400      0    1.89e+00    0    1.32e+00
2008 07 14  1315    54661   47700      0    1.91e+00    0    1.33e+00
2008 07 14  1320    54661   48000      0    1.91e+00    0    1.34e+00
2008 07 14  1325    54661   48300      0    1.92e+00    0    1.35e+00
2008 07 14  1330    54661   48600      0    1.89e+00    0    1.33e+00
2008 07 14  1335    54661   48900      0    1.89e+00    0    1.32e+00
2008 07 14  1340    54661   49200      0    1.91e+00    0    1.33e+00
2008 07 14  1345    54661   49500      0    1.91e+00    0    1.33e+00
2008 07 14  1350    54661   49800      0    1.91e+00    0    1.34e+00
2008 07 14  1355    54661   50100      0    1.91e+00    0    1.34e+00
2008 07 14  1400    54661   50400      0    1.88e+00    0    1.31e+00
2008 07 14  1405    54661   50700      0    1.88e+00    0    1.30e+00
2008 07 14  1410    54661   51000      0    1.94e+00    0    1.36e+00
2008 07 14  1415    54661   51300      0    1.94e+00    0    1.36e+00
2008 07 14  1420    54661   51600      0    1.94e+00    0    1.34e+00
2008 07 14  1425    54661   51900      0    1.90e+00    0    1.31e+00
2008 07 14  1430    54661   52200      0    1.91e+00    0    1.33e+00
2008 07 14  1435    54661   52500      0    1.91e+00    0    1.35e+00
2008 07 14  1440    54661   52800      0    1.92e+00    0    1.34e+00
2008 07 14  1445    54661   53100      0    1.91e+00    0    1.34e+00
2008 07 14  1450    54661   53400      0    1.85e+00    0    1.30e+00
2008 07 14  1455    54661   53700      0    1.94e+00    0    1.33e+00
2008 07 14  1500    54661   54000      0    1.92e+00    0    1.34e+00
2008 07 14  1505    54661   54300      0    1.94e+00    0    1.36e+00
2008 07 14  1510    54661   54600      0    1.90e+00    0    1.33e+00
2008 07 14  1515    54661   54900      0    1.90e+00    0    1.33e+00
2008 07 14  1520    54661   55200      0    1.92e+00    0    1.34e+00
2008 07 14  1525    54661   55500      0    1.88e+00    0    1.32e+00
2008 07 14  1530    54661   55800      0    1.91e+00    0    1.34e+00
2008 07 14  1535    54661   56100      0    1.88e+00    0    1.31e+00
2008 07 14  1540    54661   56400      0    1.89e+00    0    1.33e+00
2008 07 14  1545    54661   56700      0    1.91e+00    0    1.33e+00
2008 07 14  1550    54661   57000      0    1.92e+00    0    1.35e+00
2008 07 14  1555    54661   57300      0    1.90e+00    0    1.32e+00
2008 07 14  1600    54661   57600      0    1.94e+00    0    1.36e+00
2008 07 14  1605    54661   57900      0    1.90e+00    0    1.33e+00
2008 07 14  1610    54661   58200      0    1.90e+00    0    1.33e+00
2008 07 14  1615    54661   58500      0    1.91e+00    0    1.35e+00
2008 07 14  1620    54661   58800      0    1.92e+00    0    1.35e+00
2008 07 14  1625    54661   59100      0    1.91e+00    0    1.33e+00
2008 07 14  1630    54661   59400      0    1.90e+00    0    1.34e+00
2008 07 14  1635    54661   59700      0    1.87e+00    0    1.31e+00
2008 07 14  1640    54661   60000      0    1.87e+00    0    1.30e+00
2008 07 14  1645    54661   60300      0    1.90e+00    0    1.32e+00
2008 07 14  1650    54661   60600      0    1.89e+00    0    1.30e+00
2008 07 14  1655    54661   60900      0    1.93e+00    0    1.35e+00
2008 07 14  1700    54661   61200      0    1.91e+00    0    1.33e+00
2008 07 14  1705    54661   61500      0    1.90e+00    0    1.34e+00
2008 07 14  1710    54661   61800      0    1.87e+00    0    1.30e+00
2008 07 14  1715    54661   62100      0    1.91e+00    0    1.34e+00
2008 07 14  1720    54661   62400      0    1.89e+00    0    1.33e+00
2008 07 14  1725    54661   62700      0    1.89e+00    0    1.32e+00
2008 07 14  1730    54661   63000      0    1.89e+00    0    1.32e+00
2008 07 14  1735    54661   63300      0    1.89e+00    0    1.33e+00
