:Data_list: 20080717_ace_swepam_1m.txt
:Created: 2008 Jul 18 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 07 17  0000   54664       0    0        2.0      512.6     8.41e+04
2008 07 17  0001   54664      60    0        2.3      510.9     7.65e+04
2008 07 17  0002   54664     120    0        2.1      507.1     1.05e+05
2008 07 17  0003   54664     180    0        1.7      519.9     9.43e+04
2008 07 17  0004   54664     240    0        1.7      521.0     6.77e+04
2008 07 17  0005   54664     300    0        1.6      520.8     7.04e+04
2008 07 17  0006   54664     360    0        1.7      520.6     7.57e+04
2008 07 17  0007   54664     420    0        1.9      518.7     7.84e+04
2008 07 17  0008   54664     480    0        2.1      518.3     7.30e+04
2008 07 17  0009   54664     540    0        1.8      518.3     7.67e+04
2008 07 17  0010   54664     600    0        1.8      518.5     8.34e+04
2008 07 17  0011   54664     660    0        2.2      527.5     9.43e+04
2008 07 17  0012   54664     720    0        2.4      523.2     1.07e+05
2008 07 17  0013   54664     780    0        2.1      524.3     9.26e+04
2008 07 17  0014   54664     840    0        1.8      521.1     8.02e+04
2008 07 17  0015   54664     900    0        1.8      521.1     8.02e+04
2008 07 17  0016   54664     960    0        1.9      517.9     7.16e+04
2008 07 17  0017   54664    1020    0        1.8      517.1     7.61e+04
2008 07 17  0018   54664    1080    0        1.8      513.5     8.43e+04
2008 07 17  0019   54664    1140    0        2.1      519.2     1.03e+05
2008 07 17  0020   54664    1200    0        2.3      532.2     1.05e+05
2008 07 17  0021   54664    1260    0        2.1      526.7     9.05e+04
2008 07 17  0022   54664    1320    0        2.1      532.8     9.49e+04
2008 07 17  0023   54664    1380    0        2.3      531.3     1.08e+05
2008 07 17  0024   54664    1440    0        2.1      535.4     9.09e+04
2008 07 17  0025   54664    1500    0        2.0      533.3     8.78e+04
2008 07 17  0026   54664    1560    0        2.0      534.9     9.44e+04
2008 07 17  0027   54664    1620    0        2.0      534.3     8.78e+04
2008 07 17  0028   54664    1680    9    -9999.9    -9999.9    -1.00e+05
2008 07 17  0029   54664    1740    0        2.1      534.8     8.63e+04
2008 07 17  0030   54664    1800    0        2.3      534.5     8.69e+04
2008 07 17  0031   54664    1860    0        2.3      534.5     8.69e+04
2008 07 17  0032   54664    1920    0        2.1      532.8     7.96e+04
2008 07 17  0033   54664    1980    0        2.2      537.5     8.90e+04
2008 07 17  0034   54664    2040    0        2.2      534.2     8.68e+04
2008 07 17  0035   54664    2100    0        2.3      536.2     9.69e+04
2008 07 17  0036   54664    2160    0        2.3      532.8     9.36e+04
2008 07 17  0037   54664    2220    0        2.3      534.6     1.01e+05
2008 07 17  0038   54664    2280    0        2.0      535.6     8.34e+04
2008 07 17  0039   54664    2340    0        2.1      533.8     9.79e+04
2008 07 17  0040   54664    2400    0        2.2      533.3     9.39e+04
2008 07 17  0041   54664    2460    0        2.2      535.4     9.57e+04
2008 07 17  0042   54664    2520    0        2.2      533.4     9.78e+04
2008 07 17  0043   54664    2580    0        2.4      534.6     1.06e+05
2008 07 17  0044   54664    2640    0        2.3      534.0     9.99e+04
2008 07 17  0045   54664    2700    0        2.2      535.4     9.66e+04
2008 07 17  0046   54664    2760    0        2.2      533.7     1.01e+05
2008 07 17  0047   54664    2820    0        2.2      533.7     1.01e+05
2008 07 17  0048   54664    2880    0        2.3      534.0     1.01e+05
2008 07 17  0049   54664    2940    0        2.0      534.0     7.69e+04
2008 07 17  0050   54664    3000    0        2.2      530.1     1.08e+05
2008 07 17  0051   54664    3060    0        2.5      536.1     7.77e+04
2008 07 17  0052   54664    3120    0        2.1      530.6     1.00e+05
2008 07 17  0053   54664    3180    0        2.1      534.8     8.14e+04
2008 07 17  0054   54664    3240    0        2.0      533.8     8.49e+04
2008 07 17  0055   54664    3300    0        2.0      536.0     7.69e+04
2008 07 17  0056   54664    3360    0        2.3      535.8     7.99e+04
2008 07 17  0057   54664    3420    0        2.0      534.9     7.22e+04
2008 07 17  0058   54664    3480    0        2.4      537.9     7.60e+04
2008 07 17  0059   54664    3540    0        2.1      535.7     7.93e+04
2008 07 17  0100   54664    3600    0        2.1      535.7     7.35e+04
2008 07 17  0101   54664    3660    9    -9999.9    -9999.9    -1.00e+05
2008 07 17  0102   54664    3720    0        2.1      536.8     8.16e+04
2008 07 17  0103   54664    3780    0        2.1      536.8     8.16e+04
2008 07 17  0104   54664    3840    0        2.0      533.0     8.27e+04
2008 07 17  0105   54664    3900    0        2.0      534.0     8.10e+04
2008 07 17  0106   54664    3960    0        2.2      533.4     7.79e+04
2008 07 17  0107   54664    4020    0        2.1      535.6     8.01e+04
2008 07 17  0108   54664    4080    0        2.1      534.2     7.47e+04
2008 07 17  0109   54664    4140    0        2.1      533.9     8.30e+04
2008 07 17  0110   54664    4200    0        2.0      532.0     7.90e+04
2008 07 17  0111   54664    4260    0        2.2      527.0     1.09e+05
2008 07 17  0112   54664    4320    0        2.2      528.8     9.54e+04
2008 07 17  0113   54664    4380    0        2.3      531.0     9.99e+04
2008 07 17  0114   54664    4440    0        2.1      527.9     9.17e+04
2008 07 17  0115   54664    4500    0        2.1      529.4     8.10e+04
2008 07 17  0116   54664    4560    0        2.1      530.3     7.64e+04
2008 07 17  0117   54664    4620    0        2.1      529.6     7.97e+04
2008 07 17  0118   54664    4680    0        2.1      529.0     7.67e+04
2008 07 17  0119   54664    4740    0        2.1      529.0     7.67e+04
2008 07 17  0120   54664    4800    0        2.0      530.4     7.80e+04
2008 07 17  0121   54664    4860    0        2.1      530.5     7.62e+04
2008 07 17  0122   54664    4920    0        2.2      505.1     7.92e+04
2008 07 17  0123   54664    4980    0        2.2      507.0     8.20e+04
2008 07 17  0124   54664    5040    0        2.2      510.5     8.06e+04
2008 07 17  0125   54664    5100    0        2.2      517.0     8.70e+04
2008 07 17  0126   54664    5160    0        2.4      520.6     8.22e+04
2008 07 17  0127   54664    5220    0        2.2      517.4     9.20e+04
2008 07 17  0128   54664    5280    0        2.3      520.1     8.80e+04
2008 07 17  0129   54664    5340    0        2.0      517.5     8.09e+04
2008 07 17  0130   54664    5400    0        2.2      519.5     8.86e+04
2008 07 17  0131   54664    5460    0        2.3      520.1     8.34e+04
2008 07 17  0132   54664    5520    0        2.2      519.4     8.77e+04
2008 07 17  0133   54664    5580    0        2.6      520.5     7.99e+04
2008 07 17  0134   54664    5640    9    -9999.9    -9999.9    -1.00e+05
2008 07 17  0135   54664    5700    9    -9999.9    -9999.9    -1.00e+05
2008 07 17  0136   54664    5760    0        2.1      519.7     8.49e+04
2008 07 17  0137   54664    5820    0        2.0      518.1     8.26e+04
2008 07 17  0138   54664    5880    0        2.2      516.5     8.66e+04
2008 07 17  0139   54664    5940    0        2.4      518.6     7.35e+04
2008 07 17  0140   54664    6000    0        2.1      527.7     8.53e+04
2008 07 17  0141   54664    6060    0        2.6      530.4     7.79e+04
2008 07 17  0142   54664    6120    0        2.3      530.2     8.25e+04
2008 07 17  0143   54664    6180    0        2.2      527.2     8.46e+04
2008 07 17  0144   54664    6240    0        2.3      528.0     9.01e+04
2008 07 17  0145   54664    6300    0        2.2      526.8     7.95e+04
2008 07 17  0146   54664    6360    0        2.3      526.5     1.01e+05
2008 07 17  0147   54664    6420    0        2.2      527.6     8.58e+04
2008 07 17  0148   54664    6480    0        2.3      525.6     1.00e+05
2008 07 17  0149   54664    6540    0        2.2      523.5     8.31e+04
2008 07 17  0150   54664    6600    0        2.1      523.4     7.89e+04
2008 07 17  0151   54664    6660    0        2.1      523.4     7.89e+04
2008 07 17  0152   54664    6720    0        2.1      520.1     7.94e+04
2008 07 17  0153   54664    6780    0        2.1      518.6     7.58e+04
2008 07 17  0154   54664    6840    0        2.3      518.8     7.94e+04
2008 07 17  0155   54664    6900    0        2.2      518.7     8.47e+04
2008 07 17  0156   54664    6960    0        2.1      522.4     8.79e+04
