:Data_list: 20080802_ace_sis_5m.txt
:Created: 2008 Aug 03 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 08 02  0000    54680       0      0    2.00e+00    0    1.38e+00
2008 08 02  0005    54680     300      0    2.00e+00    0    1.40e+00
2008 08 02  0010    54680     600      0    1.96e+00    0    1.36e+00
2008 08 02  0015    54680     900      0    2.02e+00    0    1.40e+00
2008 08 02  0020    54680    1200      0    2.00e+00    0    1.40e+00
2008 08 02  0025    54680    1500      0    2.00e+00    0    1.39e+00
2008 08 02  0030    54680    1800      0    1.95e+00    0    1.36e+00
2008 08 02  0035    54680    2100      0    1.98e+00    0    1.38e+00
2008 08 02  0040    54680    2400      0    2.02e+00    0    1.41e+00
2008 08 02  0045    54680    2700      0    2.01e+00    0    1.41e+00
2008 08 02  0050    54680    3000      0    1.99e+00    0    1.41e+00
2008 08 02  0055    54680    3300      0    2.03e+00    0    1.42e+00
2008 08 02  0100    54680    3600      0    2.02e+00    0    1.40e+00
2008 08 02  0105    54680    3900      0    2.01e+00    0    1.41e+00
2008 08 02  0110    54680    4200      0    1.97e+00    0    1.38e+00
2008 08 02  0115    54680    4500      0    2.03e+00    0    1.42e+00
2008 08 02  0120    54680    4800      0    2.00e+00    0    1.38e+00
2008 08 02  0125    54680    5100      0    2.00e+00    0    1.41e+00
2008 08 02  0130    54680    5400      0    1.96e+00    0    1.37e+00
2008 08 02  0135    54680    5700      0    2.00e+00    0    1.39e+00
2008 08 02  0140    54680    6000      0    2.01e+00    0    1.41e+00
2008 08 02  0145    54680    6300      0    1.98e+00    0    1.38e+00
2008 08 02  0150    54680    6600      0    1.97e+00    0    1.36e+00
2008 08 02  0155    54680    6900      0    2.02e+00    0    1.42e+00
2008 08 02  0200    54680    7200      0    1.99e+00    0    1.37e+00
2008 08 02  0205    54680    7500      0    1.97e+00    0    1.38e+00
2008 08 02  0210    54680    7800      0    2.02e+00    0    1.41e+00
