:Data_list: 20080815_ace_swepam_1m.txt
:Created: 2008 Aug 16 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 08 15  0000   54693       0    9    -9999.9    -9999.9    -1.00e+05
2008 08 15  0001   54693      60    0        3.5      429.7     5.27e+04
2008 08 15  0002   54693     120    0        3.6      424.5     6.13e+04
2008 08 15  0003   54693     180    0        4.2      427.0     5.74e+04
2008 08 15  0004   54693     240    0        3.8      432.0     5.97e+04
2008 08 15  0005   54693     300    0        3.9      430.7     5.37e+04
2008 08 15  0006   54693     360    0        3.8      430.1     5.97e+04
2008 08 15  0007   54693     420    9    -9999.9    -9999.9    -1.00e+05
2008 08 15  0008   54693     480    0        3.2      436.4     4.62e+04
2008 08 15  0009   54693     540    0        3.4      433.6     5.35e+04
2008 08 15  0010   54693     600    0        3.6      436.1     4.90e+04
2008 08 15  0011   54693     660    0        3.5      430.7     5.12e+04
2008 08 15  0012   54693     720    0        3.5      439.5     5.19e+04
2008 08 15  0013   54693     780    0        3.7      440.1     5.38e+04
2008 08 15  0014   54693     840    0        3.4      443.0     5.31e+04
2008 08 15  0015   54693     900    0        3.5      440.7     5.12e+04
2008 08 15  0016   54693     960    0        3.4      425.7     5.88e+04
2008 08 15  0017   54693    1020    0        3.4      425.7     5.88e+04
2008 08 15  0018   54693    1080    0        3.7      425.0     5.92e+04
2008 08 15  0019   54693    1140    0        3.8      433.4     6.05e+04
2008 08 15  0020   54693    1200    0        4.1      433.6     5.66e+04
2008 08 15  0021   54693    1260    0        3.7      429.5     5.43e+04
2008 08 15  0022   54693    1320    0        3.8      426.0     5.72e+04
2008 08 15  0023   54693    1380    0        3.9      425.0     5.46e+04
2008 08 15  0024   54693    1440    0        4.3      425.5     5.83e+04
2008 08 15  0025   54693    1500    0        4.1      423.6     6.39e+04
2008 08 15  0026   54693    1560    0        3.4      425.4     6.59e+04
2008 08 15  0027   54693    1620    0        3.8      428.6     5.70e+04
2008 08 15  0028   54693    1680    0        3.6      428.7     5.59e+04
2008 08 15  0029   54693    1740    0        3.5      426.4     5.61e+04
2008 08 15  0030   54693    1800    0        3.6      421.9     5.51e+04
2008 08 15  0031   54693    1860    0        3.4      421.5     5.72e+04
2008 08 15  0032   54693    1920    0        3.9      425.8     6.48e+04
2008 08 15  0033   54693    1980    0        3.9      425.8     6.48e+04
2008 08 15  0034   54693    2040    0        3.4      429.6     6.17e+04
2008 08 15  0035   54693    2100    0        3.7      423.2     5.50e+04
2008 08 15  0036   54693    2160    0        3.3      423.9     5.66e+04
2008 08 15  0037   54693    2220    0        3.8      418.7     5.13e+04
2008 08 15  0038   54693    2280    0        3.6      423.5     5.46e+04
2008 08 15  0039   54693    2340    0        3.4      424.3     5.49e+04
2008 08 15  0040   54693    2400    9    -9999.9    -9999.9    -1.00e+05
2008 08 15  0041   54693    2460    0        3.4      422.4     4.90e+04
2008 08 15  0042   54693    2520    0        3.3      424.6     4.93e+04
2008 08 15  0043   54693    2580    0        2.8      433.0     3.86e+04
2008 08 15  0044   54693    2640    0        3.9      420.8     4.85e+04
2008 08 15  0045   54693    2700    0        3.9      423.5     4.77e+04
2008 08 15  0046   54693    2760    0        4.0      422.2     4.66e+04
2008 08 15  0047   54693    2820    0        4.0      425.1     4.47e+04
2008 08 15  0048   54693    2880    0        3.9      425.8     4.52e+04
2008 08 15  0049   54693    2940    0        3.9      425.8     4.52e+04
2008 08 15  0050   54693    3000    0        4.5      425.6     4.38e+04
2008 08 15  0051   54693    3060    0        3.8      422.2     4.49e+04
2008 08 15  0052   54693    3120    0        3.0      433.9     3.75e+04
2008 08 15  0053   54693    3180    0        2.9      431.4     4.03e+04
2008 08 15  0054   54693    3240    0        3.3      425.8     4.78e+04
2008 08 15  0055   54693    3300    0        3.2      424.2     5.55e+04
2008 08 15  0056   54693    3360    0        3.0      425.8     5.07e+04
2008 08 15  0057   54693    3420    0        3.3      424.4     4.32e+04
2008 08 15  0058   54693    3480    0        2.9      427.6     4.89e+04
2008 08 15  0059   54693    3540    0        2.6      429.1     4.10e+04
2008 08 15  0100   54693    3600    0        2.6      430.6     4.38e+04
2008 08 15  0101   54693    3660    0        2.6      430.9     4.51e+04
2008 08 15  0102   54693    3720    0        3.0      428.5     4.47e+04
2008 08 15  0103   54693    3780    0        3.2      418.2     4.76e+04
2008 08 15  0104   54693    3840    0        2.6      433.6     7.27e+04
2008 08 15  0105   54693    3900    0        2.6      433.6     7.27e+04
2008 08 15  0106   54693    3960    0        2.6      430.9     5.89e+04
2008 08 15  0107   54693    4020    0        3.0      431.1     7.92e+04
2008 08 15  0108   54693    4080    0        2.7      431.7     6.88e+04
2008 08 15  0109   54693    4140    0        3.2      430.1     7.38e+04
2008 08 15  0110   54693    4200    0        2.9      431.8     7.89e+04
2008 08 15  0111   54693    4260    0        2.8      432.2     8.46e+04
2008 08 15  0112   54693    4320    0        3.5      429.3     7.67e+04
2008 08 15  0113   54693    4380    9    -9999.9    -9999.9    -1.00e+05
2008 08 15  0114   54693    4440    0        3.2      434.9     8.39e+04
2008 08 15  0115   54693    4500    0        3.5      434.0     6.92e+04
2008 08 15  0116   54693    4560    0        3.1      433.1     7.07e+04
2008 08 15  0117   54693    4620    0        3.3      430.8     7.38e+04
2008 08 15  0118   54693    4680    0        3.3      432.5     6.44e+04
2008 08 15  0119   54693    4740    0        3.3      431.5     6.19e+04
2008 08 15  0120   54693    4800    0        3.0      435.0     5.46e+04
2008 08 15  0121   54693    4860    0        3.0      435.0     5.46e+04
2008 08 15  0122   54693    4920    0        3.1      435.5     4.67e+04
2008 08 15  0123   54693    4980    0        3.1      428.1     7.54e+04
2008 08 15  0124   54693    5040    0        3.2      426.3     7.46e+04
2008 08 15  0125   54693    5100    0        2.9      427.9     7.34e+04
