:Data_list: 20080909_ace_sis_5m.txt
:Created: 2008 Sep 10 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2008 09 09  0000    54718       0      9   -1.00e+05    9   -1.00e+05
2008 09 09  0005    54718     300      9   -1.00e+05    9   -1.00e+05
2008 09 09  0010    54718     600      9   -1.00e+05    9   -1.00e+05
2008 09 09  0015    54718     900      9   -1.00e+05    9   -1.00e+05
2008 09 09  0020    54718    1200      9   -1.00e+05    9   -1.00e+05
2008 09 09  0025    54718    1500      9   -1.00e+05    9   -1.00e+05
2008 09 09  0030    54718    1800      9   -1.00e+05    9   -1.00e+05
2008 09 09  0035    54718    2100      9   -1.00e+05    9   -1.00e+05
2008 09 09  0040    54718    2400      9   -1.00e+05    9   -1.00e+05
2008 09 09  0045    54718    2700      9   -1.00e+05    9   -1.00e+05
2008 09 09  0050    54718    3000      9   -1.00e+05    9   -1.00e+05
2008 09 09  0055    54718    3300      9   -1.00e+05    9   -1.00e+05
2008 09 09  0100    54718    3600      9   -1.00e+05    9   -1.00e+05
2008 09 09  0105    54718    3900      9   -1.00e+05    9   -1.00e+05
2008 09 09  0110    54718    4200      9   -1.00e+05    9   -1.00e+05
2008 09 09  0115    54718    4500      9   -1.00e+05    9   -1.00e+05
2008 09 09  0120    54718    4800      9   -1.00e+05    9   -1.00e+05
2008 09 09  0125    54718    5100      9   -1.00e+05    9   -1.00e+05
2008 09 09  0130    54718    5400      9   -1.00e+05    9   -1.00e+05
2008 09 09  0135    54718    5700      9   -1.00e+05    9   -1.00e+05
2008 09 09  0140    54718    6000      9   -1.00e+05    9   -1.00e+05
2008 09 09  0145    54718    6300      9   -1.00e+05    9   -1.00e+05
2008 09 09  0150    54718    6600      9   -1.00e+05    9   -1.00e+05
2008 09 09  0155    54718    6900      9   -1.00e+05    9   -1.00e+05
2008 09 09  0200    54718    7200      9   -1.00e+05    9   -1.00e+05
2008 09 09  0205    54718    7500      9   -1.00e+05    9   -1.00e+05
2008 09 09  0210    54718    7800      9   -1.00e+05    9   -1.00e+05
2008 09 09  0215    54718    8100      9   -1.00e+05    9   -1.00e+05
2008 09 09  0220    54718    8400      9   -1.00e+05    9   -1.00e+05
2008 09 09  0225    54718    8700      9   -1.00e+05    9   -1.00e+05
2008 09 09  0230    54718    9000      9   -1.00e+05    9   -1.00e+05
2008 09 09  0235    54718    9300      9   -1.00e+05    9   -1.00e+05
2008 09 09  0240    54718    9600      9   -1.00e+05    9   -1.00e+05
2008 09 09  0245    54718    9900      9   -1.00e+05    9   -1.00e+05
2008 09 09  0250    54718   10200      9   -1.00e+05    9   -1.00e+05
2008 09 09  0255    54718   10500      9   -1.00e+05    9   -1.00e+05
2008 09 09  0300    54718   10800      9   -1.00e+05    9   -1.00e+05
2008 09 09  0305    54718   11100      9   -1.00e+05    9   -1.00e+05
2008 09 09  0310    54718   11400      9   -1.00e+05    9   -1.00e+05
2008 09 09  0315    54718   11700      9   -1.00e+05    9   -1.00e+05
2008 09 09  0320    54718   12000      9   -1.00e+05    9   -1.00e+05
2008 09 09  0325    54718   12300      9   -1.00e+05    9   -1.00e+05
2008 09 09  0330    54718   12600      9   -1.00e+05    9   -1.00e+05
2008 09 09  0335    54718   12900      9   -1.00e+05    9   -1.00e+05
2008 09 09  0340    54718   13200      9   -1.00e+05    9   -1.00e+05
2008 09 09  0345    54718   13500      9   -1.00e+05    9   -1.00e+05
2008 09 09  0350    54718   13800      9   -1.00e+05    9   -1.00e+05
2008 09 09  0355    54718   14100      9   -1.00e+05    9   -1.00e+05
2008 09 09  0400    54718   14400      9   -1.00e+05    9   -1.00e+05
2008 09 09  0405    54718   14700      9   -1.00e+05    9   -1.00e+05
