:Data_list: 20080916_ace_swepam_1m.txt
:Created: 2008 Sep 17 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2008 09 16  0000   54725       0    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0001   54725      60    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0002   54725     120    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0003   54725     180    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0004   54725     240    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0005   54725     300    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0006   54725     360    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0007   54725     420    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0008   54725     480    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0009   54725     540    0        1.4      541.1     1.13e+05
2008 09 16  0010   54725     600    0        1.5      538.8     1.25e+05
2008 09 16  0011   54725     660    0        1.5      550.2     1.07e+05
2008 09 16  0012   54725     720    0        1.2      556.4     8.75e+04
2008 09 16  0013   54725     780    0        1.3      552.4     9.86e+04
2008 09 16  0014   54725     840    0        0.6      552.9     1.47e+05
2008 09 16  0015   54725     900    0        1.2      549.1     1.02e+05
2008 09 16  0016   54725     960    0        1.2      548.8     1.03e+05
2008 09 16  0017   54725    1020    0        1.2      543.8     9.81e+04
2008 09 16  0018   54725    1080    0        1.2      553.5     8.22e+04
2008 09 16  0019   54725    1140    0        1.3      557.0     1.01e+05
2008 09 16  0020   54725    1200    0        1.3      557.0     1.01e+05
2008 09 16  0021   54725    1260    0        1.6      551.9     1.10e+05
2008 09 16  0022   54725    1320    0        0.9      541.1     1.07e+05
2008 09 16  0023   54725    1380    0        1.3      554.5     1.01e+05
2008 09 16  0024   54725    1440    0        2.3      556.8     1.05e+05
2008 09 16  0025   54725    1500    0        1.8      551.6     9.63e+04
2008 09 16  0026   54725    1560    0        1.8      553.0     1.13e+05
2008 09 16  0027   54725    1620    0        1.6      543.8     1.07e+05
2008 09 16  0028   54725    1680    0        1.4      537.0     1.38e+05
2008 09 16  0029   54725    1740    0        0.9      539.0     1.70e+05
2008 09 16  0030   54725    1800    0        0.9      540.8     1.80e+05
2008 09 16  0031   54725    1860    0        1.0      539.8     1.68e+05
2008 09 16  0032   54725    1920    9    -9999.9    -9999.9    -1.00e+05
2008 09 16  0033   54725    1980    0        1.0      536.9     1.52e+05
2008 09 16  0034   54725    2040    0        0.8      539.2     1.69e+05
2008 09 16  0035   54725    2100    1        0.8      536.7     1.46e+05
2008 09 16  0036   54725    2160    1        0.8      536.7     1.46e+05
2008 09 16  0037   54725    2220    0        0.9      536.2     1.41e+05
2008 09 16  0038   54725    2280    0        0.9      539.0     1.55e+05
2008 09 16  0039   54725    2340    0        0.9      538.0     1.41e+05
2008 09 16  0040   54725    2400    0        1.1      543.1     1.34e+05
2008 09 16  0041   54725    2460    0        1.7      572.0     8.23e+04
2008 09 16  0042   54725    2520    0        1.8      562.5     8.65e+04
