:Data_list: 20080919_ace_epam_5m.txt
:Created: 2008 Sep 20 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Differential Flux particles/cm2-s-ster-MeV
# Units: Anisotropy Index 0.0 - 2.0
# Status(S): 0 = nominal, 4,6,7,8 = bad data, unable to process, 9 = no data
# Missing data values: -1.00e+05, index = -1.00
# Source: ACE Satellite - Electron, Proton, and Alpha Monitor
#
#
#                      5-minute averaged Real-time Differential Electron and Proton Flux 
# 
#                Modified Seconds ---------------------------- Differential Flux ---------------------------
# UT Date   Time  Julian  of the  ----- Electron -----   ------------------- Protons keV -------------------   Anis.
# YR MO DA  HHMM    Day    Day    S    38-53   175-315   S    47-68   115-195   310-580   761-1220 1060-1900   Index
#-------------------------------------------------------------------------------------------------------------------
2008 09 19  0000   54728       0  0  7.14e+02  2.59e+01  0  9.04e+02  1.86e+01  3.28e+00  6.24e-01  2.42e-01   0.34
2008 09 19  0005   54728     300  0  6.28e+02  2.30e+01  0  9.50e+02  2.06e+01  2.64e+00  7.24e-01  1.26e-01   0.60
2008 09 19  0010   54728     600  0  5.26e+02  2.80e+01  0  9.32e+02  1.73e+01  2.28e+00  6.86e-01  1.55e-01   0.39
2008 09 19  0015   54728     900  0  5.36e+02  3.03e+01  0  8.55e+02  1.89e+01  2.07e+00  6.29e-01  2.61e-01   1.01
2008 09 19  0020   54728    1200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0025   54728    1500  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0030   54728    1800  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0035   54728    2100  0  8.54e+02  3.04e+01  0  9.87e+02  2.07e+01  2.43e+00  1.00e+00  8.65e-02   0.40
2008 09 19  0040   54728    2400  0  6.17e+02  2.82e+01  0  9.35e+02  2.23e+01  2.69e+00  7.28e-01  1.16e-01   0.54
2008 09 19  0045   54728    2700  0  5.72e+02  2.85e+01  0  9.43e+02  1.86e+01  2.88e+00  6.42e-01  1.77e-01   0.60
2008 09 19  0050   54728    3000  0  6.00e+02  2.94e+01  0  8.64e+02  1.90e+01  2.61e+00  9.15e-01  1.87e-01   0.45
2008 09 19  0055   54728    3300  0  6.22e+02  3.00e+01  0  1.01e+03  2.09e+01  2.75e+00  8.52e-01  2.21e-01   0.43
2008 09 19  0100   54728    3600  0  6.36e+02  2.67e+01  0  9.29e+02  2.23e+01  2.63e+00  7.03e-01  2.41e-01   0.45
2008 09 19  0105   54728    3900  0  5.93e+02  2.63e+01  0  9.07e+02  1.81e+01  2.49e+00  6.65e-01  2.74e-01   0.72
2008 09 19  0110   54728    4200  0  5.74e+02  2.61e+01  0  9.65e+02  1.95e+01  2.59e+00  7.90e-01  1.79e-01   0.28
2008 09 19  0115   54728    4500  0  5.50e+02  2.76e+01  0  9.34e+02  2.00e+01  2.65e+00  8.52e-01  1.69e-01   0.27
2008 09 19  0120   54728    4800  0  5.09e+02  3.25e+01  0  9.89e+02  1.97e+01  2.52e+00  7.90e-01  2.11e-01   0.27
2008 09 19  0125   54728    5100  0  5.84e+02  3.07e+01  0  9.07e+02  2.02e+01  2.29e+00  5.20e-01  1.90e-01   0.57
2008 09 19  0130   54728    5400  0  5.66e+02  2.44e+01  0  9.75e+02  1.83e+01  2.41e+00  6.33e-01  1.25e-01   0.27
2008 09 19  0135   54728    5700  0  5.05e+02  2.55e+01  0  9.01e+02  2.00e+01  2.66e+00  8.11e-01  1.79e-01   0.33
2008 09 19  0140   54728    6000  0  4.98e+02  2.87e+01  0  8.57e+02  1.83e+01  2.52e+00  7.24e-01  2.12e-01   0.21
2008 09 19  0145   54728    6300  0  5.44e+02  3.38e+01  0  9.58e+02  1.87e+01  3.18e+00  6.86e-01  9.66e-02   0.21
2008 09 19  0150   54728    6600  0  5.18e+02  3.00e+01  0  9.72e+02  2.01e+01  2.69e+00  9.77e-01  2.95e-01   0.24
2008 09 19  0155   54728    6900  0  5.09e+02  2.91e+01  0  9.18e+02  2.04e+01  2.40e+00  5.53e-01  1.64e-01   0.51
2008 09 19  0200   54728    7200  0  7.34e+02  2.59e+01  0  9.32e+02  2.03e+01  2.13e+00  8.00e-01  2.22e-01   0.28
2008 09 19  0205   54728    7500  0  5.91e+02  2.36e+01  0  9.38e+02  1.96e+01  2.49e+00  5.20e-01  1.26e-01   0.16
2008 09 19  0210   54728    7800  0  4.89e+02  3.01e+01  0  9.48e+02  2.09e+01  2.10e+00  6.29e-01  2.03e-01   0.53
2008 09 19  0215   54728    8100  0  5.67e+02  3.19e+01  0  8.84e+02  2.01e+01  2.04e+00  7.43e-01  2.12e-01   0.41
2008 09 19  0220   54728    8400  0  6.42e+02  2.89e+01  0  9.76e+02  2.06e+01  2.43e+00  7.43e-01  1.64e-01   0.27
2008 09 19  0225   54728    8700  0  5.05e+02  2.82e+01  0  9.30e+02  2.02e+01  2.56e+00  5.40e-01  1.16e-01   0.40
2008 09 19  0230   54728    9000  0  4.89e+02  2.69e+01  0  8.99e+02  2.00e+01  1.98e+00  7.43e-01  2.12e-01   0.28
2008 09 19  0235   54728    9300  0  6.10e+02  2.80e+01  0  9.14e+02  2.17e+01  2.58e+00  9.15e-01  1.64e-01   0.50
2008 09 19  0240   54728    9600  0  4.60e+02  2.61e+01  0  9.77e+02  2.10e+01  2.79e+00  6.65e-01  2.00e-01   0.44
2008 09 19  0245   54728    9900  0  4.58e+02  2.89e+01  0  9.46e+02  2.42e+01  2.82e+00  6.86e-01  1.55e-01   0.52
2008 09 19  0250   54728   10200  0  4.89e+02  3.31e+01  0  9.33e+02  2.21e+01  2.82e+00  7.62e-01  1.26e-01   0.23
2008 09 19  0255   54728   10500  0  5.77e+02  2.96e+01  0  9.36e+02  1.94e+01  2.16e+00  6.24e-01  1.79e-01   0.34
2008 09 19  0300   54728   10800  0  5.71e+02  2.98e+01  0  9.25e+02  1.95e+01  2.33e+00  8.27e-01  2.50e-01   0.11
2008 09 19  0305   54728   11100  0  6.49e+02  2.53e+01  0  9.06e+02  2.09e+01  2.20e+00  5.61e-01  2.32e-01   0.36
2008 09 19  0310   54728   11400  0  6.17e+02  3.27e+01  0  1.02e+03  2.12e+01  2.95e+00  8.94e-01  1.69e-01   0.19
2008 09 19  0315   54728   11700  0  6.26e+02  2.76e+01  0  9.69e+02  2.26e+01  2.72e+00  7.91e-01  1.87e-01   0.38
2008 09 19  0320   54728   12000  0  5.42e+02  2.53e+01  0  8.96e+02  1.64e+01  2.92e+00  5.20e-01  1.79e-01   0.21
2008 09 19  0325   54728   12300  0  7.09e+02  2.80e+01  0  9.26e+02  1.80e+01  2.33e+00  7.07e-01  1.37e-01   0.50
2008 09 19  0330   54728   12600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0335   54728   12900  0  5.73e+02  3.40e+01  0  9.99e+02  1.44e+01  2.57e+00  9.36e-01  1.97e-01   0.39
2008 09 19  0340   54728   13200  0  5.98e+02  2.62e+01  0  8.98e+02  2.09e+01  2.91e+00  8.62e-01  2.14e-01   0.41
2008 09 19  0345   54728   13500  0  8.15e+02  2.53e+01  0  9.97e+02  2.17e+01  2.98e+00  8.31e-01  2.21e-01   0.51
2008 09 19  0350   54728   13800  0  5.36e+02  3.19e+01  0  9.70e+02  1.97e+01  2.69e+00  7.69e-01  1.37e-01   0.10
2008 09 19  0355   54728   14100  0  5.37e+02  2.53e+01  0  9.86e+02  1.98e+01  2.72e+00  7.21e-01  2.50e-01   0.21
2008 09 19  0400   54728   14400  0  7.00e+02  2.78e+01  0  9.41e+02  2.00e+01  2.39e+00  8.31e-01  2.11e-01   0.45
2008 09 19  0405   54728   14700  0  5.36e+02  2.87e+01  0  8.72e+02  2.07e+01  2.70e+00  6.86e-01  1.74e-01   1.51
2008 09 19  0410   54728   15000  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0415   54728   15300  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0420   54728   15600  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0425   54728   15900  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0430   54728   16200  9 -1.00e+05 -1.00e+05  9 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05 -1.00e+05  -1.00
2008 09 19  0435   54728   16500  0  6.65e+02  3.15e+01  0  9.53e+02  1.90e+01  2.33e+00  7.77e-01  2.43e-01   0.70
2008 09 19  0440   54728   16800  0  5.29e+02  2.94e+01  0  9.50e+02  2.09e+01  2.43e+00  9.15e-01  2.70e-01   0.19
2008 09 19  0445   54728   17100  0  4.51e+02  2.61e+01  0  9.20e+02  2.05e+01  2.92e+00  6.03e-01  2.11e-01   0.29
2008 09 19  0450   54728   17400  0  5.82e+02  2.48e+01  0  9.41e+02  1.80e+01  2.79e+00  8.38e-01  2.22e-01   0.10
2008 09 19  0455   54728   17700  0  6.12e+02  2.34e+01  0  9.48e+02  2.28e+01  2.55e+00  6.67e-01  2.03e-01   0.49
2008 09 19  0500   54728   18000  0  5.69e+02  2.73e+01  0  9.50e+02  2.06e+01  2.61e+00  9.15e-01  1.35e-01   0.17
2008 09 19  0505   54728   18300  0  5.34e+02  2.63e+01  0  8.90e+02  2.01e+01  2.75e+00  6.65e-01  1.79e-01   0.28
2008 09 19  0510   54728   18600  0  7.19e+02  2.83e+01  0  9.59e+02  1.99e+01  2.28e+00  8.58e-01  2.32e-01   0.33
2008 09 19  0515   54728   18900  0  6.01e+02  2.98e+01  0  9.11e+02  2.25e+01  2.73e+00  8.58e-01  1.84e-01   0.72
2008 09 19  0520   54728   19200  0  5.32e+02  2.59e+01  0  8.90e+02  2.32e+01  3.47e+00  7.07e-01  2.21e-01   0.53
2008 09 19  0525   54728   19500  0  6.13e+02  2.76e+01  0  9.43e+02  1.90e+01  3.07e+00  7.62e-01  2.12e-01   0.66
2008 09 19  0530   54728   19800  0  5.59e+02  2.60e+01  0  9.63e+02  1.91e+01  3.22e+00  6.10e-01  2.70e-01   0.36
2008 09 19  0535   54728   20100  0  5.09e+02  2.76e+01  0  9.71e+02  2.11e+01  2.72e+00  7.48e-01  2.42e-01   0.29
2008 09 19  0540   54728   20400  0  6.14e+02  2.53e+01  0  9.05e+02  1.97e+01  3.22e+00  8.79e-01  1.87e-01   0.05
2008 09 19  0545   54728   20700  0  7.27e+02  2.76e+01  0  1.01e+03  2.02e+01  2.85e+00  7.07e-01  1.58e-01   0.14
2008 09 19  0550   54728   21000  0  6.33e+02  2.98e+01  0  9.40e+02  1.90e+01  2.69e+00  8.31e-01  2.21e-01   0.52
2008 09 19  0555   54728   21300  0  6.12e+02  2.62e+01  0  8.91e+02  2.01e+01  2.66e+00  7.91e-01  2.05e-01   0.11
2008 09 19  0600   54728   21600  0  7.00e+02  2.45e+01  0  9.72e+02  2.01e+01  3.25e+00  8.31e-01  1.69e-01   0.61
2008 09 19  0605   54728   21900  0  6.71e+02  2.53e+01  0  9.32e+02  2.14e+01  2.79e+00  9.56e-01  1.85e-01   0.27
2008 09 19  0610   54728   22200  0  5.91e+02  2.34e+01  0  9.60e+02  2.23e+01  2.77e+00  1.07e+00  1.87e-01   0.08
2008 09 19  0615   54728   22500  0  6.66e+02  2.67e+01  0  8.58e+02  2.11e+01  2.88e+00  7.48e-01  1.05e-01   0.29
2008 09 19  0620   54728   22800  0  6.00e+02  3.14e+01  0  9.80e+02  2.12e+01  3.00e+00  7.91e-01  2.23e-01   0.36
2008 09 19  0625   54728   23100  0  6.53e+02  2.18e+01  0  9.74e+02  1.91e+01  2.56e+00  5.40e-01  2.00e-01   0.13
2008 09 19  0630   54728   23400  0  5.39e+02  2.80e+01  0  8.94e+02  2.08e+01  2.79e+00  8.31e-01  1.58e-01   0.35
2008 09 19  0635   54728   23700  0  6.73e+02  3.07e+01  0  9.46e+02  1.90e+01  2.59e+00  7.09e-01  1.11e-01   0.32
