:Data_list: ace_sis_5m.txt
:Created: 2018 Oct 20 2046 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: proton flux p/cs2-sec-ster
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: -1.00e+05
# Source: ACE Satellite - Solar Isotope Spectrometer
#
# 5-minute averaged Real-time Integral Flux of High-energy Solar Protons
# 
#                 Modified Seconds
# UT Date   Time   Julian  of the      ---- Integral Proton Flux ----
# YR MO DA  HHMM     Day     Day       S    > 10 MeV    S    > 30 MeV
#--------------------------------------------------------------------
2018 10 20  1845    58411   67500      0    2.23e+00    0    1.54e+00
2018 10 20  1850    58411   67800      0    2.20e+00    0    1.54e+00
2018 10 20  1855    58411   68100      0    2.24e+00    0    1.54e+00
2018 10 20  1900    58411   68400      0    2.21e+00    0    1.56e+00
2018 10 20  1905    58411   68700      0    2.16e+00    0    1.50e+00
2018 10 20  1910    58411   69000      0    2.22e+00    0    1.56e+00
2018 10 20  1915    58411   69300      0    2.19e+00    0    1.54e+00
2018 10 20  1920    58411   69600      0    2.22e+00    0    1.57e+00
2018 10 20  1925    58411   69900      0    2.22e+00    0    1.57e+00
2018 10 20  1930    58411   70200      0    2.20e+00    0    1.54e+00
2018 10 20  1935    58411   70500      0    2.21e+00    0    1.54e+00
2018 10 20  1940    58411   70800      0    2.22e+00    0    1.55e+00
2018 10 20  1945    58411   71100      0    2.20e+00    0    1.54e+00
2018 10 20  1950    58411   71400      0    2.24e+00    0    1.57e+00
2018 10 20  1955    58411   71700      0    2.21e+00    0    1.54e+00
2018 10 20  2000    58411   72000      0    2.25e+00    0    1.58e+00
2018 10 20  2005    58411   72300      0    2.23e+00    0    1.55e+00
2018 10 20  2010    58411   72600      0    2.21e+00    0    1.55e+00
2018 10 20  2015    58411   72900      0    2.19e+00    0    1.54e+00
2018 10 20  2020    58411   73200      0    2.24e+00    0    1.58e+00
2018 10 20  2025    58411   73500      0    2.22e+00    0    1.56e+00
2018 10 20  2030    58411   73800      0    2.24e+00    0    1.57e+00
2018 10 20  2035    58411   74100      0    2.22e+00    0    1.54e+00
2018 10 20  2040    58411   74400      9   -1.00e+05    9   -1.00e+05
