:Data_list: ace_swepam_1m.txt
:Created: 2018 Oct 20 2047 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2018 10 20  1847   58411   67620    0        3.4      287.1     1.31e+04
2018 10 20  1848   58411   67680    0        3.5      286.6     1.55e+04
2018 10 20  1849   58411   67740    0        3.6      286.5     1.54e+04
2018 10 20  1850   58411   67800    0        3.8      286.4     1.24e+04
2018 10 20  1851   58411   67860    0        3.9      283.5     1.36e+04
2018 10 20  1852   58411   67920    0        3.9      284.7     1.35e+04
2018 10 20  1853   58411   67980    0        3.2      284.4     1.34e+04
2018 10 20  1854   58411   68040    0        3.3      284.5     1.49e+04
2018 10 20  1855   58411   68100    0        3.1      285.0     1.46e+04
2018 10 20  1856   58411   68160    0        3.4      287.2     1.52e+04
2018 10 20  1857   58411   68220    0        3.4      283.5     1.56e+04
2018 10 20  1858   58411   68280    0        3.2      284.0     1.32e+04
2018 10 20  1859   58411   68340    0        3.3      283.9     1.52e+04
2018 10 20  1900   58411   68400    0        3.5      284.0     1.44e+04
2018 10 20  1901   58411   68460    0        3.4      283.6     1.24e+04
2018 10 20  1902   58411   68520    0        3.5      284.8     1.27e+04
2018 10 20  1903   58411   68580    0        3.3      284.7     1.42e+04
2018 10 20  1904   58411   68640    0        3.2      284.3     1.41e+04
2018 10 20  1905   58411   68700    0        3.6      285.0     1.30e+04
2018 10 20  1906   58411   68760    0        3.8      285.2     1.39e+04
2018 10 20  1907   58411   68820    0        3.9      285.0     1.59e+04
2018 10 20  1908   58411   68880    0        3.6      282.3     1.38e+04
2018 10 20  1909   58411   68940    0        3.9      283.9     1.70e+04
2018 10 20  1910   58411   69000    0        4.1      290.8     2.86e+04
2018 10 20  1911   58411   69060    0        3.6      286.5     1.37e+04
